Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.01006,,
0.2,0.01868,,
0.3,0.02587,,
0.4,0.03172,,
0.5,0.03441,,
0.6,0.03384,,
0.7,0.03019,,
0.8,0.02445,,
0.9,0.01795,,
1.0,0.01211,,
1.1,0.00833,,
1.2,0.00850,,
1.3,0.01271,,
1.4,0.01940,,
1.5,0.02821,,
1.6,0.03813,,
1.7,0.04855,,
1.8,0.05646,,
1.9,0.06043,,
2.0,0.05997,,
2.1,0.05317,,
2.2,0.04208,,
2.3,0.02746,,
2.4,0.01195,,
2.5,-0.00298,,
2.6,-0.01460,,
2.7,-0.02036,,
2.8,-0.02129,,
2.9,-0.01962,,
3.0,-0.01540,,
3.1,-0.01215,,
3.2,-0.01035,,
3.3,-0.01084,,
3.4,-0.01388,,
3.5,-0.01548,,
3.6,-0.01493,,
3.7,-0.01067,,
3.8,-0.00082,,
3.9,0.01259,,
4.0,0.02888,,
4.1,0.04550,,
4.2,0.05974,,
4.3,0.06899,,
4.4,0.07221,,
4.5,0.07060,,
4.6,0.06647,,
4.7,0.06123,,
4.8,0.05507,,
4.9,0.05078,,
5.0,0.04907,,
5.1,0.05014,,
5.2,0.05720,,
5.3,0.06756,,
5.4,0.07891,,
5.5,0.08861,,
5.6,0.09668,,
5.7,0.10456,,
5.8,0.11239,,
5.9,0.12090,,
6.0,0.12978,,
6.1,0.13949,,
6.2,0.14890,,
6.3,0.15874,,
6.4,0.16872,,
6.5,0.17735,,
6.6,0.18591,,
6.7,0.19179,,
6.8,0.19378,,
6.9,0.19350,,
7.0,0.18933,,
7.1,0.18200,,
7.2,0.17280,,
7.3,0.16122,,
7.4,0.14783,,
7.5,0.13241,,
7.6,0.11430,,
7.7,0.09535,,
7.8,0.07660,,
7.9,0.05990,,
8.0,0.04678,,
8.1,0.03910,,
8.2,0.03485,,
8.3,0.03532,,
8.4,0.04023,,
8.5,0.05041,,
8.6,0.06264,,
8.7,0.07372,,
8.8,0.08335,,
8.9,0.09079,,
9.0,0.09781,,
9.1,0.10601,,
9.2,0.11291,,
9.3,0.11789,,
9.4,0.11947,,
9.5,0.11443,,
9.6,0.10419,,
9.7,0.09184,,
9.8,0.07919,,
9.9,0.06790,,
10.0,0.05876,,
10.1,0.05138,,
10.2,0.04410,,
10.3,0.03603,,
10.4,0.02543,,
10.5,0.01088,,
10.6,-0.00677,,
10.7,-0.02553,,
10.8,-0.04359,,
10.9,-0.06002,,
11.0,-0.07380,,
11.1,-0.08323,,
11.2,-0.08839,,
11.3,-0.08896,,
11.4,-0.08245,,
11.5,-0.07069,,
11.6,-0.05568,,
11.7,-0.04137,,
11.8,-0.03182,,
11.9,-0.02950,,
12.0,-0.03459,,
12.1,-0.04530,,
12.2,-0.05897,,
12.3,-0.06934,,
12.4,-0.07328,,
12.5,-0.06629,,
12.6,-0.05135,,
12.7,-0.03261,,
12.8,-0.01453,,
12.9,-0.00410,,
13.0,-0.00318,,
13.1,-0.01078,,
13.2,-0.02509,,
13.3,-0.04069,,
13.4,-0.05131,,
13.5,-0.05393,,
13.6,-0.04815,,
13.7,-0.03504,,
13.8,-0.01898,,
13.9,-0.00255,,
14.0,0.01022,,
14.1,0.01677,,
14.2,0.01682,,
14.3,0.01003,,
14.4,-0.00197,,
14.5,-0.01792,,
14.6,-0.03424,,
14.7,-0.04635,,
14.8,-0.05405,,
14.9,-0.05691,,
15.0,-0.05569,,
15.1,-0.05177,,
15.2,-0.04673,,
15.3,-0.04150,,
15.4,-0.03790,,
15.5,-0.03748,,
15.6,-0.04015,,
15.7,-0.04632,,
15.8,-0.05331,,
15.9,-0.05831,,
16.0,-0.05995,,
16.1,-0.05577,,
16.2,-0.04617,,
16.3,-0.03243,,
16.4,-0.01618,,
16.5,-0.00178,,
16.6,0.00659,,
16.7,0.00712,,
16.8,-0.00126,,
16.9,-0.01584,,
17.0,-0.03276,,
17.1,-0.04778,,
17.2,-0.05746,,
17.3,-0.05968,,
17.4,-0.05316,,
17.5,-0.04050,,
17.6,-0.02615,,
17.7,-0.01397,,
17.8,-0.00518,,
17.9,-0.00087,,
18.0,0.00067,,
18.1,0.00058,,
18.2,0.00154,,
18.3,0.00560,,
18.4,0.01228,,
18.5,0.02184,,
18.6,0.03351,,
18.7,0.04873,,
18.8,0.06604,,
18.9,0.08384,,
19.0,0.09793,,
19.1,0.10766,,
19.2,0.11100,,
19.3,0.10865,,
19.4,0.10205,,
19.5,0.09425,,
19.6,0.08962,,
19.7,0.08829,,
19.8,0.09142,,
19.9,0.09600,,
20.0,0.09900,,
20.1,0.09958,,
20.2,0.09678,,
20.3,0.09101,,
20.4,0.08401,,
20.5,0.07746,,
20.6,0.07355,,
20.7,0.07195,,
20.8,0.07033,,
20.9,0.06679,,
21.0,0.06177,,
21.1,0.05494,,
21.2,0.04890,,
21.3,0.04565,,
21.4,0.04606,,
21.5,0.04638,,
21.6,0.04393,,
21.7,0.03550,,
21.8,0.02113,,
21.9,0.00522,,
22.0,-0.00714,,
22.1,-0.01411,,
22.2,-0.01379,,
22.3,-0.00962,,
22.4,-0.00572,,
22.5,-0.00626,,
22.6,-0.01314,,
22.7,-0.02561,,
22.8,-0.04090,,
22.9,-0.05468,,
23.0,-0.06340,,
23.1,-0.06423,,
23.2,-0.05750,,
23.3,-0.04594,,
23.4,-0.03135,,
23.5,-0.01557,,
23.6,0.00430,,
23.7,0.02817,,
23.8,0.05441,,
23.9,0.08264,,
24.0,0.10919,,
24.1,0.12828,,
24.2,0.13535,,
24.3,0.12750,,
24.4,0.10557,,
24.5,0.07365,,
24.6,0.03729,,
24.7,0.00112,,
24.8,-0.02912,,
24.9,-0.05010,,
25.0,-0.06399,,
25.1,-0.07249,,
25.2,-0.07752,,
25.3,-0.08039,,
25.4,-0.08063,,
25.5,-0.07684,,
25.6,-0.06726,,
25.7,-0.05068,,
25.8,-0.03028,,
25.9,-0.00868,,
26.0,0.01263,,
26.1,0.03485,,
26.2,0.05855,,
26.3,0.08327,,
26.4,0.10673,,
26.5,0.12645,,
26.6,0.13809,,
26.7,0.14056,,
26.8,0.13656,,
26.9,0.12537,,
27.0,0.11174,,
27.1,0.10037,,
27.2,0.09229,,
27.3,0.09047,,
27.4,0.09605,,
27.5,0.10712,,
27.6,0.12359,,
27.7,0.14305,,
27.8,0.16201,,
27.9,0.17929,,
28.0,0.19175,,
28.1,0.19869,,
28.2,0.20082,,
28.3,0.20016,,
28.4,0.19668,,
28.5,0.19124,,
28.6,0.18574,,
28.7,0.18121,,
28.8,0.17748,,
28.9,0.17374,,
29.0,0.16890,,
29.1,0.15847,,
29.2,0.14114,,
29.3,0.11932,,
29.4,0.09661,,
29.5,0.07433,,
29.6,0.05582,,
29.7,0.04259,,
29.8,0.03440,,
29.9,0.02748,,
30.0,0.01970,,
30.1,0.00933,,
30.2,-0.00436,,
30.3,-0.02222,,
30.4,-0.04304,,
30.5,-0.06534,,
30.6,-0.08886,,
30.7,-0.11139,,
30.8,-0.12986,,
30.9,-0.14288,,
31.0,-0.15012,,
