Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00291,,
0.2,-0.00636,,
0.3,-0.00991,,
0.4,-0.01201,,
0.5,-0.01390,,
0.6,-0.01429,,
0.7,-0.01326,,
0.8,-0.01292,,
0.9,-0.01436,,
1.0,-0.01606,,
1.1,-0.01850,,
1.2,-0.02122,,
1.3,-0.02463,,
1.4,-0.02757,,
1.5,-0.02945,,
1.6,-0.03267,,
1.7,-0.03776,,
1.8,-0.04290,,
1.9,-0.04842,,
2.0,-0.05447,,
2.1,-0.06242,,
2.2,-0.07022,,
2.3,-0.07877,,
2.4,-0.08783,,
2.5,-0.09724,,
2.6,-0.10623,,
2.7,-0.11375,,
2.8,-0.12001,,
2.9,-0.12654,,
3.0,-0.13148,,
3.1,-0.13264,,
3.2,-0.13110,,
3.3,-0.12763,,
3.4,-0.12343,,
3.5,-0.11922,,
3.6,-0.11403,,
3.7,-0.10877,,
3.8,-0.10457,,
3.9,-0.09932,,
4.0,-0.09395,,
4.1,-0.08897,,
4.2,-0.08396,,
4.3,-0.07870,,
4.4,-0.07440,,
4.5,-0.07099,,
4.6,-0.07035,,
4.7,-0.07197,,
4.8,-0.07474,,
4.9,-0.07932,,
5.0,-0.08527,,
5.1,-0.09224,,
5.2,-0.10198,,
5.3,-0.11256,,
5.4,-0.12487,,
5.5,-0.13929,,
5.6,-0.15385,,
5.7,-0.16950,,
5.8,-0.18336,,
5.9,-0.19532,,
6.0,-0.20548,,
6.1,-0.21137,,
6.2,-0.21461,,
6.3,-0.21560,,
6.4,-0.21538,,
6.5,-0.21328,,
6.6,-0.20906,,
6.7,-0.20209,,
6.8,-0.19422,,
6.9,-0.18582,,
7.0,-0.17782,,
7.1,-0.16935,,
7.2,-0.15997,,
7.3,-0.15085,,
7.4,-0.14192,,
7.5,-0.13315,,
7.6,-0.12449,,
7.7,-0.11658,,
7.8,-0.10904,,
7.9,-0.10164,,
8.0,-0.09426,,
8.1,-0.08748,,
8.2,-0.08224,,
8.3,-0.07825,,
8.4,-0.07464,,
8.5,-0.07353,,
8.6,-0.07390,,
8.7,-0.07510,,
8.8,-0.07806,,
8.9,-0.08114,,
9.0,-0.08612,,
9.1,-0.09248,,
9.2,-0.09919,,
9.3,-0.10633,,
9.4,-0.11391,,
9.5,-0.12126,,
9.6,-0.13066,,
9.7,-0.13922,,
9.8,-0.14877,,
9.9,-0.15889,,
10.0,-0.16998,,
10.1,-0.18217,,
10.2,-0.19414,,
10.3,-0.20455,,
10.4,-0.21476,,
10.5,-0.22419,,
10.6,-0.23259,,
10.7,-0.23991,,
10.8,-0.24618,,
10.9,-0.25085,,
11.0,-0.25439,,
11.1,-0.25582,,
11.2,-0.25607,,
11.3,-0.25707,,
11.4,-0.25779,,
11.5,-0.25904,,
11.6,-0.26055,,
11.7,-0.26150,,
11.8,-0.26544,,
11.9,-0.27011,,
12.0,-0.27424,,
12.1,-0.27719,,
12.2,-0.28002,,
12.3,-0.28199,,
12.4,-0.28474,,
12.5,-0.28843,,
12.6,-0.29310,,
12.7,-0.29933,,
12.8,-0.30734,,
12.9,-0.31448,,
13.0,-0.32202,,
13.1,-0.33195,,
13.2,-0.34052,,
13.3,-0.34914,,
13.4,-0.35789,,
13.5,-0.36747,,
13.6,-0.37687,,
13.7,-0.38557,,
13.8,-0.39465,,
13.9,-0.40335,,
14.0,-0.41129,,
14.1,-0.41963,,
14.2,-0.42701,,
14.3,-0.43471,,
14.4,-0.44145,,
14.5,-0.44658,,
14.6,-0.45056,,
14.7,-0.45304,,
14.8,-0.45460,,
14.9,-0.45694,,
15.0,-0.45960,,
15.1,-0.46230,,
15.2,-0.46490,,
15.3,-0.46732,,
15.4,-0.46821,,
15.5,-0.46895,,
15.6,-0.46896,,
15.7,-0.46930,,
15.8,-0.46986,,
15.9,-0.46924,,
16.0,-0.46744,,
16.1,-0.46652,,
16.2,-0.46489,,
16.3,-0.46305,,
16.4,-0.46130,,
16.5,-0.45979,,
16.6,-0.45726,,
16.7,-0.45377,,
16.8,-0.45008,,
16.9,-0.44727,,
17.0,-0.44322,,
17.1,-0.43887,,
17.2,-0.43472,,
17.3,-0.43105,,
17.4,-0.42863,,
