Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.00348,,
0.2,0.00859,,
0.3,0.01277,,
0.4,0.01272,,
0.5,0.00832,,
0.6,0.00110,,
0.7,-0.00920,,
0.8,-0.02252,,
0.9,-0.03795,,
1.0,-0.05221,,
1.1,-0.06362,,
1.2,-0.07082,,
1.3,-0.07472,,
1.4,-0.07669,,
1.5,-0.07629,,
1.6,-0.07411,,
1.7,-0.07191,,
1.8,-0.06998,,
1.9,-0.06978,,
2.0,-0.06998,,
2.1,-0.07182,,
2.2,-0.07520,,
2.3,-0.07664,,
2.4,-0.07442,,
2.5,-0.07052,,
2.6,-0.06414,,
2.7,-0.05834,,
2.8,-0.05272,,
2.9,-0.04838,,
3.0,-0.04648,,
3.1,-0.04682,,
3.2,-0.04910,,
3.3,-0.05371,,
3.4,-0.05804,,
3.5,-0.06270,,
3.6,-0.06599,,
3.7,-0.06778,,
3.8,-0.07009,,
3.9,-0.07394,,
4.0,-0.07847,,
4.1,-0.08448,,
4.2,-0.09295,,
4.3,-0.10358,,
4.4,-0.11671,,
4.5,-0.12838,,
4.6,-0.13987,,
4.7,-0.15057,,
4.8,-0.15689,,
4.9,-0.15989,,
5.0,-0.15968,,
5.1,-0.15592,,
5.2,-0.15064,,
5.3,-0.14571,,
5.4,-0.14144,,
5.5,-0.13994,,
5.6,-0.14146,,
5.7,-0.14595,,
5.8,-0.15248,,
5.9,-0.15845,,
6.0,-0.16381,,
6.1,-0.16989,,
6.2,-0.17474,,
6.3,-0.17870,,
6.4,-0.18333,,
6.5,-0.18813,,
6.6,-0.19410,,
6.7,-0.20172,,
6.8,-0.21047,,
6.9,-0.22128,,
7.0,-0.23190,,
7.1,-0.24178,,
7.2,-0.24934,,
7.3,-0.25196,,
7.4,-0.25383,,
7.5,-0.25595,,
7.6,-0.25884,,
7.7,-0.26403,,
7.8,-0.27153,,
7.9,-0.28051,,
8.0,-0.29042,,
8.1,-0.30024,,
8.2,-0.31076,,
8.3,-0.32168,,
8.4,-0.33280,,
8.5,-0.34271,,
8.6,-0.35402,,
8.7,-0.36341,,
8.8,-0.37188,,
8.9,-0.37871,,
9.0,-0.38298,,
9.1,-0.38503,,
9.2,-0.38718,,
9.3,-0.38870,,
9.4,-0.39122,,
9.5,-0.39486,,
9.6,-0.39832,,
9.7,-0.40023,,
9.8,-0.39932,,
9.9,-0.39510,,
10.0,-0.39020,,
10.1,-0.38672,,
10.2,-0.38635,,
10.3,-0.38847,,
10.4,-0.39320,,
10.5,-0.39979,,
10.6,-0.40635,,
10.7,-0.41322,,
10.8,-0.41988,,
10.9,-0.42607,,
11.0,-0.43103,,
11.1,-0.43576,,
11.2,-0.44147,,
11.3,-0.44609,,
11.4,-0.45059,,
11.5,-0.45548,,
11.6,-0.46101,,
11.7,-0.46858,,
11.8,-0.47816,,
11.9,-0.48956,,
12.0,-0.50257,,
12.1,-0.51431,,
12.2,-0.52465,,
12.3,-0.53230,,
12.4,-0.53743,,
12.5,-0.54029,,
12.6,-0.54186,,
12.7,-0.54341,,
12.8,-0.54759,,
12.9,-0.55499,,
13.0,-0.56371,,
13.1,-0.57263,,
13.2,-0.58181,,
13.3,-0.59058,,
13.4,-0.59665,,
13.5,-0.59833,,
13.6,-0.59699,,
13.7,-0.59359,,
13.8,-0.58747,,
13.9,-0.57980,,
14.0,-0.57130,,
14.1,-0.56442,,
14.2,-0.56034,,
14.3,-0.55817,,
14.4,-0.55599,,
14.5,-0.55408,,
14.6,-0.55060,,
14.7,-0.54466,,
14.8,-0.53730,,
14.9,-0.52784,,
15.0,-0.51741,,
15.1,-0.50864,,
15.2,-0.50085,,
15.3,-0.49427,,
15.4,-0.48959,,
15.5,-0.48836,,
15.6,-0.48921,,
15.7,-0.49056,,
15.8,-0.49089,,
15.9,-0.49011,,
16.0,-0.48892,,
16.1,-0.48639,,
16.2,-0.48477,,
16.3,-0.48454,,
16.4,-0.48651,,
16.5,-0.49162,,
16.6,-0.50014,,
16.7,-0.51266,,
16.8,-0.52521,,
16.9,-0.53702,,
17.0,-0.54571,,
17.1,-0.54960,,
17.2,-0.54811,,
17.3,-0.54398,,
17.4,-0.53818,,
17.5,-0.53203,,
17.6,-0.52691,,
17.7,-0.52218,,
17.8,-0.51878,,
17.9,-0.51777,,
18.0,-0.51626,,
18.1,-0.51472,,
18.2,-0.51273,,
18.3,-0.51077,,
18.4,-0.50776,,
18.5,-0.50586,,
18.6,-0.50150,,
18.7,-0.49494,,
18.8,-0.48846,,
18.9,-0.48261,,
19.0,-0.47763,,
19.1,-0.47558,,
19.2,-0.47669,,
19.3,-0.47888,,
19.4,-0.48030,,
19.5,-0.47934,,
19.6,-0.47729,,
19.7,-0.47428,,
19.8,-0.47109,,
19.9,-0.46815,,
20.0,-0.46700,,
20.1,-0.46899,,
20.2,-0.47463,,
20.3,-0.48260,,
20.4,-0.49203,,
20.5,-0.50235,,
20.6,-0.51253,,
20.7,-0.52203,,
20.8,-0.53061,,
20.9,-0.53622,,
21.0,-0.53996,,
21.1,-0.54189,,
21.2,-0.54283,,
21.3,-0.54330,,
21.4,-0.54229,,
21.5,-0.54134,,
21.6,-0.54193,,
21.7,-0.54474,,
21.8,-0.54933,,
21.9,-0.55401,,
22.0,-0.55720,,
22.1,-0.55684,,
22.2,-0.55408,,
22.3,-0.55034,,
22.4,-0.54648,,
22.5,-0.54426,,
22.6,-0.54387,,
22.7,-0.54460,,
22.8,-0.54404,,
22.9,-0.54492,,
23.0,-0.54597,,
23.1,-0.54650,,
23.2,-0.54486,,
23.3,-0.54097,,
23.4,-0.53628,,
23.5,-0.53294,,
23.6,-0.53069,,
23.7,-0.52930,,
23.8,-0.52860,,
23.9,-0.52909,,
24.0,-0.53032,,
24.1,-0.53264,,
24.2,-0.53681,,
24.3,-0.54247,,
24.4,-0.54995,,
24.5,-0.55602,,
24.6,-0.56103,,
24.7,-0.56390,,
24.8,-0.56489,,
24.9,-0.56558,,
25.0,-0.56684,,
25.1,-0.56910,,
25.2,-0.57384,,
25.3,-0.58035,,
25.4,-0.58944,,
25.5,-0.60005,,
25.6,-0.60951,,
25.7,-0.61583,,
25.8,-0.61946,,
25.9,-0.62087,,
26.0,-0.62176,,
26.1,-0.62111,,
26.2,-0.61914,,
26.3,-0.61608,,
26.4,-0.61144,,
26.5,-0.60444,,
26.6,-0.59812,,
26.7,-0.59340,,
26.8,-0.58867,,
26.9,-0.58308,,
27.0,-0.57492,,
27.1,-0.56609,,
27.2,-0.55699,,
27.3,-0.54984,,
27.4,-0.54437,,
27.5,-0.54098,,
27.6,-0.53775,,
27.7,-0.53628,,
27.8,-0.53532,,
27.9,-0.53482,,
28.0,-0.53342,,
28.1,-0.52976,,
28.2,-0.52529,,
28.3,-0.52083,,
28.4,-0.51549,,
28.5,-0.51018,,
28.6,-0.50606,,
28.7,-0.50101,,
28.8,-0.49397,,
28.9,-0.48649,,
29.0,-0.47943,,
29.1,-0.47322,,
29.2,-0.46936,,
29.3,-0.46782,,
29.4,-0.46709,,
29.5,-0.46830,,
29.6,-0.46926,,
29.7,-0.46816,,
29.8,-0.46615,,
29.9,-0.46393,,
30.0,-0.46254,,
30.1,-0.46181,,
30.2,-0.46161,,
30.3,-0.46183,,
30.4,-0.46305,,
30.5,-0.46483,,
30.6,-0.46692,,
30.7,-0.46979,,
30.8,-0.47367,,
30.9,-0.47793,,
31.0,-0.47957,,
31.1,-0.48048,,
31.2,-0.48038,,
31.3,-0.47856,,
31.4,-0.47607,,
31.5,-0.47286,,
31.6,-0.46830,,
31.7,-0.46346,,
31.8,-0.45565,,
31.9,-0.44494,,
32.0,-0.43357,,
32.1,-0.42146,,
32.2,-0.40995,,
32.3,-0.40037,,
32.4,-0.39197,,
32.5,-0.38427,,
32.6,-0.37828,,
32.7,-0.37376,,
32.8,-0.36915,,
32.9,-0.36297,,
33.0,-0.35321,,
33.1,-0.34170,,
33.2,-0.33020,,
33.3,-0.32030,,
33.4,-0.31210,,
33.5,-0.30618,,
33.6,-0.30071,,
33.7,-0.29468,,
33.8,-0.28692,,
33.9,-0.27825,,
34.0,-0.27116,,
34.1,-0.26621,,
34.2,-0.26354,,
34.3,-0.26373,,
34.4,-0.26357,,
34.5,-0.26338,,
34.6,-0.26461,,
34.7,-0.26598,,
34.8,-0.26746,,
34.9,-0.26966,,
