Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00671,,
0.2,-0.01405,,
0.3,-0.02262,,
0.4,-0.03137,,
0.5,-0.03772,,
0.6,-0.04311,,
0.7,-0.04705,,
0.8,-0.05072,,
0.9,-0.05277,,
1.0,-0.05458,,
1.1,-0.05560,,
1.2,-0.05492,,
1.3,-0.05282,,
1.4,-0.04959,,
1.5,-0.04543,,
1.6,-0.04119,,
1.7,-0.03601,,
1.8,-0.03081,,
1.9,-0.02544,,
2.0,-0.02048,,
2.1,-0.01422,,
2.2,-0.00719,,
2.3,-0.00168,,
2.4,0.00317,,
2.5,0.00719,,
2.6,0.00904,,
2.7,0.00948,,
2.8,0.00901,,
2.9,0.00732,,
3.0,0.00496,,
3.1,0.00099,,
3.2,-0.00567,,
3.3,-0.01274,,
3.4,-0.01965,,
3.5,-0.02676,,
3.6,-0.03423,,
3.7,-0.04149,,
3.8,-0.04823,,
3.9,-0.05432,,
4.0,-0.06108,,
4.1,-0.06781,,
4.2,-0.07484,,
4.3,-0.08097,,
4.4,-0.08762,,
4.5,-0.09353,,
4.6,-0.09940,,
4.7,-0.10494,,
4.8,-0.11003,,
4.9,-0.11595,,
5.0,-0.12003,,
5.1,-0.12361,,
5.2,-0.12743,,
5.3,-0.13058,,
5.4,-0.13392,,
5.5,-0.13591,,
5.6,-0.13584,,
5.7,-0.13413,,
5.8,-0.13177,,
5.9,-0.12804,,
6.0,-0.12330,,
6.1,-0.11716,,
6.2,-0.11082,,
6.3,-0.10362,,
6.4,-0.09595,,
6.5,-0.08736,,
6.6,-0.07968,,
6.7,-0.07117,,
6.8,-0.06295,,
6.9,-0.05493,,
7.0,-0.04639,,
7.1,-0.03830,,
7.2,-0.03049,,
7.3,-0.02351,,
7.4,-0.01628,,
7.5,-0.01020,,
7.6,-0.00529,,
7.7,-0.00149,,
7.8,0.00134,,
7.9,0.00332,,
8.0,0.00392,,
8.1,0.00429,,
8.2,0.00307,,
8.3,0.00162,,
8.4,-0.00128,,
8.5,-0.00553,,
8.6,-0.01032,,
8.7,-0.01451,,
8.8,-0.01820,,
8.9,-0.02279,,
9.0,-0.02699,,
9.1,-0.03081,,
9.2,-0.03492,,
9.3,-0.03967,,
9.4,-0.04586,,
9.5,-0.05051,,
9.6,-0.05611,,
9.7,-0.06326,,
9.8,-0.07083,,
9.9,-0.07953,,
10.0,-0.08833,,
10.1,-0.09798,,
10.2,-0.10819,,
10.3,-0.11807,,
10.4,-0.12719,,
10.5,-0.13735,,
10.6,-0.14745,,
10.7,-0.15757,,
10.8,-0.16776,,
10.9,-0.17671,,
11.0,-0.18580,,
11.1,-0.19640,,
11.2,-0.20651,,
11.3,-0.21641,,
11.4,-0.22693,,
11.5,-0.23715,,
11.6,-0.24724,,
11.7,-0.25799,,
11.8,-0.26909,,
11.9,-0.28168,,
12.0,-0.29495,,
12.1,-0.30775,,
12.2,-0.32015,,
12.3,-0.33224,,
