Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.01749,,
0.2,0.03457,,
0.3,0.04686,,
0.4,0.05169,,
0.5,0.04950,,
0.6,0.04233,,
0.7,0.03098,,
0.8,0.02080,,
0.9,0.01325,,
1.0,0.01024,,
1.1,0.01116,,
1.2,0.01341,,
1.3,0.01419,,
1.4,0.01409,,
1.5,0.01280,,
1.6,0.00896,,
1.7,0.00199,,
1.8,-0.00950,,
1.9,-0.02197,,
2.0,-0.03214,,
2.1,-0.03974,,
2.2,-0.04348,,
2.3,-0.04426,,
2.4,-0.04345,,
2.5,-0.03992,,
2.6,-0.03521,,
2.7,-0.02961,,
2.8,-0.02528,,
2.9,-0.02332,,
3.0,-0.02413,,
3.1,-0.02774,,
3.2,-0.03065,,
3.3,-0.02907,,
3.4,-0.02260,,
3.5,-0.01203,,
3.6,0.00059,,
3.7,0.01269,,
3.8,0.02295,,
3.9,0.03276,,
4.0,0.04224,,
4.1,0.05082,,
4.2,0.05693,,
4.3,0.05926,,
4.4,0.05869,,
4.5,0.05589,,
4.6,0.05405,,
4.7,0.05675,,
4.8,0.06429,,
4.9,0.07385,,
5.0,0.08177,,
5.1,0.08490,,
5.2,0.08388,,
5.3,0.07934,,
5.4,0.07319,,
5.5,0.06789,,
5.6,0.06338,,
5.7,0.05826,,
5.8,0.05379,,
5.9,0.05060,,
6.0,0.04696,,
6.1,0.04198,,
6.2,0.03659,,
6.3,0.02868,,
6.4,0.02127,,
6.5,0.01460,,
6.6,0.00745,,
6.7,-0.00016,,
6.8,-0.00949,,
6.9,-0.02043,,
7.0,-0.03019,,
7.1,-0.03734,,
7.2,-0.03932,,
7.3,-0.03711,,
7.4,-0.03352,,
7.5,-0.03015,,
7.6,-0.02917,,
7.7,-0.02959,,
7.8,-0.03142,,
7.9,-0.03460,,
8.0,-0.03566,,
8.1,-0.03557,,
8.2,-0.03557,,
8.3,-0.03501,,
8.4,-0.03290,,
8.5,-0.02951,,
8.6,-0.02176,,
8.7,-0.00963,,
8.8,0.00525,,
8.9,0.02313,,
9.0,0.03998,,
9.1,0.05303,,
9.2,0.06110,,
9.3,0.06256,,
9.4,0.06232,,
9.5,0.06179,,
9.6,0.06506,,
9.7,0.07405,,
9.8,0.08739,,
9.9,0.10140,,
10.0,0.11472,,
10.1,0.12668,,
10.2,0.13832,,
10.3,0.14824,,
10.4,0.15518,,
10.5,0.15799,,
10.6,0.15768,,
10.7,0.15435,,
10.8,0.15026,,
10.9,0.14865,,
11.0,0.14843,,
11.1,0.14894,,
11.2,0.14974,,
11.3,0.14995,,
11.4,0.14714,,
11.5,0.13891,,
11.6,0.12501,,
11.7,0.10771,,
11.8,0.08846,,
11.9,0.07016,,
12.0,0.05759,,
12.1,0.05291,,
12.2,0.05671,,
12.3,0.06473,,
12.4,0.07441,,
12.5,0.08423,,
12.6,0.09337,,
12.7,0.10080,,
12.8,0.10540,,
12.9,0.10746,,
13.0,0.10796,,
13.1,0.10886,,
13.2,0.11053,,
13.3,0.11244,,
13.4,0.11496,,
13.5,0.11758,,
13.6,0.11936,,
13.7,0.12250,,
13.8,0.12610,,
13.9,0.13029,,
14.0,0.13381,,
14.1,0.13204,,
14.2,0.12290,,
14.3,0.10778,,
14.4,0.08786,,
14.5,0.06871,,
14.6,0.05264,,
14.7,0.03931,,
14.8,0.02969,,
14.9,0.02138,,
15.0,0.01169,,
15.1,0.00124,,
15.2,-0.01023,,
15.3,-0.02344,,
15.4,-0.03604,,
15.5,-0.04810,,
15.6,-0.05906,,
15.7,-0.06802,,
15.8,-0.07466,,
15.9,-0.07897,,
16.0,-0.08241,,
16.1,-0.08520,,
16.2,-0.08550,,
16.3,-0.08383,,
16.4,-0.07928,,
16.5,-0.07226,,
16.6,-0.06378,,
16.7,-0.05651,,
16.8,-0.05374,,
16.9,-0.05561,,
17.0,-0.05856,,
17.1,-0.05995,,
17.2,-0.05912,,
17.3,-0.05655,,
17.4,-0.05262,,
17.5,-0.04894,,
17.6,-0.04373,,
17.7,-0.03811,,
17.8,-0.03471,,
17.9,-0.03542,,
18.0,-0.04163,,
18.1,-0.05501,,
18.2,-0.07263,,
18.3,-0.09132,,
18.4,-0.10796,,
18.5,-0.11972,,
18.6,-0.12807,,
18.7,-0.13468,,
18.8,-0.13863,,
18.9,-0.14222,,
19.0,-0.14740,,
19.1,-0.15639,,
19.2,-0.17013,,
19.3,-0.18944,,
19.4,-0.21039,,
19.5,-0.23010,,
19.6,-0.24779,,
19.7,-0.25987,,
19.8,-0.26746,,
19.9,-0.27017,,
20.0,-0.26945,,
20.1,-0.26962,,
20.2,-0.27295,,
20.3,-0.27976,,
20.4,-0.28997,,
20.5,-0.30000,,
20.6,-0.30859,,
20.7,-0.31651,,
20.8,-0.32156,,
20.9,-0.32608,,
21.0,-0.33069,,
21.1,-0.33375,,
21.2,-0.33449,,
21.3,-0.33133,,
21.4,-0.32635,,
21.5,-0.32410,,
21.6,-0.32880,,
21.7,-0.34023,,
21.8,-0.35450,,
21.9,-0.36799,,
22.0,-0.37684,,
22.1,-0.37998,,
22.2,-0.37658,,
22.3,-0.36732,,
22.4,-0.35563,,
22.5,-0.34219,,
22.6,-0.32884,,
22.7,-0.31850,,
22.8,-0.30991,,
22.9,-0.30490,,
23.0,-0.30288,,
23.1,-0.30198,,
23.2,-0.30180,,
23.3,-0.29942,,
