Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00673,,
0.2,-0.01096,,
0.3,-0.02227,,
0.4,-0.02877,,
0.5,-0.03236,,
0.6,-0.03493,,
0.7,-0.03755,,
0.8,-0.03818,,
0.9,-0.03716,,
1.0,-0.03085,,
1.1,-0.02756,,
1.2,-0.02428,,
1.3,-0.01742,,
1.4,-0.00333,,
1.5,0.00822,,
1.6,0.01547,,
1.7,0.01646,,
1.8,0.01917,,
1.9,0.02643,,
2.0,0.03217,,
2.1,0.03921,,
2.2,0.04299,,
2.3,0.04199,,
2.4,0.04034,,
2.5,0.04096,,
2.6,0.03537,,
2.7,0.03464,,
2.8,0.02916,,
2.9,0.02537,,
3.0,0.01865,,
3.1,0.01204,,
3.2,0.00648,,
3.3,-0.00220,,
3.4,-0.01604,,
3.5,-0.03045,,
3.6,-0.04164,,
3.7,-0.05372,,
3.8,-0.06094,,
3.9,-0.06714,,
4.0,-0.07447,,
4.1,-0.08465,,
4.2,-0.09443,,
4.3,-0.10608,,
4.4,-0.11077,,
4.5,-0.11285,,
4.6,-0.10823,,
4.7,-0.10180,,
4.8,-0.09698,,
4.9,-0.09481,,
5.0,-0.09041,,
5.1,-0.08524,,
5.2,-0.08414,,
5.3,-0.07882,,
5.4,-0.07506,,
5.5,-0.06661,,
5.6,-0.05636,,
5.7,-0.04736,,
5.8,-0.03253,,
5.9,-0.02106,,
6.0,-0.01828,,
6.1,-0.02313,,
6.2,-0.02263,,
6.3,-0.02074,,
6.4,-0.01507,,
6.5,-0.00661,,
6.6,-0.00068,,
6.7,0.00663,,
6.8,0.01337,,
6.9,0.01324,,
7.0,0.00864,,
7.1,0.00251,,
7.2,0.00180,,
7.3,0.00061,,
7.4,-0.00220,,
7.5,-0.00317,,
7.6,0.00008,,
7.7,0.00061,,
7.8,-0.00248,,
7.9,-0.00279,,
8.0,0.00157,,
8.1,0.00008,,
8.2,0.00069,,
8.3,0.00490,,
8.4,0.00137,,
8.5,-0.00224,,
8.6,-0.00445,,
8.7,-0.00324,,
8.8,-0.00437,,
8.9,-0.00153,,
9.0,0.00705,,
9.1,0.01665,,
9.2,0.02729,,
9.3,0.03561,,
9.4,0.04593,,
9.5,0.05511,,
9.6,0.06224,,
9.7,0.06960,,
9.8,0.07973,,
9.9,0.08783,,
10.0,0.09415,,
10.1,0.10023,,
10.2,0.10694,,
10.3,0.11007,,
10.4,0.11159,,
10.5,0.10804,,
10.6,0.10387,,
10.7,0.09822,,
10.8,0.08875,,
10.9,0.07975,,
11.0,0.06492,,
11.1,0.05647,,
11.2,0.04993,,
11.3,0.03948,,
11.4,0.02622,,
11.5,0.01162,,
11.6,-0.00345,,
11.7,-0.00991,,
11.8,-0.01868,,
11.9,-0.03149,,
12.0,-0.03446,,
12.1,-0.04132,,
12.2,-0.04792,,
12.3,-0.05207,,
12.4,-0.05672,,
12.5,-0.05945,,
12.6,-0.06110,,
12.7,-0.06416,,
12.8,-0.06525,,
12.9,-0.06995,,
13.0,-0.07442,,
13.1,-0.07791,,
13.2,-0.08075,,
13.3,-0.08253,,
13.4,-0.08769,,
13.5,-0.09047,,
13.6,-0.09521,,
13.7,-0.09750,,
13.8,-0.11163,,
13.9,-0.12134,,
14.0,-0.13208,,
14.1,-0.13546,,
14.2,-0.14206,,
14.3,-0.14938,,
14.4,-0.15340,,
14.5,-0.15417,,
14.6,-0.15526,,
14.7,-0.15988,,
14.8,-0.16156,,
14.9,-0.16367,,
15.0,-0.17523,,
15.1,-0.17928,,
15.2,-0.17518,,
15.3,-0.16649,,
15.4,-0.16071,,
15.5,-0.15770,,
15.6,-0.14794,,
15.7,-0.14266,,
15.8,-0.13567,,
15.9,-0.13170,,
16.0,-0.12976,,
16.1,-0.12985,,
16.2,-0.13313,,
16.3,-0.13537,,
16.4,-0.13836,,
16.5,-0.14101,,
16.6,-0.14737,,
16.7,-0.15738,,
16.8,-0.16613,,
16.9,-0.18162,,
17.0,-0.19447,,
17.1,-0.20776,,
17.2,-0.22508,,
17.3,-0.23554,,
17.4,-0.24632,,
17.5,-0.25861,,
17.6,-0.27427,,
17.7,-0.28942,,
17.8,-0.30532,,
17.9,-0.31337,,
18.0,-0.31808,,
18.1,-0.32079,,
18.2,-0.32435,,
18.3,-0.32627,,
18.4,-0.32598,,
18.5,-0.32532,,
18.6,-0.32332,,
18.7,-0.32352,,
18.8,-0.31975,,
18.9,-0.31424,,
19.0,-0.30437,,
19.1,-0.29697,,
19.2,-0.29023,,
19.3,-0.28776,,
19.4,-0.28064,,
19.5,-0.27298,,
19.6,-0.27363,,
19.7,-0.27487,,
19.8,-0.26987,,
19.9,-0.26928,,
20.0,-0.26792,,
20.1,-0.26903,,
20.2,-0.26359,,
20.3,-0.26110,,
20.4,-0.25787,,
20.5,-0.25988,,
20.6,-0.26602,,
20.7,-0.26877,,
20.8,-0.26834,,
20.9,-0.27097,,
21.0,-0.27916,,
21.1,-0.28591,,
21.2,-0.29747,,
21.3,-0.31026,,
21.4,-0.32293,,
21.5,-0.34003,,
21.6,-0.35051,,
21.7,-0.36934,,
21.8,-0.39078,,
21.9,-0.40760,,
22.0,-0.42483,,
22.1,-0.44249,,
22.2,-0.45727,,
22.3,-0.46629,,
22.4,-0.47302,,
22.5,-0.47157,,
22.6,-0.47324,,
22.7,-0.47659,,
22.8,-0.47744,,
22.9,-0.47965,,
23.0,-0.47994,,
23.1,-0.48392,,
23.2,-0.48314,,
23.3,-0.48526,,
23.4,-0.48167,,
23.5,-0.48068,,
23.6,-0.47536,,
23.7,-0.46822,,
23.8,-0.46538,,
23.9,-0.46716,,
24.0,-0.47537,,
24.1,-0.48197,,
24.2,-0.49065,,
24.3,-0.49865,,
24.4,-0.50452,,
24.5,-0.50830,,
24.6,-0.51149,,
24.7,-0.50700,,
24.8,-0.50478,,
24.9,-0.50475,,
25.0,-0.50997,,
25.1,-0.51843,,
25.2,-0.52288,,
25.3,-0.52367,,
25.4,-0.52785,,
25.5,-0.53039,,
25.6,-0.53991,,
25.7,-0.54340,,
25.8,-0.55474,,
25.9,-0.56236,,
26.0,-0.57285,,
26.1,-0.58954,,
26.2,-0.59794,,
26.3,-0.60801,,
26.4,-0.62038,,
26.5,-0.63190,,
26.6,-0.64228,,
26.7,-0.64879,,
26.8,-0.65488,,
26.9,-0.65846,,
27.0,-0.66254,,
27.1,-0.66806,,
27.2,-0.67739,,
27.3,-0.68492,,
27.4,-0.68712,,
27.5,-0.68843,,
27.6,-0.68928,,
27.7,-0.68272,,
27.8,-0.67410,,
27.9,-0.66710,,
28.0,-0.66492,,
28.1,-0.66559,,
28.2,-0.66658,,
28.3,-0.66844,,
28.4,-0.67738,,
28.5,-0.67839,,
28.6,-0.68378,,
28.7,-0.68335,,
28.8,-0.67997,,
28.9,-0.67999,,
29.0,-0.68000,,
29.1,-0.67617,,
29.2,-0.67663,,
29.3,-0.67487,,
29.4,-0.67547,,
29.5,-0.67348,,
29.6,-0.66906,,
29.7,-0.66509,,
29.8,-0.66180,,
29.9,-0.65329,,
30.0,-0.65460,,
30.1,-0.65331,,
30.2,-0.64886,,
30.3,-0.65109,,
30.4,-0.65556,,
30.5,-0.65312,,
30.6,-0.64861,,
30.7,-0.64805,,
30.8,-0.64320,,
30.9,-0.63521,,
31.0,-0.62887,,
31.1,-0.62269,,
31.2,-0.62245,,
31.3,-0.62159,,
31.4,-0.61927,,
31.5,-0.61910,,
31.6,-0.62288,,
31.7,-0.62995,,
31.8,-0.63973,,
31.9,-0.64578,,
32.0,-0.65085,,
32.1,-0.66440,,
32.2,-0.67572,,
32.3,-0.69111,,
32.4,-0.70111,,
32.5,-0.71423,,
32.6,-0.72360,,
32.7,-0.74164,,
32.8,-0.75723,,
32.9,-0.77580,,
33.0,-0.79543,,
33.1,-0.80842,,
33.2,-0.81968,,
33.3,-0.83793,,
33.4,-0.85412,,
33.5,-0.86555,,
33.6,-0.87836,,
33.7,-0.89310,,
33.8,-0.91323,,
33.9,-0.93494,,
34.0,-0.95014,,
34.1,-0.96419,,
34.2,-0.97015,,
34.3,-0.97874,,
34.4,-0.99155,,
34.5,-1.00056,,
34.6,-1.00835,,
34.7,-1.01571,,
34.8,-1.01849,,
34.9,-1.02139,,
35.0,-1.02295,,
35.1,-1.01855,,
35.2,-1.01205,,
35.3,-1.00767,,
35.4,-1.00157,,
35.5,-0.99974,,
35.6,-1.00112,,
35.7,-0.99898,,
35.8,-0.99656,,
35.9,-0.99892,,
36.0,-1.00049,,
36.1,-1.00234,,
36.2,-0.99971,,
36.3,-0.99896,,
36.4,-1.00072,,
36.5,-1.00252,,
36.6,-1.00566,,
36.7,-1.00944,,
36.8,-1.01605,,
36.9,-1.01790,,
37.0,-1.01588,,
37.1,-1.00943,,
37.2,-1.00450,,
37.3,-1.00218,,
37.4,-1.00025,,
37.5,-0.99748,,
37.6,-0.99062,,
37.7,-0.98221,,
37.8,-0.97699,,
37.9,-0.98258,,
38.0,-0.98379,,
38.1,-0.98336,,
38.2,-0.98485,,
38.3,-0.99796,,
38.4,-1.00528,,
38.5,-1.00844,,
38.6,-1.00993,,
38.7,-1.01056,,
38.8,-1.01081,,
38.9,-1.00900,,
39.0,-1.00436,,
39.1,-1.00066,,
39.2,-0.99719,,
39.3,-0.99160,,
39.4,-0.98275,,
39.5,-0.97162,,
39.6,-0.96612,,
39.7,-0.96945,,
39.8,-0.97082,,
39.9,-0.97116,,
40.0,-0.97634,,
40.1,-0.98191,,
40.2,-0.99334,,
40.3,-1.00328,,
40.4,-1.01184,,
40.5,-1.02116,,
40.6,-1.03233,,
40.7,-1.04581,,
40.8,-1.05771,,
40.9,-1.06804,,
41.0,-1.07297,,
41.1,-1.07280,,
41.2,-1.07664,,
41.3,-1.07985,,
41.4,-1.08131,,
41.5,-1.08053,,
41.6,-1.07677,,
41.7,-1.07511,,
41.8,-1.07350,,
41.9,-1.07218,,
42.0,-1.07453,,
42.1,-1.08344,,
42.2,-1.08810,,
42.3,-1.09622,,
42.4,-1.10311,,
42.5,-1.11029,,
42.6,-1.11725,,
42.7,-1.12637,,
42.8,-1.13414,,
42.9,-1.14275,,
43.0,-1.14275,,
43.1,-1.13958,,
43.2,-1.13573,,
43.3,-1.12863,,
43.4,-1.12438,,
43.5,-1.11881,,
43.6,-1.11504,,
43.7,-1.11263,,
43.8,-1.10533,,
43.9,-1.09605,,
44.0,-1.09246,,
44.1,-1.08636,,
44.2,-1.08082,,
44.3,-1.07148,,
44.4,-1.06420,,
44.5,-1.05738,,
44.6,-1.05471,,
44.7,-1.04601,,
44.8,-1.04013,,
44.9,-1.03432,,
45.0,-1.02581,,
45.1,-1.01791,,
45.2,-1.01500,,
45.3,-1.02236,,
45.4,-1.02559,,
45.5,-1.02982,,
45.6,-1.03309,,
45.7,-1.04102,,
45.8,-1.05036,,
45.9,-1.05727,,
46.0,-1.06450,,
46.1,-1.06823,,
46.2,-1.07323,,
46.3,-1.08067,,
46.4,-1.08243,,
46.5,-1.08641,,
46.6,-1.09277,,
46.7,-1.09809,,
46.8,-1.10063,,
46.9,-1.10229,,
47.0,-1.11009,,
47.1,-1.11284,,
47.2,-1.11546,,
47.3,-1.11861,,
47.4,-1.11733,,
47.5,-1.11919,,
47.6,-1.12140,,
47.7,-1.12115,,
47.8,-1.12302,,
47.9,-1.12009,,
48.0,-1.11031,,
48.1,-1.09769,,
48.2,-1.08987,,
48.3,-1.07871,,
48.4,-1.07396,,
48.5,-1.07641,,
48.6,-1.07609,,
48.7,-1.06850,,
48.8,-1.06758,,
48.9,-1.06187,,
49.0,-1.05280,,
49.1,-1.04338,,
49.2,-1.03459,,
49.3,-1.02754,,
49.4,-1.02802,,
49.5,-1.02734,,
49.6,-1.02887,,
49.7,-1.02369,,
49.8,-1.01806,,
49.9,-1.01338,,
50.0,-1.01165,,
50.1,-1.01046,,
50.2,-1.00844,,
50.3,-1.01352,,
50.4,-1.02415,,
50.5,-1.03845,,
50.6,-1.05250,,
50.7,-1.06621,,
50.8,-1.07823,,
50.9,-1.08993,,
51.0,-1.10735,,
51.1,-1.12211,,
51.2,-1.13913,,
51.3,-1.15232,,
51.4,-1.16132,,
51.5,-1.17483,,
51.6,-1.18331,,
51.7,-1.19193,,
51.8,-1.20409,,
51.9,-1.21346,,
52.0,-1.22145,,
52.1,-1.22364,,
52.2,-1.22666,,
52.3,-1.23466,,
52.4,-1.23961,,
52.5,-1.24402,,
52.6,-1.24467,,
52.7,-1.24667,,
52.8,-1.24742,,
52.9,-1.24494,,
53.0,-1.23971,,
53.1,-1.23154,,
53.2,-1.22186,,
53.3,-1.20822,,
53.4,-1.19623,,
53.5,-1.18544,,
53.6,-1.17621,,
53.7,-1.16794,,
53.8,-1.15894,,
53.9,-1.15297,,
54.0,-1.14918,,
54.1,-1.14433,,
54.2,-1.14004,,
54.3,-1.13650,,
54.4,-1.13177,,
54.5,-1.12358,,
54.6,-1.11821,,
54.7,-1.11090,,
54.8,-1.10718,,
54.9,-1.10183,,
55.0,-1.10006,,
55.1,-1.10577,,
55.2,-1.10795,,
55.3,-1.11151,,
55.4,-1.12558,,
55.5,-1.14113,,
55.6,-1.15713,,
55.7,-1.17633,,
55.8,-1.19534,,
55.9,-1.21434,,
56.0,-1.22616,,
56.1,-1.23738,,
56.2,-1.24959,,
56.3,-1.26357,,
56.4,-1.27036,,
56.5,-1.27493,,
56.6,-1.27482,,
56.7,-1.27827,,
56.8,-1.28352,,
56.9,-1.28949,,
57.0,-1.29292,,
57.1,-1.29685,,
57.2,-1.30089,,
57.3,-1.30617,,
57.4,-1.30856,,
57.5,-1.30672,,
57.6,-1.30091,,
57.7,-1.29615,,
57.8,-1.28979,,
57.9,-1.28580,,
58.0,-1.28482,,
58.1,-1.28566,,
58.2,-1.29019,,
58.3,-1.29254,,
58.4,-1.28512,,
58.5,-1.27972,,
58.6,-1.27130,,
58.7,-1.26134,,
58.8,-1.25536,,
58.9,-1.24548,,
59.0,-1.24227,,
59.1,-1.23442,,
59.2,-1.22874,,
59.3,-1.22607,,
59.4,-1.22602,,
59.5,-1.22222,,
59.6,-1.21879,,
59.7,-1.21859,,
59.8,-1.22092,,
59.9,-1.22194,,
60.0,-1.22099,,
60.1,-1.22579,,
60.2,-1.23214,,
60.3,-1.23570,,
60.4,-1.24226,,
60.5,-1.24877,,
60.6,-1.25955,,
60.7,-1.26669,,
60.8,-1.27282,,
60.9,-1.28866,,
61.0,-1.30013,,
61.1,-1.31187,,
61.2,-1.32238,,
61.3,-1.32303,,
61.4,-1.32245,,
61.5,-1.33194,,
61.6,-1.34231,,
61.7,-1.35322,,
61.8,-1.36178,,
61.9,-1.37520,,
62.0,-1.38776,,
62.1,-1.39249,,
62.2,-1.39348,,
62.3,-1.39450,,
62.4,-1.39692,,
62.5,-1.40599,,
62.6,-1.41679,,
62.7,-1.42655,,
62.8,-1.43454,,
62.9,-1.44574,,
63.0,-1.46065,,
63.1,-1.46803,,
63.2,-1.48087,,
63.3,-1.49189,,
