Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00508,,
0.2,-0.01501,,
0.3,-0.03019,,
0.4,-0.04717,,
0.5,-0.06134,,
0.6,-0.06976,,
0.7,-0.07127,,
0.8,-0.06640,,
0.9,-0.05523,,
1.0,-0.04025,,
1.1,-0.02436,,
1.2,-0.00722,,
1.3,0.00730,,
1.4,0.01733,,
1.5,0.02218,,
1.6,0.02185,,
1.7,0.01869,,
1.8,0.01614,,
1.9,0.01668,,
2.0,0.02139,,
2.1,0.02924,,
2.2,0.03947,,
2.3,0.05082,,
2.4,0.06321,,
2.5,0.07782,,
2.6,0.09383,,
2.7,0.11069,,
2.8,0.12474,,
2.9,0.13422,,
3.0,0.13852,,
3.1,0.13834,,
3.2,0.13570,,
3.3,0.13383,,
3.4,0.13441,,
3.5,0.13751,,
3.6,0.14233,,
3.7,0.14501,,
3.8,0.14430,,
3.9,0.13778,,
4.0,0.12657,,
4.1,0.11357,,
4.2,0.09849,,
4.3,0.08264,,
4.4,0.06876,,
4.5,0.05818,,
4.6,0.05136,,
4.7,0.04897,,
4.8,0.04838,,
4.9,0.04740,,
5.0,0.04490,,
5.1,0.03970,,
5.2,0.03468,,
5.3,0.03070,,
5.4,0.02616,,
5.5,0.02290,,
5.6,0.02048,,
5.7,0.02258,,
5.8,0.02884,,
5.9,0.03814,,
6.0,0.04767,,
6.1,0.05524,,
6.2,0.05851,,
6.3,0.05652,,
6.4,0.05376,,
6.5,0.05269,,
6.6,0.05517,,
6.7,0.05996,,
6.8,0.06425,,
6.9,0.06790,,
7.0,0.07218,,
7.1,0.07774,,
7.2,0.08549,,
7.3,0.09708,,
7.4,0.11182,,
7.5,0.12512,,
7.6,0.13004,,
7.7,0.12672,,
7.8,0.11521,,
7.9,0.09674,,
8.0,0.07647,,
8.1,0.05857,,
8.2,0.04448,,
8.3,0.03403,,
8.4,0.02555,,
8.5,0.01535,,
8.6,0.00423,,
8.7,-0.00797,,
8.8,-0.02128,,
8.9,-0.03167,,
9.0,-0.03783,,
9.1,-0.03938,,
9.2,-0.03645,,
9.3,-0.03139,,
9.4,-0.02234,,
9.5,-0.01054,,
9.6,0.00445,,
9.7,0.02066,,
9.8,0.03628,,
9.9,0.04777,,
10.0,0.05283,,
10.1,0.04874,,
10.2,0.03798,,
10.3,0.02433,,
10.4,0.01071,,
10.5,0.00130,,
10.6,-0.00393,,
10.7,-0.00596,,
10.8,-0.00687,,
10.9,-0.00651,,
11.0,-0.00361,,
11.1,0.00170,,
11.2,0.00917,,
11.3,0.01916,,
11.4,0.03038,,
11.5,0.04269,,
11.6,0.05596,,
11.7,0.06805,,
11.8,0.07725,,
11.9,0.08021,,
12.0,0.07623,,
12.1,0.06479,,
12.2,0.05208,,
12.3,0.04281,,
12.4,0.03731,,
12.5,0.03612,,
12.6,0.03792,,
12.7,0.03913,,
12.8,0.03723,,
12.9,0.03373,,
13.0,0.03350,,
13.1,0.04222,,
13.2,0.05967,,
13.3,0.08377,,
13.4,0.10633,,
13.5,0.12176,,
13.6,0.12955,,
13.7,0.12864,,
13.8,0.12307,,
13.9,0.11136,,
14.0,0.09053,,
14.1,0.06359,,
14.2,0.03259,,
14.3,0.00024,,
14.4,-0.02861,,
14.5,-0.05227,,
14.6,-0.07284,,
14.7,-0.08640,,
14.8,-0.09332,,
14.9,-0.09296,,
15.0,-0.08748,,
15.1,-0.07972,,
15.2,-0.07202,,
15.3,-0.06763,,
15.4,-0.06935,,
15.5,-0.07563,,
15.6,-0.08661,,
15.7,-0.10137,,
15.8,-0.11718,,
15.9,-0.13316,,
16.0,-0.15145,,
16.1,-0.17304,,
16.2,-0.19955,,
16.3,-0.22753,,
16.4,-0.25634,,
16.5,-0.28625,,
16.6,-0.31468,,
16.7,-0.34101,,
16.8,-0.36440,,
16.9,-0.37867,,
17.0,-0.38315,,
17.1,-0.38147,,
17.2,-0.37602,,
17.3,-0.37232,,
17.4,-0.37451,,
17.5,-0.37977,,
17.6,-0.38836,,
17.7,-0.40017,,
17.8,-0.41426,,
17.9,-0.42863,,
18.0,-0.44087,,
18.1,-0.45118,,
18.2,-0.46043,,
18.3,-0.46920,,
18.4,-0.47781,,
18.5,-0.48645,,
18.6,-0.49325,,
