Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00146,,
0.2,-0.00693,,
0.3,-0.01487,,
0.4,-0.02364,,
0.5,-0.03097,,
0.6,-0.03377,,
0.7,-0.03268,,
0.8,-0.02900,,
0.9,-0.02425,,
1.0,-0.02000,,
1.1,-0.01837,,
1.2,-0.01898,,
1.3,-0.02147,,
1.4,-0.02487,,
1.5,-0.02857,,
1.6,-0.03157,,
1.7,-0.03207,,
1.8,-0.03192,,
1.9,-0.03347,,
2.0,-0.03788,,
2.1,-0.04356,,
2.2,-0.04893,,
2.3,-0.05183,,
2.4,-0.05194,,
2.5,-0.04864,,
2.6,-0.04447,,
2.7,-0.03888,,
2.8,-0.03300,,
2.9,-0.02942,,
3.0,-0.02411,,
3.1,-0.01897,,
3.2,-0.01435,,
3.3,-0.00976,,
3.4,-0.00491,,
3.5,0.00229,,
3.6,0.01019,,
3.7,0.01715,,
3.8,0.02240,,
3.9,0.02694,,
4.0,0.02940,,
4.1,0.02983,,
4.2,0.02908,,
4.3,0.02702,,
4.4,0.02567,,
4.5,0.02340,,
4.6,0.02008,,
4.7,0.01439,,
4.8,0.00711,,
4.9,-0.00122,,
5.0,-0.01091,,
5.1,-0.02136,,
5.2,-0.03153,,
5.3,-0.04287,,
5.4,-0.05541,,
5.5,-0.06907,,
5.6,-0.08309,,
5.7,-0.09636,,
5.8,-0.10900,,
5.9,-0.12112,,
6.0,-0.13151,,
6.1,-0.14292,,
6.2,-0.15149,,
6.3,-0.15733,,
6.4,-0.16333,,
6.5,-0.16972,,
6.6,-0.17591,,
6.7,-0.18955,,
6.8,-0.21352,,
6.9,-0.23940,,
7.0,-0.25066,,
7.1,-0.24147,,
7.2,-0.21279,,
7.3,-0.16787,,
7.4,-0.12215,,
7.5,-0.09583,,
7.6,-0.10628,,
7.7,-0.14830,,
7.8,-0.20563,,
7.9,-0.26315,,
8.0,-0.30617,,
8.1,-0.30673,,
8.2,-0.25287,,
8.3,-0.16717,,
8.4,-0.08907,,
8.5,-0.04380,,
8.6,-0.04848,,
8.7,-0.11068,,
8.8,-0.20791,,
8.9,-0.28997,,
9.0,-0.31651,,
9.1,-0.28638,,
9.2,-0.22214,,
9.3,-0.14297,,
9.4,-0.07340,,
9.5,-0.03978,,
9.6,-0.05230,,
9.7,-0.09271,,
9.8,-0.13401,,
9.9,-0.16103,,
10.0,-0.17060,,
10.1,-0.16293,,
10.2,-0.14400,,
10.3,-0.12376,,
10.4,-0.10828,,
10.5,-0.09521,,
10.6,-0.08114,,
10.7,-0.06563,,
10.8,-0.04789,,
10.9,-0.03094,,
11.0,-0.02032,,
11.1,-0.02448,,
11.2,-0.04556,,
11.3,-0.07758,,
11.4,-0.10861,,
11.5,-0.13101,,
11.6,-0.13801,,
11.7,-0.12972,,
11.8,-0.11785,,
11.9,-0.11883,,
12.0,-0.13990,,
12.1,-0.17424,,
12.2,-0.21002,,
12.3,-0.23746,,
12.4,-0.25128,,
12.5,-0.24829,,
12.6,-0.23788,,
12.7,-0.23685,,
12.8,-0.25418,,
12.9,-0.28678,,
13.0,-0.32199,,
13.1,-0.35219,,
13.2,-0.37431,,
13.3,-0.38529,,
13.4,-0.38958,,
13.5,-0.39663,,
13.6,-0.41331,,
13.7,-0.43666,,
13.8,-0.45736,,
13.9,-0.46730,,
14.0,-0.46489,,
14.1,-0.45411,,
14.2,-0.44167,,
14.3,-0.43655,,
14.4,-0.44437,,
14.5,-0.46522,,
14.6,-0.49296,,
14.7,-0.51455,,
14.8,-0.52146,,
14.9,-0.51150,,
15.0,-0.48799,,
15.1,-0.46358,,
15.2,-0.44843,,
15.3,-0.44731,,
15.4,-0.46178,,
15.5,-0.48429,,
15.6,-0.50561,,
15.7,-0.51625,,
15.8,-0.51321,,
15.9,-0.49917,,
16.0,-0.48227,,
16.1,-0.46973,,
16.2,-0.46644,,
16.3,-0.47237,,
16.4,-0.48288,,
16.5,-0.49120,,
16.6,-0.49452,,
16.7,-0.49366,,
16.8,-0.49334,,
16.9,-0.49470,,
17.0,-0.49892,,
17.1,-0.50312,,
17.2,-0.50244,,
17.3,-0.49466,,
17.4,-0.47840,,
17.5,-0.45818,,
17.6,-0.44130,,
17.7,-0.43343,,
17.8,-0.43761,,
17.9,-0.45199,,
18.0,-0.47219,,
18.1,-0.48752,,
18.2,-0.48998,,
18.3,-0.47685,,
18.4,-0.45307,,
18.5,-0.43062,,
18.6,-0.41849,,
18.7,-0.42007,,
18.8,-0.43358,,
18.9,-0.45391,,
19.0,-0.47254,,
19.1,-0.48371,,
19.2,-0.48487,,
19.3,-0.47998,,
19.4,-0.47293,,
19.5,-0.46793,,
19.6,-0.46709,,
19.7,-0.46927,,
19.8,-0.47033,,
19.9,-0.47079,,
20.0,-0.47096,,
20.1,-0.47169,,
20.2,-0.47668,,
20.3,-0.48896,,
20.4,-0.50630,,
20.5,-0.52847,,
20.6,-0.54974,,
20.7,-0.56643,,
20.8,-0.57689,,
20.9,-0.58200,,
21.0,-0.58395,,
21.1,-0.58809,,
21.2,-0.59515,,
21.3,-0.60663,,
21.4,-0.62039,,
21.5,-0.62983,,
21.6,-0.63304,,
21.7,-0.63078,,
21.8,-0.62580,,
21.9,-0.62045,,
22.0,-0.61799,,
22.1,-0.61996,,
22.2,-0.62753,,
22.3,-0.63763,,
22.4,-0.64512,,
22.5,-0.64877,,
22.6,-0.64818,,
22.7,-0.64411,,
22.8,-0.63852,,
22.9,-0.63590,,
23.0,-0.63709,,
23.1,-0.64228,,
23.2,-0.64932,,
23.3,-0.65625,,
23.4,-0.66269,,
23.5,-0.66715,,
23.6,-0.67096,,
23.7,-0.67355,,
23.8,-0.67536,,
23.9,-0.67736,,
24.0,-0.67938,,
24.1,-0.68199,,
24.2,-0.68545,,
24.3,-0.69117,,
24.4,-0.69908,,
24.5,-0.70831,,
24.6,-0.71965,,
24.7,-0.73070,,
24.8,-0.74087,,
24.9,-0.75057,,
25.0,-0.75873,,
25.1,-0.76488,,
25.2,-0.76760,,
25.3,-0.76637,,
25.4,-0.76252,,
25.5,-0.75761,,
25.6,-0.75452,,
25.7,-0.75336,,
25.8,-0.75272,,
25.9,-0.75247,,
26.0,-0.75120,,
26.1,-0.74953,,
26.2,-0.74454,,
26.3,-0.73622,,
26.4,-0.72676,,
26.5,-0.71811,,
26.6,-0.71386,,
26.7,-0.71434,,
26.8,-0.71737,,
26.9,-0.72163,,
27.0,-0.72498,,
27.1,-0.72569,,
27.2,-0.72303,,
27.3,-0.71881,,
27.4,-0.71676,,
27.5,-0.71807,,
27.6,-0.72181,,
27.7,-0.72666,,
27.8,-0.73049,,
27.9,-0.73292,,
28.0,-0.73514,,
28.1,-0.73715,,
28.2,-0.74030,,
28.3,-0.74720,,
28.4,-0.75567,,
28.5,-0.76511,,
28.6,-0.77446,,
28.7,-0.77920,,
28.8,-0.78251,,
28.9,-0.78554,,
29.0,-0.78827,,
29.1,-0.79533,,
29.2,-0.81086,,
29.3,-0.82990,,
29.4,-0.84423,,
29.5,-0.85245,,
29.6,-0.85356,,
29.7,-0.84689,,
29.8,-0.83527,,
29.9,-0.82321,,
30.0,-0.81317,,
30.1,-0.81028,,
30.2,-0.81215,,
30.3,-0.81651,,
30.4,-0.82987,,
30.5,-0.84848,,
30.6,-0.85743,,
30.7,-0.85337,,
30.8,-0.84466,,
30.9,-0.83481,,
31.0,-0.82579,,
31.1,-0.81989,,
31.2,-0.81814,,
31.3,-0.82409,,
31.4,-0.83314,,
31.5,-0.84261,,
31.6,-0.85631,,
31.7,-0.87335,,
31.8,-0.88310,,
31.9,-0.87710,,
32.0,-0.86182,,
32.1,-0.84471,,
32.2,-0.82923,,
32.3,-0.82174,,
