Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Aspect Ratio,3691.9 um,0.0 um,3820.9 um,0.0 um,0.0863
Aspect Ratio,3892.8 um,0.0 um,4024.2 um,0.0 um,0.0846
Spacing,214.6 um,0.0 um,284.6 um,0.0 um,69.8 um
Spacing,413.7 um,0.0 um,484.9 um,0.0 um,71.0 um
Spacing,611.7 um,0.0 um,685.6 um,0.0 um,73.7 um
Spacing,817.0 um,0.0 um,888.6 um,0.0 um,71.4 um
Spacing,1017.1 um,0.0 um,1090.0 um,0.0 um,72.7 um
Spacing,1218.9 um,0.0 um,1292.5 um,0.0 um,73.4 um
Spacing,1421.0 um,0.0 um,1491.9 um,0.0 um,70.7 um
Spacing,1619.5 um,0.0 um,1691.8 um,0.0 um,72.1 um
Spacing,1817.9 um,0.0 um,1889.1 um,0.0 um,71.0 um
Spacing,2014.8 um,0.0 um,2089.1 um,0.0 um,74.1 um
Spacing,2214.9 um,0.0 um,2287.7 um,0.0 um,72.6 um
Spacing,2417.4 um,0.0 um,2487.7 um,0.0 um,70.1 um
Spacing,2619.5 um,0.0 um,2689.6 um,0.0 um,69.9 um
Spacing,2817.6 um,0.0 um,2891.0 um,0.0 um,73.2 um
Spacing,3023.5 um,0.0 um,3097.0 um,0.0 um,73.3 um
Spacing,3223.7 um,0.0 um,3297.0 um,0.0 um,73.1 um
Spacing,3423.4 um,0.0 um,3490.9 um,0.0 um,67.3 um
Spacing,3623.2 um,0.0 um,3691.9 um,0.0 um,68.5 um
Spacing,3820.9 um,0.0 um,3892.8 um,0.0 um,71.7 um
Distance,149.3 um,0.0 um,349.2 um,0.0 um,199.9 um
Distance,349.2 um,0.0 um,548.3 um,0.0 um,199.1 um
Distance,548.3 um,0.0 um,751.3 um,0.0 um,203.0 um
Distance,751.3 um,0.0 um,952.9 um,0.0 um,201.5 um
Distance,952.9 um,0.0 um,1154.5 um,0.0 um,201.6 um
Distance,1154.5 um,0.0 um,1356.8 um,0.0 um,202.3 um
Distance,1356.8 um,0.0 um,1555.7 um,0.0 um,198.9 um
Distance,1555.7 um,0.0 um,1754.9 um,0.0 um,199.1 um
Distance,1754.9 um,0.0 um,1952.0 um,0.0 um,197.1 um
Distance,1952.0 um,0.0 um,2152.0 um,0.0 um,200.0 um
Distance,2152.0 um,0.0 um,2352.6 um,0.0 um,200.5 um
Distance,2352.6 um,0.0 um,2553.6 um,0.0 um,201.0 um
Distance,2553.6 um,0.0 um,2753.6 um,0.0 um,200.0 um
Distance,2753.6 um,0.0 um,2957.3 um,0.0 um,203.6 um
Distance,2957.3 um,0.0 um,3160.4 um,0.0 um,203.1 um
Distance,3160.4 um,0.0 um,3360.2 um,0.0 um,199.8 um
Distance,3360.2 um,0.0 um,3557.1 um,0.0 um,196.9 um
Distance,3557.1 um,0.0 um,3756.4 um,0.0 um,199.3 um
Distance,3756.4 um,0.0 um,3958.5 um,0.0 um,202.1 um

Scan Data
Lateral um,Raw Micrometer,Trace Filtered Data Micrometer,
0.0,0.00000,0.19417,,
0.1,-0.02184,0.18766,,
0.2,-0.04218,0.17619,,
0.3,-0.05829,0.15987,,
0.4,-0.07099,0.14639,,
0.5,-0.08163,0.13551,,
0.6,-0.08976,0.12710,,
0.7,-0.09664,0.12105,,
0.8,-0.10038,0.11731,,
0.9,-0.10021,0.11889,,
1.0,-0.09533,0.12413,,
1.1,-0.08500,0.13412,,
1.2,-0.06985,0.14855,,
1.3,-0.05059,0.16696,,
1.4,-0.02853,0.18847,,
