Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.00471,,
0.2,0.00307,,
0.3,0.00205,,
0.4,-0.00592,,
0.5,-0.00721,,
0.6,-0.00226,,
0.7,-0.00033,,
0.8,0.00438,,
0.9,0.00291,,
1.0,-0.00448,,
1.1,-0.01062,,
1.2,-0.01178,,
1.3,-0.01751,,
1.4,-0.01942,,
1.5,-0.02252,,
1.6,-0.02940,,
1.7,-0.02866,,
1.8,-0.02527,,
1.9,-0.01551,,
2.0,-0.00773,,
2.1,0.00101,,
2.2,0.01022,,
2.3,0.02092,,
2.4,0.02762,,
2.5,0.03492,,
2.6,0.04855,,
2.7,0.05924,,
2.8,0.06289,,
2.9,0.05979,,
3.0,0.06180,,
3.1,0.06765,,
3.2,0.07309,,
3.3,0.07982,,
3.4,0.08206,,
3.5,0.08299,,
3.6,0.08967,,
3.7,0.09690,,
3.8,0.10449,,
3.9,0.10836,,
4.0,0.10394,,
4.1,0.10654,,
4.2,0.10604,,
4.3,0.10516,,
4.4,0.09351,,
4.5,0.08147,,
4.6,0.07462,,
4.7,0.06833,,
4.8,0.06140,,
4.9,0.05257,,
5.0,0.04988,,
5.1,0.04070,,
5.2,0.03456,,
5.3,0.03108,,
5.4,0.03646,,
5.5,0.03821,,
5.6,0.04969,,
5.7,0.05758,,
5.8,0.05432,,
5.9,0.05382,,
6.0,0.05278,,
6.1,0.05343,,
6.2,0.05949,,
6.3,0.06530,,
6.4,0.07114,,
6.5,0.07057,,
6.6,0.07247,,
6.7,0.06822,,
6.8,0.06288,,
6.9,0.05991,,
7.0,0.05175,,
7.1,0.04396,,
7.2,0.04608,,
7.3,0.04010,,
7.4,0.03211,,
7.5,0.02947,,
7.6,0.03246,,
7.7,0.02961,,
7.8,0.02243,,
7.9,0.01732,,
8.0,0.01429,,
8.1,0.01580,,
8.2,0.01100,,
8.3,0.00505,,
8.4,0.00281,,
8.5,0.00395,,
8.6,0.00214,,
8.7,0.00077,,
8.8,0.00165,,
8.9,-0.00102,,
9.0,-0.00086,,
9.1,0.00073,,
9.2,-0.00568,,
9.3,-0.01203,,
9.4,-0.01797,,
9.5,-0.02466,,
9.6,-0.03596,,
9.7,-0.04439,,
9.8,-0.05007,,
9.9,-0.06254,,
10.0,-0.06397,,
10.1,-0.06407,,
10.2,-0.06484,,
10.3,-0.06071,,
10.4,-0.05895,,
10.5,-0.06261,,
10.6,-0.05844,,
10.7,-0.05703,,
10.8,-0.05465,,
10.9,-0.05001,,
11.0,-0.04391,,
11.1,-0.03225,,
11.2,-0.01589,,
11.3,-0.01144,,
11.4,0.00271,,
11.5,0.01240,,
11.6,0.01630,,
11.7,0.01871,,
11.8,0.02668,,
11.9,0.03565,,
12.0,0.04380,,
12.1,0.04952,,
12.2,0.05412,,
12.3,0.05770,,
12.4,0.06042,,
12.5,0.05910,,
12.6,0.05894,,
12.7,0.05472,,
12.8,0.05184,,
12.9,0.04718,,
13.0,0.04645,,
13.1,0.04449,,
13.2,0.03865,,
13.3,0.03305,,
13.4,0.02527,,
13.5,0.02141,,
13.6,0.01789,,
13.7,0.01736,,
13.8,0.01643,,
13.9,0.02186,,
14.0,0.02761,,
14.1,0.03039,,
14.2,0.03330,,
14.3,0.03203,,
14.4,0.03646,,
14.5,0.03497,,
14.6,0.03496,,
14.7,0.03962,,
14.8,0.05233,,
14.9,0.06308,,
15.0,0.07260,,
15.1,0.08070,,
15.2,0.09002,,
15.3,0.09464,,
15.4,0.09897,,
15.5,0.10672,,
15.6,0.10446,,
15.7,0.10021,,
15.8,0.09909,,
15.9,0.09372,,
16.0,0.09495,,
16.1,0.09428,,
16.2,0.09257,,
16.3,0.09034,,
16.4,0.09189,,
16.5,0.08867,,
16.6,0.08372,,
16.7,0.08603,,
16.8,0.09002,,
16.9,0.09653,,
17.0,0.09659,,
17.1,0.09641,,
17.2,0.08879,,
17.3,0.08029,,
17.4,0.07514,,
17.5,0.07605,,
17.6,0.08469,,
17.7,0.09480,,
17.8,0.10160,,
17.9,0.10804,,
18.0,0.10913,,
18.1,0.10787,,
18.2,0.10470,,
18.3,0.10593,,
18.4,0.09815,,
18.5,0.10515,,
18.6,0.11423,,
18.7,0.12435,,
18.8,0.12565,,
18.9,0.12866,,
19.0,0.12965,,
19.1,0.12743,,
19.2,0.11963,,
19.3,0.11195,,
19.4,0.10877,,
19.5,0.10024,,
19.6,0.09201,,
19.7,0.08447,,
19.8,0.07446,,
19.9,0.07235,,
20.0,0.07323,,
20.1,0.08151,,
20.2,0.08848,,
20.3,0.09549,,
20.4,0.09930,,
20.5,0.09974,,
20.6,0.09232,,
20.7,0.09367,,
20.8,0.09561,,
20.9,0.09369,,
21.0,0.09635,,
21.1,0.10122,,
21.2,0.10551,,
21.3,0.11308,,
21.4,0.11519,,
21.5,0.11085,,
21.6,0.09933,,
21.7,0.08999,,
21.8,0.07713,,
21.9,0.06522,,
22.0,0.05063,,
22.1,0.03492,,
22.2,0.02889,,
22.3,0.02974,,
22.4,0.03018,,
22.5,0.03359,,
22.6,0.03432,,
22.7,0.03480,,
22.8,0.03834,,
22.9,0.04056,,
23.0,0.04183,,
23.1,0.03913,,
23.2,0.03705,,
23.3,0.03935,,
23.4,0.05035,,
23.5,0.05526,,
23.6,0.05845,,
23.7,0.06042,,
23.8,0.06020,,
23.9,0.05941,,
24.0,0.05895,,
24.1,0.05797,,
24.2,0.05539,,
24.3,0.04876,,
24.4,0.03706,,
24.5,0.02274,,
24.6,0.01524,,
24.7,0.01053,,
24.8,0.00758,,
24.9,0.00110,,
25.0,-0.00558,,
25.1,-0.00864,,
25.2,-0.01096,,
25.3,-0.01871,,
25.4,-0.02164,,
25.5,-0.02646,,
25.6,-0.03137,,
25.7,-0.04067,,
25.8,-0.04645,,
25.9,-0.05595,,
26.0,-0.06418,,
26.1,-0.06661,,
26.2,-0.07507,,
26.3,-0.08688,,
26.4,-0.10697,,
26.5,-0.12091,,
26.6,-0.13655,,
26.7,-0.14943,,
26.8,-0.16063,,
26.9,-0.17021,,
27.0,-0.17632,,
27.1,-0.18153,,
27.2,-0.18069,,
27.3,-0.17738,,
27.4,-0.16384,,
27.5,-0.14650,,
27.6,-0.13571,,
27.7,-0.12664,,
27.8,-0.11724,,
27.9,-0.10906,,
28.0,-0.10352,,
28.1,-0.09855,,
28.2,-0.09036,,
28.3,-0.08572,,
28.4,-0.07877,,
28.5,-0.07049,,
28.6,-0.05822,,
28.7,-0.05530,,
28.8,-0.05572,,
28.9,-0.05466,,
29.0,-0.04901,,
29.1,-0.04467,,
29.2,-0.04340,,
29.3,-0.04196,,
29.4,-0.03269,,
29.5,-0.02062,,
29.6,-0.01128,,
29.7,-0.00812,,
29.8,-0.00395,,
29.9,-0.00225,,
30.0,-0.00735,,
30.1,-0.01052,,
30.2,-0.01977,,
30.3,-0.03036,,
30.4,-0.03440,,
30.5,-0.03932,,
30.6,-0.03916,,
30.7,-0.03703,,
30.8,-0.03603,,
30.9,-0.03778,,
31.0,-0.04028,,
31.1,-0.04441,,
31.2,-0.05446,,
31.3,-0.06044,,
31.4,-0.05795,,
31.5,-0.06239,,
31.6,-0.06766,,
31.7,-0.07901,,
31.8,-0.08892,,
31.9,-0.09742,,
32.0,-0.10661,,
32.1,-0.12153,,
32.2,-0.13588,,
32.3,-0.14634,,
32.4,-0.15403,,
32.5,-0.15250,,
32.6,-0.15083,,
32.7,-0.15060,,
32.8,-0.15190,,
32.9,-0.15927,,
33.0,-0.16152,,
33.1,-0.16095,,
33.2,-0.15831,,
33.3,-0.15352,,
33.4,-0.14996,,
33.5,-0.14014,,
33.6,-0.13763,,
33.7,-0.14128,,
33.8,-0.14079,,
33.9,-0.13422,,
34.0,-0.13287,,
34.1,-0.13447,,
34.2,-0.13169,,
34.3,-0.13738,,
34.4,-0.14465,,
34.5,-0.14703,,
34.6,-0.15066,,
34.7,-0.15411,,
34.8,-0.15399,,
34.9,-0.15138,,
35.0,-0.14374,,
35.1,-0.13931,,
35.2,-0.13500,,
35.3,-0.13114,,
35.4,-0.12590,,
35.5,-0.11905,,
35.6,-0.11915,,
35.7,-0.12701,,
35.8,-0.13656,,
35.9,-0.14971,,
36.0,-0.16260,,
36.1,-0.17845,,
36.2,-0.18956,,
36.3,-0.19146,,
36.4,-0.19167,,
36.5,-0.19828,,
36.6,-0.20660,,
36.7,-0.21071,,
36.8,-0.21761,,
36.9,-0.22097,,
37.0,-0.22028,,
37.1,-0.21689,,
37.2,-0.21435,,
37.3,-0.21450,,
37.4,-0.20823,,
37.5,-0.21093,,
37.6,-0.21106,,
37.7,-0.20987,,
37.8,-0.21209,,
37.9,-0.21673,,
38.0,-0.21909,,
38.1,-0.21948,,
38.2,-0.21689,,
38.3,-0.20965,,
38.4,-0.20382,,
38.5,-0.20450,,
38.6,-0.20476,,
38.7,-0.20417,,
38.8,-0.20325,,
38.9,-0.20362,,
39.0,-0.20736,,
39.1,-0.21733,,
39.2,-0.22736,,
39.3,-0.23415,,
39.4,-0.24274,,
39.5,-0.25769,,
39.6,-0.27770,,
39.7,-0.29444,,
39.8,-0.30830,,
39.9,-0.32233,,
40.0,-0.33223,,
40.1,-0.34060,,
40.2,-0.35290,,
40.3,-0.36056,,
40.4,-0.36658,,
40.5,-0.37004,,
40.6,-0.36602,,
40.7,-0.36626,,
40.8,-0.36556,,
40.9,-0.36908,,
41.0,-0.36546,,
41.1,-0.36032,,
