Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Aspect Ratio,3697.6 um,0.0 um,3825.1 um,0.0 um,0.0831
Aspect Ratio,3896.4 um,0.0 um,4029.8 um,0.0 um,0.0814
Spacing,221.0 um,0.0 um,286.9 um,0.0 um,65.7 um
Spacing,416.3 um,0.0 um,488.0 um,0.0 um,71.5 um
Spacing,613.4 um,0.0 um,690.7 um,0.0 um,77.1 um
Spacing,817.6 um,0.0 um,892.5 um,0.0 um,74.7 um
Spacing,1026.0 um,0.0 um,1092.1 um,0.0 um,65.9 um
Spacing,1221.0 um,0.0 um,1296.9 um,0.0 um,75.7 um
Spacing,1423.7 um,0.0 um,1497.0 um,0.0 um,73.1 um
Spacing,1622.7 um,0.0 um,1695.2 um,0.0 um,72.3 um
Spacing,1824.4 um,0.0 um,1889.8 um,0.0 um,65.2 um
Spacing,2023.2 um,0.0 um,2089.0 um,0.0 um,65.6 um
Spacing,2219.3 um,0.0 um,2292.3 um,0.0 um,72.8 um
Spacing,2420.0 um,0.0 um,2491.3 um,0.0 um,71.1 um
Spacing,2623.7 um,0.0 um,2694.8 um,0.0 um,70.9 um
Spacing,2822.8 um,0.0 um,2894.8 um,0.0 um,71.8 um
Spacing,3028.6 um,0.0 um,3100.0 um,0.0 um,71.2 um
Spacing,3229.3 um,0.0 um,3301.5 um,0.0 um,72.0 um
Spacing,3428.7 um,0.0 um,3498.2 um,0.0 um,69.3 um
Spacing,3626.2 um,0.0 um,3697.6 um,0.0 um,71.2 um
Spacing,3825.1 um,0.0 um,3896.4 um,0.0 um,71.1 um
Distance,153.6 um,0.0 um,351.6 um,0.0 um,198.0 um
Distance,351.6 um,0.0 um,550.7 um,0.0 um,199.1 um
Distance,550.7 um,0.0 um,754.2 um,0.0 um,203.4 um
Distance,754.2 um,0.0 um,959.3 um,0.0 um,205.1 um
Distance,959.3 um,0.0 um,1156.6 um,0.0 um,197.3 um
Distance,1156.6 um,0.0 um,1360.3 um,0.0 um,203.7 um
Distance,1360.3 um,0.0 um,1559.8 um,0.0 um,199.5 um
Distance,1559.8 um,0.0 um,1759.8 um,0.0 um,199.9 um
Distance,1759.8 um,0.0 um,1956.5 um,0.0 um,196.7 um
Distance,1956.5 um,0.0 um,2154.2 um,0.0 um,197.7 um
Distance,2154.2 um,0.0 um,2356.2 um,0.0 um,202.0 um
Distance,2356.2 um,0.0 um,2557.5 um,0.0 um,201.3 um
Distance,2557.5 um,0.0 um,2758.8 um,0.0 um,201.3 um
Distance,2758.8 um,0.0 um,2961.7 um,0.0 um,202.9 um
Distance,2961.7 um,0.0 um,3164.7 um,0.0 um,203.0 um
Distance,3164.7 um,0.0 um,3365.1 um,0.0 um,200.4 um
Distance,3365.1 um,0.0 um,3562.2 um,0.0 um,197.1 um
Distance,3562.2 um,0.0 um,3761.4 um,0.0 um,199.1 um
Distance,3761.4 um,0.0 um,3963.1 um,0.0 um,201.7 um

Scan Data
Lateral um,Raw Micrometer,Trace Filtered Data Micrometer,
0.0,0.00000,-1.88219,,
0.1,-0.00196,-1.88278,,
0.2,-0.00339,-1.88403,,
0.3,-0.00579,-1.88611,,
0.4,-0.00792,-1.88870,,
0.5,-0.01046,-1.89251,,
0.6,-0.01572,-1.89795,,
0.7,-0.02407,-1.90523,,
0.8,-0.03354,-1.91390,,
0.9,-0.04362,-1.92305,,
1.0,-0.05335,-1.93152,,
1.1,-0.06092,-1.93829,,
1.2,-0.06551,-1.94270,,
1.3,-0.06690,-1.94517,,
1.4,-0.06585,-1.94489,,
1.5,-0.06494,-1.94394,,
1.6,-0.06288,-1.94264,,
1.7,-0.06106,-1.94159,,
1.8,-0.06153,-1.94205,,
1.9,-0.06322,-1.94372,,
2.0,-0.06615,-1.94686,,
2.1,-0.07156,-1.95125,,
2.2,-0.07730,-1.95615,,
2.3,-0.08284,-1.96113,,
2.4,-0.08726,-1.96571,,
2.5,-0.09080,-1.97012,,
2.6,-0.09499,-1.97504,,
2.7,-0.10058,-1.98080,,
2.8,-0.10854,-1.98795,,
2.9,-0.11659,-1.99648,,
3.0,-0.12613,-2.00660,,
3.1,-0.13846,-2.01809,,
3.2,-0.15212,-2.03075,,
3.3,-0.16554,-2.04371,,
3.4,-0.17924,-2.05628,,
3.5,-0.19083,-2.06743,,
3.6,-0.20050,-2.07664,,
3.7,-0.20783,-2.08373,,
3.8,-0.21144,-2.08889,,
3.9,-0.21483,-2.09279,,
4.0,-0.21854,-2.09622,,
4.1,-0.22090,-2.09995,,
4.2,-0.22504,-2.10450,,
4.3,-0.23185,-2.11008,,
4.4,-0.23834,-2.11618,,
4.5,-0.24555,-2.12237,,
4.6,-0.25136,-2.12767,,
4.7,-0.25537,-2.13126,,
4.8,-0.25818,-2.13336,,
4.9,-0.25623,-2.12965,,
5.0,-0.24860,-2.12374,,
5.1,-0.23853,-2.11571,,
5.2,-0.22791,-2.10727,,
5.3,-0.22043,-2.10078,,
5.4,-0.21654,-2.09648,,
5.5,-0.21753,-2.09732,,
5.6,-0.22177,-2.10006,,
5.7,-0.22750,-2.10431,,
5.8,-0.23299,-2.10899,,
5.9,-0.23668,-2.11306,,
6.0,-0.24051,-2.11633,,
6.1,-0.24286,-2.11809,,
6.2,-0.24363,-2.11891,,
6.3,-0.24156,-2.11768,,
6.4,-0.23882,-2.11649,,
6.5,-0.23793,-2.11537,,
6.6,-0.23881,-2.11662,,
6.7,-0.24194,-2.11849,,
6.8,-0.24476,-2.12060,,
6.9,-0.24727,-2.12218,,
7.0,-0.24814,-2.12303,,
7.1,-0.24615,-2.12171,,
7.2,-0.24412,-2.11939,,
7.3,-0.24160,-2.11520,,
7.4,-0.23574,-2.10892,,
7.5,-0.22591,-2.10025,,
7.6,-0.21470,-2.09008,,
7.7,-0.20228,-2.07965,,
7.8,-0.19212,-2.07063,,
7.9,-0.18592,-2.06405,,
8.0,-0.18234,-2.05961,,
8.1,-0.18177,-2.05613,,
8.2,-0.17961,-2.05125,,
8.3,-0.17217,-2.04315,,
8.4,-0.15917,-2.03054,,
8.5,-0.14154,-2.01380,,
8.6,-0.11942,-1.99411,,
8.7,-0.09719,-1.97309,,
8.8,-0.07653,-1.95167,,
8.9,-0.05560,-1.93020,,
9.0,-0.03409,-1.90840,,
9.1,-0.01187,-1.88616,,
9.2,0.01174,-1.86333,,
9.3,0.03435,-1.84033,,
9.4,0.05740,-1.81715,,
9.5,0.08097,-1.79394,,
9.6,0.10376,-1.77054,,
9.7,0.12708,-1.74644,,
9.8,0.15161,-1.72143,,
9.9,0.17830,-1.69522,,
10.0,0.20616,-1.66832,,
10.1,0.23393,-1.64147,,
10.2,0.26028,-1.61562,,
10.3,0.28459,-1.59165,,
10.4,0.30669,-1.56989,,
10.5,0.32532,-1.55014,,
10.6,0.34202,-1.53172,,
10.7,0.35976,-1.51361,,
10.8,0.37805,-1.49502,,
10.9,0.39726,-1.47546,,
11.0,0.41819,-1.45495,,
11.1,0.43982,-1.43389,,
11.2,0.46155,-1.41300,,
11.3,0.48239,-1.39339,,
11.4,0.50056,-1.37559,,
11.5,0.51463,-1.35985,,
11.6,0.52809,-1.34529,,
11.7,0.54154,-1.33089,,
11.8,0.55596,-1.31546,,
11.9,0.57311,-1.29864,,
12.0,0.59244,-1.28055,,
12.1,0.61151,-1.26203,,
12.2,0.63035,-1.24397,,
12.3,0.64768,-1.22695,,
12.4,0.66225,-1.21119,,
12.5,0.67689,-1.19640,,
12.6,0.69114,-1.18256,,
12.7,0.70411,-1.16950,,
12.8,0.71609,-1.15727,,
12.9,0.72729,-1.14586,,
13.0,0.73790,-1.13498,,
13.1,0.74803,-1.12464,,
13.2,0.75847,-1.11461,,
13.3,0.76762,-1.10505,,
13.4,0.77670,-1.09560,,
13.5,0.78570,-1.08604,,
13.6,0.79531,-1.07593,,
13.7,0.80647,-1.06508,,
13.8,0.81830,-1.05356,,
13.9,0.83024,-1.04165,,
14.0,0.84268,-1.02988,,
14.1,0.85444,-1.01874,,
14.2,0.86429,-1.00866,,
14.3,0.87303,-0.99980,,
14.4,0.88051,-0.99183,,
14.5,0.88673,-0.98428,,
14.6,0.89443,-0.97644,,
14.7,0.90299,-0.96828,,
14.8,0.91201,-0.95990,,
14.9,0.92058,-0.95227,,
15.0,0.92761,-0.94574,,
15.1,0.93128,-0.94106,,
15.2,0.93482,-0.93820,,
15.3,0.93602,-0.93685,,
15.4,0.93385,-0.93904,,
15.5,0.92999,-0.94271,,
