Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00387,,
0.2,-0.00969,,
0.3,-0.01691,,
0.4,-0.02385,,
0.5,-0.03091,,
0.6,-0.03503,,
0.7,-0.03674,,
0.8,-0.03651,,
0.9,-0.03603,,
1.0,-0.03492,,
1.1,-0.03303,,
1.2,-0.03229,,
1.3,-0.03235,,
1.4,-0.03297,,
1.5,-0.03462,,
1.6,-0.03618,,
1.7,-0.03771,,
1.8,-0.03659,,
1.9,-0.03361,,
2.0,-0.03392,,
2.1,-0.03544,,
2.2,-0.03895,,
2.3,-0.04011,,
2.4,-0.04004,,
2.5,-0.03748,,
2.6,-0.03388,,
2.7,-0.03011,,
2.8,-0.02797,,
2.9,-0.02764,,
3.0,-0.02778,,
3.1,-0.02762,,
3.2,-0.02810,,
3.3,-0.03099,,
3.4,-0.03180,,
3.5,-0.03090,,
3.6,-0.02796,,
3.7,-0.02426,,
3.8,-0.02384,,
3.9,-0.02403,,
4.0,-0.02662,,
4.1,-0.03111,,
4.2,-0.03642,,
4.3,-0.04258,,
4.4,-0.04756,,
4.5,-0.05299,,
4.6,-0.05907,,
4.7,-0.06584,,
4.8,-0.07197,,
4.9,-0.07941,,
5.0,-0.08914,,
5.1,-0.09754,,
5.2,-0.10476,,
5.3,-0.11029,,
5.4,-0.11596,,
5.5,-0.12209,,
5.6,-0.12750,,
5.7,-0.13027,,
5.8,-0.13157,,
5.9,-0.13210,,
6.0,-0.13033,,
6.1,-0.12693,,
6.2,-0.12236,,
6.3,-0.11761,,
6.4,-0.11391,,
6.5,-0.10983,,
6.6,-0.10531,,
6.7,-0.10100,,
6.8,-0.09725,,
6.9,-0.09484,,
7.0,-0.09214,,
7.1,-0.09224,,
7.2,-0.09265,,
7.3,-0.09133,,
7.4,-0.08997,,
7.5,-0.08816,,
7.6,-0.08570,,
7.7,-0.08319,,
7.8,-0.08031,,
7.9,-0.07689,,
8.0,-0.07357,,
8.1,-0.06868,,
8.2,-0.06343,,
8.3,-0.05914,,
8.4,-0.05317,,
8.5,-0.04751,,
8.6,-0.04321,,
8.7,-0.03941,,
8.8,-0.03761,,
8.9,-0.03712,,
9.0,-0.03619,,
9.1,-0.03521,,
9.2,-0.03440,,
9.3,-0.03321,,
9.4,-0.03467,,
9.5,-0.03756,,
9.6,-0.03983,,
9.7,-0.04305,,
9.8,-0.04601,,
9.9,-0.05139,,
10.0,-0.05912,,
10.1,-0.06637,,
10.2,-0.07363,,
10.3,-0.08116,,
10.4,-0.08974,,
10.5,-0.09972,,
10.6,-0.11052,,
10.7,-0.11979,,
10.8,-0.12968,,
10.9,-0.13734,,
11.0,-0.14207,,
11.1,-0.14699,,
11.2,-0.15047,,
11.3,-0.15371,,
11.4,-0.15672,,
11.5,-0.15688,,
11.6,-0.15563,,
11.7,-0.15449,,
11.8,-0.15362,,
11.9,-0.15507,,
12.0,-0.15976,,
12.1,-0.16401,,
12.2,-0.16783,,
12.3,-0.17128,,
12.4,-0.17244,,
12.5,-0.17240,,
12.6,-0.17252,,
12.7,-0.17217,,
12.8,-0.17174,,
12.9,-0.17074,,
13.0,-0.16900,,
13.1,-0.16841,,
13.2,-0.16862,,
13.3,-0.16673,,
13.4,-0.16463,,
13.5,-0.16139,,
13.6,-0.15920,,
13.7,-0.15984,,
13.8,-0.16143,,
13.9,-0.16419,,
14.0,-0.16751,,
14.1,-0.16838,,
14.2,-0.16734,,
14.3,-0.16416,,
14.4,-0.16217,,
14.5,-0.16042,,
14.6,-0.15642,,
14.7,-0.15096,,
14.8,-0.14458,,
14.9,-0.13697,,
15.0,-0.13003,,
15.1,-0.12210,,
15.2,-0.11301,,
15.3,-0.10342,,
15.4,-0.09174,,
15.5,-0.07989,,
15.6,-0.06894,,
15.7,-0.05806,,
15.8,-0.04680,,
15.9,-0.03628,,
16.0,-0.02505,,
16.1,-0.01371,,
16.2,-0.00194,,
16.3,0.00712,,
16.4,0.01328,,
16.5,0.01667,,
16.6,0.02017,,
16.7,0.02336,,
16.8,0.02603,,
16.9,0.02942,,
17.0,0.03150,,
17.1,0.03393,,
17.2,0.03492,,
