Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00238,,
0.2,-0.00334,,
0.3,-0.00231,,
0.4,0.00218,,
0.5,0.00936,,
0.6,0.01863,,
0.7,0.02620,,
0.8,0.03018,,
0.9,0.02849,,
1.0,0.01975,,
1.1,0.00637,,
1.2,-0.00935,,
1.3,-0.02406,,
1.4,-0.03403,,
1.5,-0.03761,,
1.6,-0.03305,,
1.7,-0.02067,,
1.8,-0.00579,,
1.9,0.00786,,
2.0,0.01642,,
2.1,0.01619,,
2.2,0.00913,,
2.3,-0.00259,,
2.4,-0.01546,,
2.5,-0.02423,,
2.6,-0.02704,,
2.7,-0.02332,,
2.8,-0.01455,,
2.9,-0.00387,,
3.0,0.00559,,
3.1,0.01157,,
3.2,0.01312,,
3.3,0.00937,,
3.4,0.00289,,
3.5,-0.00476,,
3.6,-0.01133,,
3.7,-0.01768,,
3.8,-0.02032,,
3.9,-0.01764,,
4.0,-0.00852,,
4.1,0.00523,,
4.2,0.02096,,
4.3,0.03515,,
4.4,0.04403,,
4.5,0.04200,,
4.6,0.03014,,
4.7,0.01239,,
4.8,-0.00743,,
4.9,-0.02511,,
5.0,-0.03593,,
5.1,-0.03783,,
5.2,-0.03103,,
5.3,-0.01956,,
5.4,-0.00854,,
5.5,0.00128,,
5.6,0.00761,,
5.7,0.00815,,
5.8,0.00538,,
5.9,-0.00111,,
6.0,-0.00929,,
6.1,-0.01598,,
6.2,-0.01957,,
6.3,-0.02009,,
6.4,-0.01646,,
6.5,-0.00969,,
6.6,-0.00125,,
6.7,0.00667,,
6.8,0.01358,,
6.9,0.01863,,
7.0,0.01753,,
7.1,0.00909,,
7.2,-0.00549,,
7.3,-0.02313,,
7.4,-0.03735,,
7.5,-0.04296,,
7.6,-0.03843,,
7.7,-0.02565,,
7.8,-0.00821,,
7.9,0.00834,,
8.0,0.02042,,
8.1,0.02511,,
8.2,0.02072,,
8.3,0.00897,,
8.4,-0.00868,,
8.5,-0.02774,,
8.6,-0.04240,,
8.7,-0.04984,,
8.8,-0.04778,,
8.9,-0.03829,,
9.0,-0.02632,,
9.1,-0.01338,,
9.2,-0.00168,,
9.3,0.00703,,
9.4,0.01006,,
9.5,0.00570,,
9.6,-0.00446,,
9.7,-0.01781,,
9.8,-0.03342,,
9.9,-0.04861,,
10.0,-0.05936,,
10.1,-0.06185,,
10.2,-0.05790,,
10.3,-0.04964,,
10.4,-0.03983,,
10.5,-0.03136,,
10.6,-0.02637,,
10.7,-0.02772,,
10.8,-0.03651,,
10.9,-0.04947,,
11.0,-0.06522,,
11.1,-0.07953,,
11.2,-0.08957,,
11.3,-0.09280,,
11.4,-0.08637,,
11.5,-0.07408,,
11.6,-0.06100,,
11.7,-0.05058,,
11.8,-0.04778,,
11.9,-0.05339,,
12.0,-0.06591,,
12.1,-0.08272,,
12.2,-0.10013,,
12.3,-0.11084,,
12.4,-0.11274,,
12.5,-0.10665,,
12.6,-0.09422,,
12.7,-0.07946,,
12.8,-0.06599,,
12.9,-0.05501,,
13.0,-0.05092,,
13.1,-0.05693,,
13.2,-0.07072,,
13.3,-0.09050,,
13.4,-0.11093,,
13.5,-0.12710,,
13.6,-0.13537,,
13.7,-0.13304,,
13.8,-0.12207,,
13.9,-0.10674,,
14.0,-0.09167,,
14.1,-0.07996,,
14.2,-0.07303,,
14.3,-0.07064,,
14.4,-0.07367,,
14.5,-0.07955,,
14.6,-0.08670,,
14.7,-0.09485,,
14.8,-0.10311,,
14.9,-0.10968,,
15.0,-0.11240,,
15.1,-0.11105,,
15.2,-0.10777,,
15.3,-0.10519,,
15.4,-0.10398,,
15.5,-0.10640,,
15.6,-0.11207,,
15.7,-0.12387,,
15.8,-0.14025,,
15.9,-0.15676,,
16.0,-0.17034,,
16.1,-0.17758,,
16.2,-0.17711,,
16.3,-0.16940,,
16.4,-0.15787,,
16.5,-0.14463,,
16.6,-0.13355,,
16.7,-0.12856,,
16.8,-0.13196,,
16.9,-0.14376,,
17.0,-0.16134,,
17.1,-0.18028,,
17.2,-0.19809,,
17.3,-0.21220,,
17.4,-0.21953,,
17.5,-0.22153,,
17.6,-0.21807,,
17.7,-0.20747,,
17.8,-0.19528,,
17.9,-0.18394,,
18.0,-0.17865,,
18.1,-0.18309,,
18.2,-0.19457,,
18.3,-0.21049,,
18.4,-0.22714,,
18.5,-0.23987,,
18.6,-0.24645,,
18.7,-0.24546,,
18.8,-0.23801,,
18.9,-0.22647,,
19.0,-0.21440,,
19.1,-0.20439,,
19.2,-0.19966,,
19.3,-0.20223,,
19.4,-0.21067,,
19.5,-0.22380,,
19.6,-0.23998,,
19.7,-0.25549,,
19.8,-0.26705,,
19.9,-0.27187,,
20.0,-0.26564,,
20.1,-0.25212,,
20.2,-0.23383,,
20.3,-0.21447,,
20.4,-0.20071,,
20.5,-0.19571,,
20.6,-0.20056,,
20.7,-0.21644,,
20.8,-0.23859,,
20.9,-0.26068,,
21.0,-0.27540,,
21.1,-0.27867,,
21.2,-0.27112,,
21.3,-0.25649,,
21.4,-0.23729,,
21.5,-0.21918,,
21.6,-0.20771,,
21.7,-0.20411,,
21.8,-0.20777,,
21.9,-0.21524,,
22.0,-0.22306,,
22.1,-0.22869,,
22.2,-0.23159,,
22.3,-0.22968,,
22.4,-0.22285,,
22.5,-0.21207,,
22.6,-0.19746,,
22.7,-0.18003,,
22.8,-0.16184,,
22.9,-0.14736,,
23.0,-0.13738,,
23.1,-0.13268,,
23.2,-0.13526,,
23.3,-0.14240,,
23.4,-0.14899,,
23.5,-0.15167,,
23.6,-0.14960,,
23.7,-0.14265,,
23.8,-0.13309,,
23.9,-0.12496,,
24.0,-0.12098,,
24.1,-0.12231,,
24.2,-0.12987,,
24.3,-0.14038,,
24.4,-0.15123,,
24.5,-0.15966,,
24.6,-0.16241,,
24.7,-0.16009,,
24.8,-0.15407,,
24.9,-0.14468,,
25.0,-0.13695,,
25.1,-0.13085,,
25.2,-0.12621,,
25.3,-0.12483,,
25.4,-0.12679,,
25.5,-0.13121,,
25.6,-0.13879,,
25.7,-0.14900,,
25.8,-0.16137,,
25.9,-0.17484,,
26.0,-0.18678,,
26.1,-0.19391,,
26.2,-0.19679,,
26.3,-0.19735,,
26.4,-0.19746,,
26.5,-0.20077,,
26.6,-0.20837,,
26.7,-0.21987,,
26.8,-0.23543,,
26.9,-0.25223,,
27.0,-0.26931,,
27.1,-0.28416,,
27.2,-0.29362,,
27.3,-0.29769,,
27.4,-0.29545,,
27.5,-0.28883,,
27.6,-0.28182,,
27.7,-0.27526,,
27.8,-0.27091,,
27.9,-0.27085,,
28.0,-0.27458,,
28.1,-0.28223,,
28.2,-0.29026,,
28.3,-0.29480,,
28.4,-0.29268,,
28.5,-0.28203,,
28.6,-0.26510,,
28.7,-0.24353,,
28.8,-0.21987,,
28.9,-0.19630,,
29.0,-0.17593,,
29.1,-0.16156,,
29.2,-0.15357,,
29.3,-0.14908,,
29.4,-0.14630,,
29.5,-0.14281,,
29.6,-0.13475,,
29.7,-0.12167,,
29.8,-0.10701,,
29.9,-0.09139,,
30.0,-0.07721,,
30.1,-0.06563,,
30.2,-0.05711,,
30.3,-0.04968,,
30.4,-0.04155,,
30.5,-0.03182,,
30.6,-0.02143,,
30.7,-0.01160,,
30.8,-0.00425,,
30.9,-0.00025,,
31.0,0.00019,,
31.1,-0.00082,,
31.2,-0.00072,,
31.3,0.00046,,
31.4,0.00264,,
31.5,0.00305,,
31.6,0.00033,,
31.7,-0.00600,,
31.8,-0.01663,,
31.9,-0.03029,,
32.0,-0.04540,,
32.1,-0.05643,,
32.2,-0.06266,,
32.3,-0.06670,,
32.4,-0.07075,,
32.5,-0.07798,,
32.6,-0.08723,,
32.7,-0.09772,,
32.8,-0.10762,,
32.9,-0.11601,,
33.0,-0.12249,,
33.1,-0.12699,,
33.2,-0.13026,,
33.3,-0.13413,,
33.4,-0.13820,,
33.5,-0.14358,,
33.6,-0.15075,,
33.7,-0.15788,,
33.8,-0.16332,,
33.9,-0.16762,,
34.0,-0.16788,,
34.1,-0.16479,,
34.2,-0.15964,,
34.3,-0.15457,,
34.4,-0.15073,,
34.5,-0.14668,,
34.6,-0.14230,,
34.7,-0.13889,,
34.8,-0.13706,,
34.9,-0.13441,,
35.0,-0.13166,,
35.1,-0.12790,,
35.2,-0.12338,,
35.3,-0.11695,,
35.4,-0.10948,,
35.5,-0.10148,,
35.6,-0.09393,,
35.7,-0.08734,,
35.8,-0.08255,,
35.9,-0.07858,,
36.0,-0.07417,,
36.1,-0.07068,,
36.2,-0.06676,,
36.3,-0.06175,,
36.4,-0.05536,,
36.5,-0.04686,,
36.6,-0.03736,,
36.7,-0.02816,,
36.8,-0.02060,,
36.9,-0.01529,,
37.0,-0.01108,,
37.1,-0.00593,,
37.2,0.00049,,
37.3,0.00830,,
37.4,0.01679,,
37.5,0.02486,,
37.6,0.03000,,
37.7,0.03104,,
37.8,0.02767,,
37.9,0.01938,,
38.0,0.00887,,
38.1,-0.00092,,
38.2,-0.00912,,
38.3,-0.01407,,
38.4,-0.01709,,
38.5,-0.02166,,
38.6,-0.03151,,
38.7,-0.04630,,
38.8,-0.06613,,
38.9,-0.08675,,
39.0,-0.10253,,
39.1,-0.11408,,
39.2,-0.12072,,
39.3,-0.12310,,
39.4,-0.12319,,
39.5,-0.12352,,
39.6,-0.12677,,
39.7,-0.13415,,
39.8,-0.14404,,
39.9,-0.15408,,
40.0,-0.16232,,
40.1,-0.16718,,
40.2,-0.16874,,
40.3,-0.16858,,
40.4,-0.17030,,
40.5,-0.17375,,
40.6,-0.17803,,
40.7,-0.18195,,
40.8,-0.18491,,
40.9,-0.18731,,
41.0,-0.19005,,
41.1,-0.19361,,
41.2,-0.19884,,
41.3,-0.20607,,
41.4,-0.21336,,
41.5,-0.21966,,
41.6,-0.22317,,
41.7,-0.22378,,
41.8,-0.22426,,
41.9,-0.22680,,
42.0,-0.23239,,
42.1,-0.24137,,
42.2,-0.25498,,
42.3,-0.27092,,
42.4,-0.28714,,
42.5,-0.30053,,
42.6,-0.31094,,
42.7,-0.31720,,
42.8,-0.32029,,
42.9,-0.32096,,
43.0,-0.32045,,
43.1,-0.31950,,
43.2,-0.32054,,
43.3,-0.32537,,
43.4,-0.33535,,
43.5,-0.34952,,
43.6,-0.36377,,
43.7,-0.37588,,
43.8,-0.38482,,
43.9,-0.38961,,
44.0,-0.39067,,
44.1,-0.38917,,
44.2,-0.38523,,
44.3,-0.38243,,
44.4,-0.38389,,
44.5,-0.39034,,
44.6,-0.40181,,
44.7,-0.41662,,
44.8,-0.43102,,
44.9,-0.44169,,
45.0,-0.44645,,
45.1,-0.44326,,
45.2,-0.43355,,
45.3,-0.41990,,
45.4,-0.40460,,
45.5,-0.38970,,
45.6,-0.37886,,
45.7,-0.37182,,
45.8,-0.37078,,
45.9,-0.37583,,
46.0,-0.38527,,
46.1,-0.39655,,
46.2,-0.40686,,
46.3,-0.41277,,
46.4,-0.41277,,
46.5,-0.40778,,
46.6,-0.39932,,
46.7,-0.38845,,
46.8,-0.37723,,
46.9,-0.36547,,
47.0,-0.35707,,
47.1,-0.35322,,
47.2,-0.35621,,
47.3,-0.36479,,
47.4,-0.37592,,
47.5,-0.38515,,
47.6,-0.39087,,
47.7,-0.39316,,
47.8,-0.39295,,
47.9,-0.39091,,
48.0,-0.39018,,
48.1,-0.39170,,
48.2,-0.39579,,
48.3,-0.40377,,
48.4,-0.41475,,
48.5,-0.42606,,
48.6,-0.43492,,
48.7,-0.43869,,
48.8,-0.43765,,
48.9,-0.43296,,
49.0,-0.42548,,
49.1,-0.41853,,
49.2,-0.41451,,
49.3,-0.41382,,
49.4,-0.41713,,
49.5,-0.42381,,
49.6,-0.43134,,
49.7,-0.43828,,
49.8,-0.44458,,
49.9,-0.44958,,
50.0,-0.45171,,
50.1,-0.44903,,
50.2,-0.44213,,
50.3,-0.43099,,
50.4,-0.41921,,
50.5,-0.40809,,
50.6,-0.39960,,
50.7,-0.39462,,
50.8,-0.39336,,
50.9,-0.39633,,
51.0,-0.40218,,
51.1,-0.40734,,
51.2,-0.40928,,
51.3,-0.40557,,
51.4,-0.39596,,
51.5,-0.38271,,
51.6,-0.36996,,
51.7,-0.35920,,
51.8,-0.35375,,
51.9,-0.35500,,
52.0,-0.36123,,
52.1,-0.37052,,
52.2,-0.38028,,
52.3,-0.38713,,
52.4,-0.39076,,
52.5,-0.38730,,
52.6,-0.37912,,
52.7,-0.37049,,
52.8,-0.36372,,
52.9,-0.36189,,
53.0,-0.36763,,
53.1,-0.37982,,
