Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.00010,,
0.2,-0.00040,,
0.3,-0.00069,,
0.4,-0.00035,,
0.5,0.00015,,
0.6,0.00119,,
0.7,0.00229,,
0.8,0.00186,,
0.9,0.00114,,
1.0,-0.00183,,
1.1,-0.00727,,
1.2,-0.01380,,
1.3,-0.02128,,
1.4,-0.02757,,
1.5,-0.03358,,
1.6,-0.03985,,
1.7,-0.04464,,
1.8,-0.04977,,
1.9,-0.05291,,
2.0,-0.05491,,
2.1,-0.05697,,
2.2,-0.05777,,
2.3,-0.05931,,
2.4,-0.06064,,
2.5,-0.06258,,
2.6,-0.06488,,
2.7,-0.06735,,
2.8,-0.06925,,
2.9,-0.07285,,
3.0,-0.07594,,
3.1,-0.07803,,
3.2,-0.08027,,
3.3,-0.08258,,
3.4,-0.08361,,
3.5,-0.08469,,
3.6,-0.08523,,
3.7,-0.08693,,
3.8,-0.08927,,
3.9,-0.09197,,
4.0,-0.09679,,
4.1,-0.10258,,
4.2,-0.10928,,
4.3,-0.11748,,
4.4,-0.12473,,
4.5,-0.13112,,
4.6,-0.13609,,
4.7,-0.13878,,
4.8,-0.14022,,
4.9,-0.13972,,
5.0,-0.13839,,
5.1,-0.13620,,
5.2,-0.13322,,
5.3,-0.12886,,
5.4,-0.12490,,
5.5,-0.12159,,
5.6,-0.11772,,
5.7,-0.11398,,
5.8,-0.11075,,
5.9,-0.10751,,
6.0,-0.10533,,
6.1,-0.10403,,
6.2,-0.10214,,
6.3,-0.09957,,
6.4,-0.09632,,
6.5,-0.09376,,
6.6,-0.09126,,
6.7,-0.08714,,
6.8,-0.08394,,
6.9,-0.08162,,
7.0,-0.07944,,
7.1,-0.07897,,
7.2,-0.07961,,
7.3,-0.08229,,
7.4,-0.08668,,
7.5,-0.09184,,
7.6,-0.09786,,
7.7,-0.10408,,
7.8,-0.11143,,
7.9,-0.12035,,
8.0,-0.12963,,
8.1,-0.14058,,
8.2,-0.15312,,
8.3,-0.16577,,
8.4,-0.18104,,
8.5,-0.19743,,
8.6,-0.21210,,
8.7,-0.22693,,
8.8,-0.24293,,
8.9,-0.25790,,
9.0,-0.27142,,
9.1,-0.28203,,
9.2,-0.28981,,
9.3,-0.29569,,
9.4,-0.30028,,
9.5,-0.30270,,
9.6,-0.30460,,
9.7,-0.30493,,
9.8,-0.30323,,
9.9,-0.30205,,
10.0,-0.29875,,
10.1,-0.29472,,
10.2,-0.29074,,
10.3,-0.28723,,
10.4,-0.28440,,
10.5,-0.28360,,
10.6,-0.28412,,
10.7,-0.28415,,
10.8,-0.28539,,
10.9,-0.28736,,
11.0,-0.29039,,
11.1,-0.29197,,
11.2,-0.29148,,
11.3,-0.29207,,
11.4,-0.29336,,
11.5,-0.29640,,
11.6,-0.29901,,
11.7,-0.29939,,
11.8,-0.30134,,
11.9,-0.30415,,
12.0,-0.30541,,
12.1,-0.30591,,
12.2,-0.30678,,
12.3,-0.30795,,
12.4,-0.30804,,
12.5,-0.30639,,
12.6,-0.30408,,
12.7,-0.30241,,
12.8,-0.30267,,
12.9,-0.30280,,
13.0,-0.30301,,
13.1,-0.30341,,
13.2,-0.30404,,
13.3,-0.30491,,
13.4,-0.30403,,
13.5,-0.30310,,
13.6,-0.30236,,
13.7,-0.30063,,
13.8,-0.29996,,
13.9,-0.29876,,
14.0,-0.29752,,
14.1,-0.29782,,
14.2,-0.29844,,
14.3,-0.29868,,
14.4,-0.29820,,
14.5,-0.29885,,
14.6,-0.30220,,
14.7,-0.30626,,
14.8,-0.31057,,
14.9,-0.31553,,
15.0,-0.32328,,
15.1,-0.33279,,
15.2,-0.34272,,
15.3,-0.35233,,
15.4,-0.36256,,
15.5,-0.37321,,
15.6,-0.38348,,
15.7,-0.39430,,
15.8,-0.40545,,
15.9,-0.41680,,
16.0,-0.42761,,
16.1,-0.43883,,
16.2,-0.44898,,
16.3,-0.45797,,
16.4,-0.46653,,
16.5,-0.47374,,
16.6,-0.48186,,
16.7,-0.49201,,
