Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.00405,,
0.2,0.00806,,
0.3,0.01101,,
0.4,0.01307,,
0.5,0.01441,,
0.6,0.01253,,
0.7,0.00829,,
0.8,0.00234,,
0.9,-0.00355,,
1.0,-0.00974,,
1.1,-0.01576,,
1.2,-0.02068,,
1.3,-0.02675,,
1.4,-0.03376,,
1.5,-0.04219,,
1.6,-0.05219,,
1.7,-0.06309,,
1.8,-0.07510,,
1.9,-0.08827,,
2.0,-0.10121,,
2.1,-0.11387,,
2.2,-0.12820,,
2.3,-0.14317,,
2.4,-0.15817,,
2.5,-0.17286,,
2.6,-0.18512,,
2.7,-0.19530,,
2.8,-0.20307,,
2.9,-0.20910,,
3.0,-0.21319,,
3.1,-0.21672,,
3.2,-0.21980,,
3.3,-0.22250,,
3.4,-0.22624,,
3.5,-0.23037,,
3.6,-0.23450,,
3.7,-0.23845,,
3.8,-0.24211,,
3.9,-0.24479,,
4.0,-0.24555,,
4.1,-0.24531,,
4.2,-0.24532,,
4.3,-0.24621,,
4.4,-0.24631,,
4.5,-0.24607,,
4.6,-0.24576,,
4.7,-0.24422,,
4.8,-0.24223,,
4.9,-0.23893,,
5.0,-0.23459,,
5.1,-0.23144,,
5.2,-0.22792,,
5.3,-0.22456,,
5.4,-0.22163,,
5.5,-0.22056,,
5.6,-0.22132,,
5.7,-0.22443,,
5.8,-0.22802,,
5.9,-0.23434,,
6.0,-0.24047,,
6.1,-0.24548,,
6.2,-0.25030,,
6.3,-0.25543,,
6.4,-0.26178,,
6.5,-0.26975,,
6.6,-0.27746,,
6.7,-0.28589,,
6.8,-0.29355,,
6.9,-0.29968,,
7.0,-0.30334,,
7.1,-0.30485,,
7.2,-0.30388,,
7.3,-0.30044,,
7.4,-0.29666,,
7.5,-0.29177,,
7.6,-0.28475,,
7.7,-0.27719,,
7.8,-0.26801,,
7.9,-0.25739,,
8.0,-0.24686,,
8.1,-0.23593,,
8.2,-0.22565,,
8.3,-0.21590,,
8.4,-0.20658,,
8.5,-0.19892,,
8.6,-0.19148,,
8.7,-0.18280,,
8.8,-0.17353,,
8.9,-0.16339,,
9.0,-0.15426,,
9.1,-0.14578,,
9.2,-0.13835,,
9.3,-0.13211,,
9.4,-0.12706,,
9.5,-0.12246,,
9.6,-0.11852,,
9.7,-0.11466,,
9.8,-0.11056,,
9.9,-0.10673,,
10.0,-0.10342,,
10.1,-0.10072,,
10.2,-0.09732,,
10.3,-0.09456,,
10.4,-0.09243,,
10.5,-0.09156,,
10.6,-0.09152,,
10.7,-0.09269,,
10.8,-0.09585,,
10.9,-0.09995,,
11.0,-0.10370,,
11.1,-0.10907,,
11.2,-0.11502,,
11.3,-0.12229,,
11.4,-0.12917,,
11.5,-0.13678,,
11.6,-0.14499,,
11.7,-0.15304,,
11.8,-0.16052,,
11.9,-0.16660,,
12.0,-0.17094,,
12.1,-0.17479,,
12.2,-0.17820,,
12.3,-0.18124,,
12.4,-0.18396,,
12.5,-0.18707,,
12.6,-0.19092,,
12.7,-0.19501,,
12.8,-0.19902,,
12.9,-0.20281,,
13.0,-0.20696,,
13.1,-0.21178,,
13.2,-0.21670,,
13.3,-0.22341,,
13.4,-0.23069,,
13.5,-0.23852,,
13.6,-0.24619,,
13.7,-0.25332,,
13.8,-0.25908,,
13.9,-0.26183,,
14.0,-0.26286,,
14.1,-0.26234,,
14.2,-0.26046,,
14.3,-0.25743,,
14.4,-0.25410,,
14.5,-0.24897,,
14.6,-0.24268,,
14.7,-0.23501,,
14.8,-0.22789,,
14.9,-0.22104,,
15.0,-0.21425,,
15.1,-0.20808,,
15.2,-0.20280,,
15.3,-0.19978,,
15.4,-0.19763,,
15.5,-0.19621,,
15.6,-0.19538,,
15.7,-0.19634,,
15.8,-0.19896,,
15.9,-0.20105,,
16.0,-0.20480,,
16.1,-0.20927,,
16.2,-0.21324,,
16.3,-0.21742,,
16.4,-0.22151,,
16.5,-0.22603,,
16.6,-0.23120,,
16.7,-0.23712,,
16.8,-0.24378,,
16.9,-0.25177,,
17.0,-0.26001,,
17.1,-0.26855,,
17.2,-0.27739,,
17.3,-0.28521,,
17.4,-0.29334,,
17.5,-0.30049,,
17.6,-0.30671,,
17.7,-0.31142,,
17.8,-0.31508,,
17.9,-0.31934,,
18.0,-0.32438,,
18.1,-0.33089,,
18.2,-0.33716,,
18.3,-0.34428,,
18.4,-0.35276,,
18.5,-0.36213,,
18.6,-0.37271,,
18.7,-0.38330,,
18.8,-0.39322,,
18.9,-0.40284,,
19.0,-0.41302,,
19.1,-0.42354,,
19.2,-0.43491,,
19.3,-0.44601,,
19.4,-0.45760,,
19.5,-0.47003,,
19.6,-0.48213,,
19.7,-0.49395,,
19.8,-0.50684,,
19.9,-0.51751,,
20.0,-0.52566,,
20.1,-0.53198,,
20.2,-0.53630,,
20.3,-0.54000,,
20.4,-0.54255,,
20.5,-0.54439,,
20.6,-0.54583,,
20.7,-0.54572,,
20.8,-0.54490,,
20.9,-0.54451,,
21.0,-0.54382,,
21.1,-0.54246,,
21.2,-0.53962,,
21.3,-0.53563,,
21.4,-0.53141,,
21.5,-0.52681,,
21.6,-0.52046,,
21.7,-0.51504,,
21.8,-0.51193,,
21.9,-0.50775,,
22.0,-0.50405,,
22.1,-0.50229,,
22.2,-0.50114,,
22.3,-0.50116,,
22.4,-0.50190,,
22.5,-0.50177,,
22.6,-0.50127,,
22.7,-0.49939,,
22.8,-0.49568,,
22.9,-0.49203,,
23.0,-0.48744,,
23.1,-0.48213,,
23.2,-0.47756,,
23.3,-0.47317,,
23.4,-0.46928,,
23.5,-0.46604,,
23.6,-0.46348,,
23.7,-0.45960,,
23.8,-0.45669,,
23.9,-0.45463,,
24.0,-0.45260,,
24.1,-0.45084,,
24.2,-0.44747,,
24.3,-0.44226,,
24.4,-0.43719,,
24.5,-0.43069,,
24.6,-0.42464,,
24.7,-0.42003,,
24.8,-0.41531,,
24.9,-0.41029,,
25.0,-0.40559,,
25.1,-0.40149,,
25.2,-0.39613,,
25.3,-0.39190,,
25.4,-0.38801,,
25.5,-0.38535,,
25.6,-0.38364,,
25.7,-0.38266,,
25.8,-0.38224,,
25.9,-0.38160,,
26.0,-0.38098,,
26.1,-0.38052,,
26.2,-0.38027,,
26.3,-0.37960,,
26.4,-0.37820,,
26.5,-0.37725,,
26.6,-0.37607,,
26.7,-0.37626,,
26.8,-0.37661,,
26.9,-0.37581,,
27.0,-0.37257,,
27.1,-0.36900,,
27.2,-0.36431,,
27.3,-0.35879,,
27.4,-0.35265,,
27.5,-0.34607,,
27.6,-0.33983,,
27.7,-0.33299,,
27.8,-0.32708,,
27.9,-0.32154,,
28.0,-0.31603,,
28.1,-0.31103,,
28.2,-0.30545,,
28.3,-0.30071,,
28.4,-0.29687,,
28.5,-0.29257,,
28.6,-0.28908,,
28.7,-0.28572,,
28.8,-0.28344,,
28.9,-0.28133,,
29.0,-0.27825,,
29.1,-0.27431,,
29.2,-0.27095,,
29.3,-0.26891,,
29.4,-0.26781,,
29.5,-0.26873,,
29.6,-0.27207,,
29.7,-0.27658,,
29.8,-0.28215,,
29.9,-0.28733,,
30.0,-0.29203,,
30.1,-0.29624,,
30.2,-0.29998,,
30.3,-0.30067,,
30.4,-0.30042,,
30.5,-0.29914,,
30.6,-0.29749,,
30.7,-0.29719,,
30.8,-0.29707,,
30.9,-0.29781,,
31.0,-0.29973,,
31.1,-0.30091,,
31.2,-0.30107,,
31.3,-0.30009,,
31.4,-0.29935,,
31.5,-0.30020,,
31.6,-0.30326,,
31.7,-0.30805,,
31.8,-0.31484,,
31.9,-0.32233,,
32.0,-0.32974,,
32.1,-0.33801,,
32.2,-0.34690,,
32.3,-0.35559,,
32.4,-0.36497,,
32.5,-0.37480,,
32.6,-0.38230,,
32.7,-0.38811,,
32.8,-0.39269,,
32.9,-0.39507,,
33.0,-0.39554,,
33.1,-0.39373,,
33.2,-0.39159,,
33.3,-0.38887,,
33.4,-0.38613,,
33.5,-0.38433,,
33.6,-0.38262,,
33.7,-0.37985,,
33.8,-0.37681,,
33.9,-0.37263,,
34.0,-0.36823,,
34.1,-0.36414,,
34.2,-0.35994,,
34.3,-0.35741,,
34.4,-0.35671,,
34.5,-0.35648,,
34.6,-0.35663,,
34.7,-0.35641,,
34.8,-0.35544,,
34.9,-0.35293,,
35.0,-0.34854,,
35.1,-0.34357,,
35.2,-0.33808,,
35.3,-0.33215,,
35.4,-0.32453,,
35.5,-0.31730,,
35.6,-0.31091,,
35.7,-0.30486,,
35.8,-0.30020,,
35.9,-0.29538,,
36.0,-0.29028,,
36.1,-0.28548,,
36.2,-0.28064,,
36.3,-0.27556,,
36.4,-0.27147,,
36.5,-0.26831,,
36.6,-0.26531,,
36.7,-0.26272,,
36.8,-0.26064,,
36.9,-0.25907,,
37.0,-0.25997,,
37.1,-0.26223,,
37.2,-0.26450,,
37.3,-0.26803,,
37.4,-0.27143,,
37.5,-0.27527,,
37.6,-0.27917,,
37.7,-0.28227,,
37.8,-0.28547,,
37.9,-0.28861,,
38.0,-0.29157,,
38.1,-0.29500,,
38.2,-0.30051,,
38.3,-0.30882,,
38.4,-0.31814,,
38.5,-0.32875,,
38.6,-0.34005,,
38.7,-0.34969,,
38.8,-0.35786,,
38.9,-0.36342,,
39.0,-0.36730,,
39.1,-0.36943,,
39.2,-0.36991,,
39.3,-0.37024,,
39.4,-0.37121,,
39.5,-0.37191,,
39.6,-0.37185,,
39.7,-0.37215,,
39.8,-0.37271,,
39.9,-0.37414,,
40.0,-0.37670,,
40.1,-0.37911,,
40.2,-0.38269,,
40.3,-0.38675,,
40.4,-0.39153,,
40.5,-0.39645,,
40.6,-0.40120,,
40.7,-0.40495,,
40.8,-0.40801,,
40.9,-0.41057,,
41.0,-0.41212,,
41.1,-0.41378,,
41.2,-0.41548,,
41.3,-0.41916,,
41.4,-0.42439,,
41.5,-0.42953,,
41.6,-0.43434,,
41.7,-0.43808,,
41.8,-0.43976,,
41.9,-0.44163,,
42.0,-0.44422,,
42.1,-0.44845,,
42.2,-0.45466,,
42.3,-0.46159,,
42.4,-0.46917,,
42.5,-0.47666,,
42.6,-0.48366,,
42.7,-0.48934,,
42.8,-0.49467,,
42.9,-0.50018,,
43.0,-0.50549,,
43.1,-0.51109,,
43.2,-0.51521,,
43.3,-0.51900,,
43.4,-0.52377,,
43.5,-0.52816,,
43.6,-0.53213,,
43.7,-0.53570,,
43.8,-0.53955,,
43.9,-0.54337,,
44.0,-0.54702,,
44.1,-0.54908,,
44.2,-0.55157,,
44.3,-0.55288,,
44.4,-0.55226,,
44.5,-0.55008,,
44.6,-0.54667,,
44.7,-0.54293,,
44.8,-0.53874,,
44.9,-0.53338,,
45.0,-0.52655,,
45.1,-0.51888,,
45.2,-0.51074,,
45.3,-0.50237,,
45.4,-0.49458,,
45.5,-0.48842,,
45.6,-0.48302,,
45.7,-0.47785,,
45.8,-0.47261,,
45.9,-0.46650,,
46.0,-0.46045,,
46.1,-0.45432,,
46.2,-0.44802,,
46.3,-0.44218,,
46.4,-0.43644,,
46.5,-0.42798,,
46.6,-0.42008,,
46.7,-0.41249,,
46.8,-0.40439,,
46.9,-0.39670,,
47.0,-0.38922,,
47.1,-0.38050,,
47.2,-0.37186,,
47.3,-0.36331,,
47.4,-0.35420,,
47.5,-0.34489,,
47.6,-0.33426,,
47.7,-0.32313,,
47.8,-0.31196,,
47.9,-0.30101,,
48.0,-0.28975,,
48.1,-0.27989,,
48.2,-0.27027,,
48.3,-0.26223,,
48.4,-0.25438,,
48.5,-0.24599,,
48.6,-0.23801,,
48.7,-0.23158,,
48.8,-0.22852,,
48.9,-0.22627,,
49.0,-0.22604,,
49.1,-0.22898,,
49.2,-0.23352,,
49.3,-0.24066,,
49.4,-0.24879,,
49.5,-0.25565,,
49.6,-0.26275,,
49.7,-0.26892,,
49.8,-0.27359,,
49.9,-0.27721,,
50.0,-0.28012,,
50.1,-0.27989,,
50.2,-0.27744,,
50.3,-0.27342,,
50.4,-0.26762,,
50.5,-0.26271,,
50.6,-0.25740,,
50.7,-0.25302,,
50.8,-0.24890,,
50.9,-0.24662,,
51.0,-0.24363,,
51.1,-0.24056,,
51.2,-0.23843,,
51.3,-0.23640,,
51.4,-0.23467,,
51.5,-0.23332,,
51.6,-0.23238,,
51.7,-0.23314,,
51.8,-0.23486,,
51.9,-0.23575,,
52.0,-0.23689,,
52.1,-0.23951,,
52.2,-0.24283,,
52.3,-0.24771,,
52.4,-0.25252,,
52.5,-0.25836,,
52.6,-0.26642,,
52.7,-0.27585,,
52.8,-0.28676,,
52.9,-0.30042,,
53.0,-0.31467,,
53.1,-0.32965,,
53.2,-0.34469,,
53.3,-0.35682,,
53.4,-0.36661,,
53.5,-0.37323,,
53.6,-0.37646,,
53.7,-0.37773,,
53.8,-0.37665,,
53.9,-0.37448,,
54.0,-0.37067,,
54.1,-0.36503,,
54.2,-0.35891,,
54.3,-0.35242,,
54.4,-0.34695,,
54.5,-0.34120,,
54.6,-0.33582,,
54.7,-0.33045,,
54.8,-0.32559,,
54.9,-0.32210,,
55.0,-0.31969,,
55.1,-0.31749,,
55.2,-0.31762,,
55.3,-0.31911,,
55.4,-0.32197,,
55.5,-0.32546,,
55.6,-0.33112,,
55.7,-0.33962,,
55.8,-0.34979,,
55.9,-0.36155,,
56.0,-0.37474,,
56.1,-0.38719,,
56.2,-0.39779,,
56.3,-0.40608,,
56.4,-0.41132,,
56.5,-0.41596,,
56.6,-0.41940,,
56.7,-0.42072,,
56.8,-0.42092,,
56.9,-0.41993,,
57.0,-0.41915,,
57.1,-0.41929,,
57.2,-0.42001,,
57.3,-0.42044,,
57.4,-0.42144,,
57.5,-0.42343,,
57.6,-0.42657,,
57.7,-0.43152,,
57.8,-0.43785,,
57.9,-0.44391,,
58.0,-0.45080,,
58.1,-0.45643,,
58.2,-0.46108,,
58.3,-0.46497,,
58.4,-0.46828,,
58.5,-0.47113,,
58.6,-0.47298,,
58.7,-0.47294,,
58.8,-0.47133,,
58.9,-0.46975,,
59.0,-0.46775,,
59.1,-0.46444,,
59.2,-0.45945,,
59.3,-0.45401,,
59.4,-0.44949,,
59.5,-0.44522,,
59.6,-0.44083,,
59.7,-0.43614,,
59.8,-0.43171,,
59.9,-0.42654,,
60.0,-0.42010,,
60.1,-0.41290,,
60.2,-0.40656,,
60.3,-0.40058,,
60.4,-0.39532,,
60.5,-0.39093,,
60.6,-0.38807,,
60.7,-0.38700,,
60.8,-0.38773,,
60.9,-0.39013,,
61.0,-0.39270,,
61.1,-0.39659,,
61.2,-0.40167,,
61.3,-0.40514,,
61.4,-0.40827,,
61.5,-0.40977,,
61.6,-0.40973,,
61.7,-0.41028,,
61.8,-0.40923,,
61.9,-0.40619,,
62.0,-0.40371,,
62.1,-0.40115,,
62.2,-0.39883,,
62.3,-0.39691,,
62.4,-0.39478,,
62.5,-0.39213,,
62.6,-0.38883,,
62.7,-0.38618,,
62.8,-0.38351,,
62.9,-0.38112,,
63.0,-0.37916,,
63.1,-0.37898,,
63.2,-0.38119,,
63.3,-0.38594,,
63.4,-0.39182,,
63.5,-0.40062,,
63.6,-0.41046,,
63.7,-0.42090,,
63.8,-0.43235,,
63.9,-0.44295,,
64.0,-0.45244,,
64.1,-0.46207,,
64.2,-0.46987,,
64.3,-0.47820,,
64.4,-0.48567,,
64.5,-0.49158,,
64.6,-0.49699,,
64.7,-0.50316,,
64.8,-0.50940,,
64.9,-0.51665,,
65.0,-0.52468,,
65.1,-0.53266,,
65.2,-0.54145,,
65.3,-0.55081,,
65.4,-0.56057,,
65.5,-0.57125,,
65.6,-0.58244,,
65.7,-0.59384,,
65.8,-0.60729,,
65.9,-0.62163,,
66.0,-0.63551,,
66.1,-0.64827,,
66.2,-0.65762,,
66.3,-0.66457,,
66.4,-0.67051,,
66.5,-0.67623,,
66.6,-0.68153,,
66.7,-0.68632,,
66.8,-0.69125,,
66.9,-0.69535,,
67.0,-0.69815,,
67.1,-0.70015,,
67.2,-0.70036,,
67.3,-0.69904,,
67.4,-0.69577,,
67.5,-0.69245,,
67.6,-0.68812,,
67.7,-0.68300,,
67.8,-0.67595,,
67.9,-0.66913,,
68.0,-0.66433,,
68.1,-0.66173,,
68.2,-0.65928,,
68.3,-0.65849,,
68.4,-0.66008,,
68.5,-0.66293,,
68.6,-0.66503,,
68.7,-0.66800,,
68.8,-0.67198,,
68.9,-0.67698,,
69.0,-0.68359,,
69.1,-0.69068,,
69.2,-0.69961,,
69.3,-0.71162,,
69.4,-0.72650,,
69.5,-0.74196,,
69.6,-0.75870,,
69.7,-0.77436,,
69.8,-0.78974,,
69.9,-0.80530,,
70.0,-0.82058,,
70.1,-0.83540,,
70.2,-0.85031,,
70.3,-0.86563,,
70.4,-0.88083,,
70.5,-0.89761,,
70.6,-0.91546,,
70.7,-0.93402,,
70.8,-0.95174,,
70.9,-0.96783,,
71.0,-0.98398,,
71.1,-0.99976,,
71.2,-1.01365,,
71.3,-1.02563,,
71.4,-1.03650,,
71.5,-1.04674,,
71.6,-1.05734,,
71.7,-1.06944,,
71.8,-1.08423,,
71.9,-1.10081,,
72.0,-1.11793,,
72.1,-1.13553,,
72.2,-1.15421,,
72.3,-1.17354,,
72.4,-1.19260,,
72.5,-1.21355,,
72.6,-1.23477,,
72.7,-1.25537,,
72.8,-1.27691,,
72.9,-1.30014,,
73.0,-1.32403,,
73.1,-1.34733,,
73.2,-1.37138,,
73.3,-1.39618,,
73.4,-1.42170,,
73.5,-1.44784,,
73.6,-1.47321,,
73.7,-1.49842,,
73.8,-1.52383,,
73.9,-1.54761,,
74.0,-1.57156,,
74.1,-1.59531,,
74.2,-1.61866,,
74.3,-1.64286,,
74.4,-1.66787,,
74.5,-1.68964,,
74.6,-1.70689,,
74.7,-1.72058,,
74.8,-1.73016,,
74.9,-1.73630,,
75.0,-1.73892,,
75.1,-1.73892,,
75.2,-1.73629,,
75.3,-1.73254,,
75.4,-1.72789,,
75.5,-1.72321,,
75.6,-1.71827,,
75.7,-1.71498,,
75.8,-1.71224,,
75.9,-1.70944,,
76.0,-1.70690,,
76.1,-1.70611,,
76.2,-1.70641,,
76.3,-1.70672,,
76.4,-1.70777,,
76.5,-1.70990,,
76.6,-1.71454,,
76.7,-1.72029,,
76.8,-1.72764,,
76.9,-1.73741,,
77.0,-1.74787,,
77.1,-1.75674,,
77.2,-1.76289,,
77.3,-1.76725,,
77.4,-1.76911,,
77.5,-1.76895,,
77.6,-1.76781,,
77.7,-1.76765,,
77.8,-1.76746,,
77.9,-1.76870,,
78.0,-1.77071,,
78.1,-1.77309,,
78.2,-1.77757,,
78.3,-1.78165,,
78.4,-1.78664,,
78.5,-1.79119,,
78.6,-1.79331,,
78.7,-1.79408,,
78.8,-1.79218,,
78.9,-1.78843,,
79.0,-1.78339,,
79.1,-1.77945,,
79.2,-1.77516,,
79.3,-1.77109,,
79.4,-1.76555,,
79.5,-1.75840,,
79.6,-1.75166,,
79.7,-1.74375,,
79.8,-1.73653,,
79.9,-1.72832,,
80.0,-1.71896,,
80.1,-1.70908,,
80.2,-1.69776,,
80.3,-1.68657,,
80.4,-1.67702,,
80.5,-1.67046,,
80.6,-1.66540,,
80.7,-1.66030,,
80.8,-1.65695,,
80.9,-1.65357,,
81.0,-1.64986,,
81.1,-1.64567,,
81.2,-1.64097,,
81.3,-1.63709,,
81.4,-1.63337,,
81.5,-1.63077,,
81.6,-1.62838,,
81.7,-1.62507,,
81.8,-1.62292,,
81.9,-1.62164,,
82.0,-1.62103,,
82.1,-1.61828,,
82.2,-1.61600,,
82.3,-1.61357,,
82.4,-1.61002,,
82.5,-1.60754,,
82.6,-1.60526,,
82.7,-1.60466,,
82.8,-1.60512,,
82.9,-1.60686,,
83.0,-1.60993,,
83.1,-1.61359,,
83.2,-1.61740,,
83.3,-1.62113,,
83.4,-1.62266,,
83.5,-1.62301,,
83.6,-1.62082,,
83.7,-1.61620,,
83.8,-1.60939,,
83.9,-1.60200,,
84.0,-1.59493,,
84.1,-1.58798,,
84.2,-1.58102,,
84.3,-1.57467,,
84.4,-1.56919,,
84.5,-1.56468,,
84.6,-1.56045,,
84.7,-1.55611,,
84.8,-1.55213,,
84.9,-1.54872,,
85.0,-1.54531,,
85.1,-1.54290,,
85.2,-1.53932,,
85.3,-1.53613,,
85.4,-1.53348,,
85.5,-1.53141,,
85.6,-1.52989,,
85.7,-1.52955,,
85.8,-1.52996,,
85.9,-1.53216,,
86.0,-1.53592,,
86.1,-1.54036,,
86.2,-1.54427,,
86.3,-1.54839,,
86.4,-1.55374,,
86.5,-1.55947,,
86.6,-1.56377,,
86.7,-1.56710,,
86.8,-1.56845,,
86.9,-1.56742,,
87.0,-1.56398,,
87.1,-1.55760,,
87.2,-1.54889,,
87.3,-1.53965,,
87.4,-1.52892,,
87.5,-1.51693,,
87.6,-1.50589,,
87.7,-1.49559,,
87.8,-1.48586,,
87.9,-1.47592,,
88.0,-1.46734,,
88.1,-1.45757,,
88.2,-1.44795,,
88.3,-1.43789,,
88.4,-1.42908,,
88.5,-1.42232,,
88.6,-1.41593,,
88.7,-1.40898,,
88.8,-1.40101,,
88.9,-1.39382,,
89.0,-1.38832,,
89.1,-1.38489,,
89.2,-1.38291,,
89.3,-1.38195,,
89.4,-1.38303,,
89.5,-1.38589,,
89.6,-1.38959,,
89.7,-1.39358,,
89.8,-1.39754,,
89.9,-1.39932,,
90.0,-1.40056,,
90.1,-1.40153,,
90.2,-1.40370,,
90.3,-1.40713,,
90.4,-1.41107,,
90.5,-1.41512,,
90.6,-1.41771,,
90.7,-1.41877,,
90.8,-1.41706,,
90.9,-1.41343,,
91.0,-1.40780,,
91.1,-1.39898,,
91.2,-1.38785,,
