Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.00378,,
0.2,0.00487,,
0.3,0.00558,,
0.4,0.00654,,
0.5,0.00739,,
0.6,0.00928,,
0.7,0.01209,,
0.8,0.01370,,
0.9,0.01440,,
1.0,0.01636,,
1.1,0.01672,,
1.2,0.01471,,
1.3,0.01141,,
1.4,0.00682,,
1.5,0.00304,,
1.6,-0.00154,,
1.7,-0.00637,,
1.8,-0.00852,,
1.9,-0.01122,,
2.0,-0.01485,,
2.1,-0.01690,,
2.2,-0.02010,,
2.3,-0.02452,,
2.4,-0.02877,,
2.5,-0.03346,,
2.6,-0.03755,,
2.7,-0.03987,,
2.8,-0.04058,,
2.9,-0.03922,,
3.0,-0.03768,,
3.1,-0.03499,,
3.2,-0.03073,,
3.3,-0.02741,,
3.4,-0.02236,,
3.5,-0.01691,,
3.6,-0.01114,,
3.7,-0.00314,,
3.8,0.00465,,
3.9,0.01162,,
4.0,0.01813,,
4.1,0.02312,,
4.2,0.02807,,
4.3,0.03316,,
4.4,0.03712,,
4.5,0.04003,,
4.6,0.04266,,
4.7,0.04414,,
4.8,0.04472,,
4.9,0.04329,,
5.0,0.03809,,
5.1,0.03305,,
5.2,0.02565,,
5.3,0.01999,,
5.4,0.01617,,
5.5,0.01014,,
5.6,0.00386,,
5.7,-0.00228,,
5.8,-0.00674,,
5.9,-0.01015,,
6.0,-0.01490,,
6.1,-0.02019,,
6.2,-0.02423,,
6.3,-0.02880,,
6.4,-0.03349,,
6.5,-0.03544,,
6.6,-0.03659,,
6.7,-0.03609,,
6.8,-0.03556,,
6.9,-0.03522,,
7.0,-0.03451,,
7.1,-0.03513,,
7.2,-0.03791,,
7.3,-0.04248,,
7.4,-0.04915,,
7.5,-0.05599,,
7.6,-0.06456,,
7.7,-0.07362,,
7.8,-0.08245,,
7.9,-0.09136,,
8.0,-0.10115,,
8.1,-0.11219,,
8.2,-0.12394,,
8.3,-0.13540,,
8.4,-0.14604,,
8.5,-0.15498,,
8.6,-0.16188,,
8.7,-0.16801,,
8.8,-0.17544,,
8.9,-0.18187,,
9.0,-0.18945,,
9.1,-0.19727,,
9.2,-0.20417,,
9.3,-0.20958,,
9.4,-0.21462,,
9.5,-0.21796,,
9.6,-0.21899,,
9.7,-0.21887,,
9.8,-0.21831,,
9.9,-0.21706,,
10.0,-0.21767,,
10.1,-0.21676,,
10.2,-0.21593,,
10.3,-0.21404,,
10.4,-0.21321,,
10.5,-0.21382,,
10.6,-0.21336,,
10.7,-0.21251,,
10.8,-0.21103,,
10.9,-0.20947,,
11.0,-0.20684,,
11.1,-0.20529,,
11.2,-0.20329,,
11.3,-0.20069,,
11.4,-0.19879,,
11.5,-0.19426,,
11.6,-0.19012,,
11.7,-0.18733,,
11.8,-0.18363,,
11.9,-0.18055,,
12.0,-0.17817,,
12.1,-0.17586,,
12.2,-0.17456,,
12.3,-0.17539,,
12.4,-0.17615,,
12.5,-0.17698,,
12.6,-0.17729,,
12.7,-0.17812,,
12.8,-0.18067,,
12.9,-0.18608,,
13.0,-0.19216,,
13.1,-0.19899,,
13.2,-0.20522,,
13.3,-0.21086,,
13.4,-0.21660,,
13.5,-0.22215,,
13.6,-0.22802,,
13.7,-0.23513,,
13.8,-0.24124,,
13.9,-0.24918,,
14.0,-0.25637,,
14.1,-0.26282,,
14.2,-0.27121,,
14.3,-0.27756,,
14.4,-0.28385,,
14.5,-0.29048,,
14.6,-0.29830,,
14.7,-0.30703,,
14.8,-0.31578,,
14.9,-0.32210,,
15.0,-0.32881,,
15.1,-0.33409,,
15.2,-0.33576,,
15.3,-0.33553,,
15.4,-0.33578,,
15.5,-0.33578,,
15.6,-0.33647,,
15.7,-0.33501,,
15.8,-0.33398,,
15.9,-0.33277,,
16.0,-0.33104,,
16.1,-0.32933,,
16.2,-0.32924,,
16.3,-0.32952,,
16.4,-0.33081,,
16.5,-0.33338,,
16.6,-0.33726,,
16.7,-0.34439,,
16.8,-0.35224,,
16.9,-0.36074,,
17.0,-0.37113,,
17.1,-0.38129,,
17.2,-0.39208,,
17.3,-0.40261,,
17.4,-0.41240,,
17.5,-0.41928,,
17.6,-0.42625,,
17.7,-0.43228,,
17.8,-0.43819,,
17.9,-0.44378,,
18.0,-0.44765,,
18.1,-0.45179,,
18.2,-0.45200,,
18.3,-0.45222,,
18.4,-0.45260,,
18.5,-0.45453,,
18.6,-0.45730,,
18.7,-0.46050,,
18.8,-0.46321,,
18.9,-0.46627,,
19.0,-0.47212,,
