Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE


Analytical Results

Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Aspect Ratio,3679.7 um,0.0 um,3794.3 um,0.0 um,0.0800
Aspect Ratio,3878.6 um,0.0 um,3992.1 um,0.0 um,0.0827
Spacing,188.0 um,0.0 um,277.8 um,0.0 um,89.6 um
Spacing,389.8 um,0.0 um,475.8 um,0.0 um,85.8 um
Spacing,588.4 um,0.0 um,677.7 um,0.0 um,89.1 um
Spacing,789.4 um,0.0 um,879.8 um,0.0 um,90.2 um
Spacing,992.8 um,0.0 um,1080.1 um,0.0 um,87.1 um
Spacing,1193.5 um,0.0 um,1280.5 um,0.0 um,86.8 um
Spacing,1394.9 um,0.0 um,1481.7 um,0.0 um,86.6 um
Spacing,1594.0 um,0.0 um,1680.0 um,0.0 um,85.8 um
Spacing,1791.9 um,0.0 um,1879.5 um,0.0 um,87.4 um
Spacing,1987.9 um,0.0 um,2076.0 um,0.0 um,87.9 um
Spacing,2187.3 um,0.0 um,2276.3 um,0.0 um,88.8 um
Spacing,2388.7 um,0.0 um,2475.4 um,0.0 um,86.5 um
Spacing,2591.6 um,0.0 um,2678.0 um,0.0 um,86.2 um
Spacing,2791.2 um,0.0 um,2877.6 um,0.0 um,86.2 um
Spacing,2995.0 um,0.0 um,3084.0 um,0.0 um,88.8 um
Spacing,3197.0 um,0.0 um,3284.8 um,0.0 um,87.6 um
Spacing,3395.9 um,0.0 um,3483.0 um,0.0 um,86.9 um
Spacing,3593.9 um,0.0 um,3679.7 um,0.0 um,85.6 um
Spacing,3794.3 um,0.0 um,3878.6 um,0.0 um,84.1 um
Distance,131.9 um,0.0 um,333.8 um,0.0 um,201.8 um
Distance,333.8 um,0.0 um,532.1 um,0.0 um,198.3 um
Distance,532.1 um,0.0 um,733.6 um,0.0 um,201.4 um
Distance,733.6 um,0.0 um,936.3 um,0.0 um,202.7 um
Distance,936.3 um,0.0 um,1136.8 um,0.0 um,200.5 um
Distance,1136.8 um,0.0 um,1337.7 um,0.0 um,200.9 um
Distance,1337.7 um,0.0 um,1537.8 um,0.0 um,200.1 um
Distance,1537.8 um,0.0 um,1736.0 um,0.0 um,198.1 um
Distance,1736.0 um,0.0 um,1933.7 um,0.0 um,197.8 um
Distance,1933.7 um,0.0 um,2131.7 um,0.0 um,197.9 um
Distance,2131.7 um,0.0 um,2332.5 um,0.0 um,200.8 um
Distance,2332.5 um,0.0 um,2533.5 um,0.0 um,201.0 um
Distance,2533.5 um,0.0 um,2734.6 um,0.0 um,201.1 um
Distance,2734.6 um,0.0 um,2936.3 um,0.0 um,201.7 um
Distance,2936.3 um,0.0 um,3140.5 um,0.0 um,204.2 um
Distance,3140.5 um,0.0 um,3340.4 um,0.0 um,199.8 um
Distance,3340.4 um,0.0 um,3538.4 um,0.0 um,198.1 um
Distance,3538.4 um,0.0 um,3737.0 um,0.0 um,198.6 um
Distance,3737.0 um,0.0 um,3935.4 um,0.0 um,198.3 um


Scan Data

Lateral um,Raw Micrometer,Trace Filtered Data Micrometer,
0.0,0.00000,-0.58002,,
0.1,-0.01939,-0.58728,,
0.2,-0.04250,-0.60194,,
0.3,-0.06530,-0.62272,,
0.4,-0.08563,-0.64210,,
0.5,-0.10185,-0.65857,,
0.6,-0.11535,-0.67175,,
0.7,-0.12512,-0.68144,,
0.8,-0.13084,-0.68767,,
0.9,-0.13399,-0.69125,,
1.0,-0.13355,-0.68973,,
1.1,-0.12857,-0.68573,,
1.2,-0.12150,-0.67913,,
1.3,-0.11184,-0.67051,,
1.4,-0.10148,-0.66119,,
1.5,-0.09147,-0.65194,,
1.6,-0.08303,-0.64361,,
1.7,-0.07603,-0.63626,,
1.8,-0.07030,-0.62983,,
1.9,-0.06433,-0.62370,,
2.0,-0.05866,-0.61773,,
2.1,-0.05223,-0.61159,,
2.2,-0.04584,-0.60527,,
2.3,-0.03994,-0.59884,,
2.4,-0.03273,-0.59259,,
2.5,-0.02599,-0.58678,,
2.6,-0.02196,-0.58216,,
2.7,-0.01769,-0.57872,,
2.8,-0.01623,-0.57704,,
2.9,-0.01638,-0.57655,,
3.0,-0.01737,-0.57825,,
3.1,-0.02071,-0.58126,,
3.2,-0.02508,-0.58559,,
3.3,-0.03099,-0.59129,,
3.4,-0.03796,-0.59819,,
3.5,-0.04565,-0.60601,,
3.6,-0.05516,-0.61463,,
3.7,-0.06429,-0.62372,,
3.8,-0.07321,-0.63328,,
3.9,-0.08337,-0.64362,,
4.0,-0.09411,-0.65494,,
4.1,-0.10702,-0.66796,,
4.2,-0.12149,-0.68248,,
4.3,-0.13839,-0.69809,,
4.4,-0.15604,-0.71381,,
4.5,-0.17084,-0.72879,,
4.6,-0.18370,-0.74251,,
4.7,-0.19658,-0.75513,,
4.8,-0.20788,-0.76678,,
4.9,-0.21883,-0.77796,,
5.0,-0.22947,-0.78874,,
5.1,-0.23983,-0.79952,,
5.2,-0.25062,-0.81062,,
5.3,-0.26217,-0.82251,,
5.4,-0.27462,-0.83574,,
5.5,-0.28929,-0.85048,,
5.6,-0.30674,-0.86663,,
5.7,-0.32442,-0.88347,,
5.8,-0.34161,-0.90012,,
5.9,-0.35796,-0.91603,,
6.0,-0.37202,-0.93093,,
6.1,-0.38582,-0.94511,,
6.2,-0.39981,-0.95876,,
6.3,-0.41289,-0.97246,,
6.4,-0.42585,-0.98673,,
6.5,-0.44112,-1.00227,,
6.6,-0.45851,-1.01924,,
6.7,-0.47776,-1.03783,,
6.8,-0.49728,-1.05740,,
6.9,-0.51818,-1.07739,,
7.0,-0.53898,-1.09672,,
7.1,-0.55757,-1.11476,,
7.2,-0.57297,-1.13068,,
7.3,-0.58688,-1.14477,,
7.4,-0.59832,-1.15707,,
7.5,-0.60960,-1.16842,,
7.6,-0.61997,-1.17887,,
7.7,-0.62976,-1.18852,,
7.8,-0.63921,-1.19694,,
7.9,-0.64645,-1.20354,,
8.0,-0.65068,-1.20814,,
8.1,-0.65233,-1.21034,,
8.2,-0.65312,-1.21078,,
8.3,-0.65075,-1.20816,,
8.4,-0.64619,-1.20381,,
8.5,-0.63947,-1.19709,,
8.6,-0.63073,-1.18849,,
8.7,-0.61956,-1.17850,,
8.8,-0.60788,-1.16793,,
8.9,-0.59742,-1.15757,,
9.0,-0.58770,-1.14796,,
9.1,-0.57906,-1.13932,,
9.2,-0.57162,-1.13149,,
9.3,-0.56469,-1.12431,,
9.4,-0.55786,-1.11723,,
9.5,-0.55158,-1.11015,,
9.6,-0.54339,-1.10280,,
9.7,-0.53542,-1.09551,,
9.8,-0.52880,-1.08831,,
9.9,-0.52204,-1.08168,,
10.0,-0.51504,-1.07561,,
10.1,-0.51037,-1.07070,,
10.2,-0.50597,-1.06698,,
10.3,-0.50401,-1.06504,,
10.4,-0.50414,-1.06425,,
10.5,-0.50538,-1.06502,,
10.6,-0.50712,-1.06557,,
10.7,-0.50769,-1.06565,,
10.8,-0.50559,-1.06350,,
10.9,-0.50221,-1.06004,,
11.0,-0.49641,-1.05473,,
11.1,-0.48971,-1.04762,,
11.2,-0.48169,-1.03860,,
11.3,-0.46957,-1.02755,,
11.4,-0.45612,-1.01521,,
11.5,-0.44225,-1.00218,,
11.6,-0.42914,-0.98949,,
11.7,-0.41738,-0.97744,,
11.8,-0.40652,-0.96605,,
11.9,-0.39560,-0.95494,,
12.0,-0.38475,-0.94367,,
12.1,-0.37341,-0.93192,,
12.2,-0.36062,-0.91963,,
12.3,-0.34731,-0.90695,,
12.4,-0.33468,-0.89430,,
12.5,-0.32198,-0.88202,,
12.6,-0.31015,-0.87059,,
12.7,-0.29963,-0.86010,,
12.8,-0.29057,-0.85076,,
12.9,-0.28226,-0.84236,,
13.0,-0.27496,-0.83473,,
13.1,-0.26805,-0.82729,,
13.2,-0.26118,-0.81982,,
13.3,-0.25284,-0.81198,,
13.4,-0.24431,-0.80396,,
13.5,-0.23627,-0.79618,,
13.6,-0.22842,-0.78941,,
13.7,-0.22254,-0.78444,,
13.8,-0.22011,-0.78130,,
13.9,-0.22037,-0.78244,,
14.0,-0.22467,-0.78550,,
14.1,-0.23018,-0.79045,,
14.2,-0.23658,-0.79672,,
