Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE


Analytical Results

Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
307.2,8.03255,7.47213,,
307.3,8.02134,7.46118,,
307.4,8.00955,7.44957,,
307.5,7.99764,7.43713,,
307.6,7.98455,7.42359,,
307.7,7.96979,7.40869,,
307.8,7.95322,7.39226,,
307.9,7.93489,7.37443,,
308.0,7.91562,7.35582,,
308.1,7.89591,7.33680,,
308.2,7.87738,7.31817,,
308.3,7.85885,7.29999,,
308.4,7.84164,7.28269,,
308.5,7.82506,7.26613,,
308.6,7.80935,7.25038,,
308.7,7.79459,7.23555,,
308.8,7.78007,7.22183,,
308.9,7.76739,7.20970,,
309.0,7.75727,7.19952,,
309.1,7.74925,7.19144,,
309.2,7.74360,7.18530,,
309.3,7.73964,7.18054,,
309.4,7.73620,7.17663,,
309.5,7.73264,7.17315,,
309.6,7.72927,7.17014,,
309.7,7.72626,7.16783,,
309.8,7.72497,7.16634,,
309.9,7.72537,7.16664,,
310.0,7.72665,7.16787,,
310.1,7.72897,7.17021,,
310.2,7.73235,7.17344,,
310.3,7.73673,7.17745,,
310.4,7.74132,7.18205,,
310.5,7.74638,7.18719,,
310.6,7.75198,7.19270,,
310.7,7.75813,7.19867,,
310.8,7.76415,7.20501,,
310.9,7.77099,7.21188,,
311.0,7.77845,7.21910,,
311.1,7.78636,7.22653,,
311.2,7.79396,7.23389,,
311.3,7.80085,7.24112,,
311.4,7.80753,7.24822,,
311.5,7.81495,7.25506,,
311.6,7.82223,7.26151,,
311.7,7.82761,7.26706,,
311.8,7.83224,7.27153,,
311.9,7.83549,7.27487,,
312.0,7.83711,7.27739,,
312.1,7.83906,7.27971,,
312.2,7.84106,7.28211,,
312.3,7.84427,7.28505,,
312.4,7.84789,7.28839,,
312.5,7.85149,7.29204,,
312.6,7.85548,7.29572,,
312.7,7.85940,7.29905,,
312.8,7.86235,7.30206,,
312.9,7.86391,7.30502,,
313.0,7.86660,7.30873,,
313.1,7.87168,7.31380,,
313.2,7.87902,7.32089,,
313.3,7.88769,7.33010,,
313.4,7.89911,7.34155,,
313.5,7.91317,7.35503,,
313.6,7.92895,7.37029,,
313.7,7.94586,7.38663,,
313.8,7.96349,7.40359,,
313.9,7.98024,7.42055,,
314.0,7.99730,7.43763,,
314.1,8.01397,7.45442,,
314.2,8.03123,7.47118,,
314.3,8.04756,7.48739,,
314.4,8.06356,7.50314,,
314.5,8.07823,7.51818,,
314.6,8.09247,7.53308,,
314.7,8.10678,7.54784,,
314.8,8.12274,7.56300,,
314.9,8.13779,7.57852,,
315.0,8.15326,7.59465,,
315.1,8.17050,7.61128,,
315.2,8.18810,7.62820,,
315.3,8.20531,7.64507,,
315.4,8.22173,7.66157,,
315.5,8.23723,7.67748,,
315.6,8.25310,7.69303,,
315.7,8.26804,7.70804,,
315.8,8.28273,7.72281,,
315.9,8.29691,7.73715,,
316.0,8.31111,7.75123,,
316.1,8.32498,7.76505,,
316.2,8.33834,7.77885,,
316.3,8.35179,7.79241,,
316.4,8.36631,7.80610,,
316.5,8.37905,7.81953,,
316.6,8.39257,7.83309,,
316.7,8.40620,7.84629,,
316.8,8.41958,7.85923,,
316.9,8.43187,7.87167,,
317.0,8.44336,7.88373,,
317.1,8.45493,7.89559,,
317.2,8.46703,7.90750,,
317.3,8.47921,7.91958,,
317.4,8.49123,7.93143,,
317.5,8.50363,7.94298,,
317.6,8.51402,7.95376,,
317.7,8.52392,7.96392,,
317.8,8.53352,7.97345,,
317.9,8.54226,7.98242,,
318.0,8.55125,7.99110,,
318.1,8.55907,7.99934,,
318.2,8.56703,8.00764,,
318.3,8.57516,8.01594,,
318.4,8.58412,8.02452,,
318.5,8.59289,8.03297,,
318.6,8.60159,8.04109,,
318.7,8.60898,8.04844,,
318.8,8.61514,8.05487,,
318.9,8.62087,8.06024,,
319.0,8.62530,8.06433,,
319.1,8.62806,8.06689,,
319.2,8.62907,8.06836,,
319.3,8.62776,8.06721,,
319.4,8.62531,8.06586,,
319.5,8.62308,8.06444,,
319.6,8.62245,8.06341,,
319.7,8.62274,8.06375,,
319.8,8.62350,8.06504,,
319.9,8.62579,8.06753,,
320.0,8.63005,8.07114,,
320.1,8.63508,8.07543,,
320.2,8.64015,8.08001,,
320.3,8.64424,8.08431,,
320.4,8.64817,8.08815,,
320.5,8.65174,8.09159,,
320.6,8.65420,8.09468,,
320.7,8.65722,8.09759,,
320.8,8.66033,8.10064,,
320.9,8.66261,8.10399,,
321.0,8.66692,8.10814,,
321.1,8.67202,8.11277,,
321.2,8.67784,8.11776,,
321.3,8.68298,8.12227,,
321.4,8.68673,8.12619,,
321.5,8.68881,8.12953,,
321.6,8.69183,8.13298,,
321.7,8.69581,8.13691,,
321.8,8.70067,8.14181,,
321.9,8.70633,8.14787,,
322.0,8.71334,8.15534,,
322.1,8.72255,8.16435,,
322.2,8.73360,8.17498,,
322.3,8.74552,8.18692,,
322.4,8.75903,8.20004,,
322.5,8.77310,8.21374,,
322.6,8.78777,8.22787,,
322.7,8.80173,8.24167,,
322.8,8.81562,8.25518,,
322.9,8.82784,8.26801,,
323.0,8.84026,8.28078,,
323.1,8.85256,8.29337,,
323.2,8.86591,8.30607,,
323.3,8.87886,8.31847,,
323.4,8.89068,8.33038,,
323.5,8.90171,8.34172,,
323.6,8.91220,8.35240,,
323.7,8.92296,8.36251,,
323.8,8.93244,8.37192,,
323.9,8.94057,8.38051,,
324.0,8.94871,8.38838,,
324.1,8.95561,8.39541,,
324.2,8.96203,8.40161,,
324.3,8.96774,8.40670,,
324.4,8.97133,8.41051,,
324.5,8.97354,8.41292,,
324.6,8.97486,8.41427,,
324.7,8.97429,8.41368,,
324.8,8.97275,8.41226,,
324.9,8.97015,8.40934,,
325.0,8.96652,8.40496,,
325.1,8.95995,8.39857,,
325.2,8.95163,8.39036,,
325.3,8.94099,8.38034,,
325.4,8.92922,8.36897,,
325.5,8.91703,8.35659,,
325.6,8.90351,8.34359,,
325.7,8.88960,8.33008,,
325.8,8.87647,8.31618,,
325.9,8.86208,8.30153,,
326.0,8.84673,8.28609,,
326.1,8.82998,8.26905,,
326.2,8.81238,8.25017,,
326.3,8.79096,8.22914,,
326.4,8.76641,8.20626,,
326.5,8.74193,8.18228,,
326.6,8.71728,8.15756,,
326.7,8.69298,8.13291,,
326.8,8.66733,8.10842,,
326.9,8.64279,8.08478,,
327.0,8.62061,8.06242,,
327.1,8.59998,8.04158,,
327.2,8.58099,8.02251,,
327.3,8.56294,8.00477,,
327.4,8.54735,7.98836,,
327.5,8.53222,7.97253,,
327.6,8.51711,7.95682,,
327.7,8.50112,7.94034,,
327.8,8.48383,7.92297,,
327.9,8.46444,7.90463,,
328.0,8.44533,7.88609,,
328.1,8.42643,7.86768,,
328.2,8.40899,7.85000,,
328.3,8.39227,7.83311,,
328.4,8.37583,7.81731,,
328.5,8.36072,7.80280,,
328.6,8.34807,7.78979,,
328.7,8.33699,7.77831,,
328.8,8.32689,7.76804,,
328.9,8.31805,7.75862,,
329.0,8.30920,7.74933,,
329.1,8.30033,7.73958,,
329.2,8.29011,7.72886,,
329.3,8.27726,7.71685,,
329.4,8.26394,7.70380,,
329.5,8.24999,7.69005,,
329.6,8.23540,7.67613,,
329.7,8.22152,7.66247,,
329.8,8.20835,7.64916,,
329.9,8.19586,7.63634,,
330.0,8.18331,7.62350,,
330.1,8.17098,7.61036,,
330.2,8.15701,7.59647,,
330.3,8.14185,7.58197,,
330.4,8.12649,7.56741,,
330.5,8.11146,7.55388,,
330.6,8.09902,7.54209,,
330.7,8.09083,7.53274,,
330.8,8.08355,7.52538,,
330.9,8.07859,7.51984,,
331.0,8.07459,7.51491,,
331.1,8.07072,7.51011,,
331.2,8.06524,7.50474,,
331.3,8.05862,7.49880,,
331.4,8.05188,7.49232,,
331.5,8.04556,7.48570,,
331.6,8.03860,7.47881,,
331.7,8.03181,7.47185,,
331.8,8.02427,7.46480,,
331.9,8.01689,7.45821,,
332.0,8.01078,7.45246,,
332.1,8.00646,7.44801,,
332.2,8.00341,7.44481,,
332.3,8.00192,7.44251,,
332.4,8.00073,7.44031,,
332.5,7.99847,7.43746,,
332.6,7.99448,7.43336,,
332.7,7.98853,7.42812,,
332.8,7.98131,7.42232,,
332.9,7.97525,7.41709,,
333.0,7.97091,7.41308,,
333.1,7.96912,7.41102,,
333.2,7.96885,7.41035,,
333.3,7.97072,7.41163,,
333.4,7.97296,7.41349,,
333.5,7.97524,7.41544,,
333.6,7.97804,7.41709,,
333.7,7.97829,7.41812,,
333.8,7.97782,7.41748,,
333.9,7.97634,7.41619,,
334.0,7.97443,7.41420,,
334.1,7.97178,7.41132,,
334.2,7.96825,7.40741,,
334.3,7.96321,7.40213,,
334.4,7.95639,7.39551,,
334.5,7.94780,7.38767,,
334.6,7.93888,7.37918,,
334.7,7.92976,7.37008,,
334.8,7.92120,7.36055,,
334.9,7.91092,7.35003,,
335.0,7.89914,7.33844,,
335.1,7.88609,7.32556,,
335.2,7.87197,7.31171,,
335.3,7.85698,7.29735,,
335.4,7.84195,7.28287,,
335.5,7.82797,7.26871,,
335.6,7.81424,7.25497,,
335.7,7.80099,7.24179,,
335.8,7.78828,7.22898,,
335.9,7.77611,7.21608,,
336.0,7.76380,7.20263,,
336.1,7.74901,7.18821,,
336.2,7.73262,7.17277,,
336.3,7.71656,7.15657,,
336.4,7.69985,7.14014,,
336.5,7.68268,7.12401,,
336.6,7.66716,7.10864,,
336.7,7.65298,7.09457,,
336.8,7.63988,7.08243,,
336.9,7.62962,7.07287,,
337.0,7.62295,7.06625,,
337.1,7.62001,7.06268,,
337.2,7.61993,7.06121,,
337.3,7.62141,7.06266,,
337.4,7.62363,7.06476,,
337.5,7.62740,7.06765,,
337.6,7.63042,7.07075,,
337.7,7.63348,7.07398,,
337.8,7.63702,7.07715,,
337.9,7.63991,7.08029,,
338.0,7.64290,7.08386,,
338.1,7.64640,7.08806,,
338.2,7.65190,7.09374,,
338.3,7.65875,7.10113,,
338.4,7.66848,7.11056,,
338.5,7.68037,7.12152,,
338.6,7.69324,7.13361,,
338.7,7.70572,7.14588,,
338.8,7.71842,7.15805,,
338.9,7.72967,7.16972,,
339.0,7.74066,7.18119,,
339.1,7.75205,7.19271,,
339.2,7.76351,7.20454,,
339.3,7.77616,7.21724,,
339.4,7.78921,7.23081,,
339.5,7.80419,7.24576,,
339.6,7.82044,7.26180,,
339.7,7.83821,7.27894,,
339.8,7.85617,7.29665,,
339.9,7.87428,7.31451,,
340.0,7.89250,7.33215,,
340.1,7.90947,7.34920,,
340.2,7.92588,7.36559,,
340.3,7.94148,7.38122,,
340.4,7.95619,7.39654,,
340.5,7.97070,7.41182,,
340.6,7.98670,7.42762,,
340.7,8.00302,7.44402,,
340.8,8.02032,7.46110,,
340.9,8.03824,7.47821,,
341.0,8.05587,7.49499,,
341.1,8.07143,7.51051,,
341.2,8.08608,7.52491,,
341.3,8.09789,7.53800,,
341.4,8.10996,7.55068,,
341.5,8.12264,7.56321,,
341.6,8.13540,7.57610,,
341.7,8.14862,7.58936,,
341.8,8.16245,7.60308,,
341.9,8.17630,7.61717,,
342.0,8.19113,7.63166,,
342.1,8.20611,7.64622,,
342.2,8.22074,7.66065,,
342.3,8.23482,7.67465,,
342.4,8.24825,7.68796,,
342.5,8.26103,7.70062,,
342.6,8.27256,7.71268,,
342.7,8.28391,7.72434,,
342.8,8.29568,7.73583,,
342.9,8.30684,7.74729,,
343.0,8.31819,7.75912,,
343.1,8.33015,7.77175,,
343.2,8.34358,7.78544,,
343.3,8.35947,7.80004,,
343.4,8.37554,7.81475,,
343.5,8.38991,7.82847,,
343.6,8.40234,7.84057,,
343.7,8.41153,7.85083,,
343.8,8.41964,7.85981,,
343.9,8.42792,7.86802,,
344.0,8.43570,7.87611,,
344.1,8.44332,7.88445,,
344.2,8.45230,7.89342,,
344.3,8.46202,7.90330,,
344.4,8.47277,7.91440,,
344.5,8.48529,7.92668,,
344.6,8.49918,7.93972,,
344.7,8.51347,7.95299,,
344.8,8.52631,7.96588,,
344.9,8.53811,7.97854,,
345.0,8.54983,7.99126,,
345.1,8.56331,8.00466,,
345.2,8.57810,8.01888,,
345.3,8.59319,8.03364,,
345.4,8.60868,8.04874,,
345.5,8.62329,8.06370,,
345.6,8.63836,8.07863,,
345.7,8.65327,8.09335,,
345.8,8.66768,8.10779,,
345.9,8.68212,8.12171,,
346.0,8.69554,8.13480,,
346.1,8.70746,8.14696,,
346.2,8.71839,8.15807,,
346.3,8.72867,8.16794,,
346.4,8.73786,8.17678,,
346.5,8.74451,8.18443,,
346.6,8.75129,8.19124,,
346.7,8.75767,8.19722,,
346.8,8.76272,8.20233,,
346.9,8.76736,8.20628,,
347.0,8.77013,8.20857,,
347.1,8.77039,8.20930,,
347.2,8.76863,8.20648,,
347.3,8.76327,8.20171,,
347.4,8.75572,8.19472,,
347.5,8.74688,8.18573,,
347.6,8.73601,8.17500,,
347.7,8.72352,8.16278,,
347.8,8.70973,8.14922,,
347.9,8.69493,8.13471,,
348.0,8.67932,8.11953,,
348.1,8.66376,8.10397,,
348.2,8.64801,8.08803,,
348.3,8.63198,8.07169,,
348.4,8.61498,8.05457,,
348.5,8.59736,8.03661,,
348.6,8.57804,8.01751,,
348.7,8.55787,7.99742,,
348.8,8.53672,7.97648,,
348.9,8.51460,7.95495,,
349.0,8.49287,7.93332,,
349.1,8.47095,7.91221,,
349.2,8.44983,7.89256,,
349.3,8.43199,7.87545,,
349.4,8.41785,7.86169,,
349.5,8.40803,7.85172,,
349.6,8.40255,7.84515,,
349.7,8.39981,7.84144,,
349.8,8.39807,7.83964,,
349.9,8.39831,7.83905,,
350.0,8.39896,7.84006,,
350.1,8.40043,7.84186,,
350.2,8.40357,7.84476,,
350.3,8.40738,7.84872,,
350.4,8.41260,7.85373,,
350.5,8.41888,7.85950,,
350.6,8.42526,7.86582,,
350.7,8.43193,7.87243,,
350.8,8.43892,7.87883,,
350.9,8.44559,7.88467,,
351.0,8.45031,7.88947,,
351.1,8.45363,7.89292,,
351.2,8.45599,7.89498,,
351.3,8.45633,7.89609,,
351.4,8.45558,7.89631,,
351.5,8.45562,7.89733,,
351.6,8.45741,7.89948,,
351.7,8.46134,7.90347,,
351.8,8.46744,7.90949,,
351.9,8.47561,7.91727,,
352.0,8.48563,7.92676,,
352.1,8.49592,7.93759,,
352.2,8.50826,7.94969,,
352.3,8.52215,7.96260,,
352.4,8.53587,7.97612,,
352.5,8.54919,7.98977,,
352.6,8.56332,8.00374,,
352.7,8.57688,8.01797,,
352.8,8.59180,8.03288,,
352.9,8.60771,8.04817,,
353.0,8.62368,8.06380,,
353.1,8.63919,8.07926,,
353.2,8.65468,8.09408,,
353.3,8.66905,8.10793,,
353.4,8.68113,8.12062,,
353.5,8.69245,8.13209,,
353.6,8.70321,8.14244,,
353.7,8.71224,8.15177,,
353.8,8.72037,8.16012,,
353.9,8.72809,8.16756,,
354.0,8.73439,8.17410,,
354.1,8.74014,8.17970,,
354.2,8.74519,8.18406,,
354.3,8.74818,8.18679,,
354.4,8.74921,8.18825,,
354.5,8.74779,8.18640,,
354.6,8.74385,8.18359,,
354.7,8.73950,8.17945,,
354.8,8.73526,8.17424,,
354.9,8.72874,8.16796,,
355.0,8.72081,8.16057,,
355.1,8.71270,8.15192,,
355.2,8.70310,8.14188,,
355.3,8.69141,8.13041,,
355.4,8.67813,8.11734,,
355.5,8.66364,8.10293,,
355.6,8.64756,8.08795,,
355.7,8.63112,8.07321,,
355.8,8.61766,8.05998,,
355.9,8.60610,8.04851,,
356.0,8.59772,8.03959,,
356.1,8.59032,8.03246,,
356.2,8.58598,8.02768,,
356.3,8.58226,8.02485,,
356.4,8.58179,8.02408,,
356.5,8.58442,8.02746,,
356.6,8.59051,8.03338,,
356.7,8.59935,8.04194,,
356.8,8.61166,8.05251,,
356.9,8.62431,8.06397,,
357.0,8.63557,8.07541,,
357.1,8.64660,8.08625,,
357.2,8.65674,8.09644,,
357.3,8.66566,8.10643,,
357.4,8.67528,8.11681,,
357.5,8.68657,8.12787,,
357.6,8.69928,8.13972,,
357.7,8.71183,8.15181,,
357.8,8.72407,8.16361,,
357.9,8.73527,8.17441,,
358.0,8.74511,8.18379,,
358.1,8.75287,8.19142,,
358.2,8.75830,8.19735,,
358.3,8.76209,8.20194,,
358.4,8.76540,8.20572,,
358.5,8.76888,8.20912,,
358.6,8.77221,8.21197,,
358.7,8.77523,8.21379,,
358.8,8.77588,8.21436,,
358.9,8.77325,8.21179,,
359.0,8.76839,8.20793,,
359.1,8.76269,8.20283,,
359.2,8.75695,8.19698,,
359.3,8.75095,8.19051,,
359.4,8.74392,8.18317,,
359.5,8.73554,8.17470,,
359.6,8.72571,8.16502,,
359.7,8.71450,8.15429,,
359.8,8.70270,8.14301,,
359.9,8.69077,8.13180,,
360.0,8.67963,8.12111,,
360.1,8.67039,8.11125,,
360.2,8.66150,8.10189,,
360.3,8.65279,8.09281,,
360.4,8.64348,8.08366,,
360.5,8.63387,8.07480,,
360.6,8.62479,8.06685,,
360.7,8.61797,8.06041,,
360.8,8.61417,8.05600,,
360.9,8.61162,8.05356,,
361.0,8.61124,8.05273,,
361.1,8.61271,8.05451,,
361.2,8.61640,8.05733,,
361.3,8.62036,8.06089,,
361.4,8.62485,8.06504,,
361.5,8.62864,8.06910,,
361.6,8.63311,8.07305,,
361.7,8.63697,8.07633,,
361.8,8.63958,8.07858,,
361.9,8.64067,8.07995,,
362.0,8.63955,8.07841,,
362.1,8.63668,8.07595,,
362.2,8.63241,8.07221,,
362.3,8.62771,8.06772,,
362.4,8.62247,8.06294,,
362.5,8.61730,8.05812,,
362.6,8.61322,8.05332,,
362.7,8.60870,8.04798,,
362.8,8.60295,8.04187,,
362.9,8.59498,8.03480,,
363.0,8.58640,8.02740,,
363.1,8.57877,8.02068,,
363.2,8.57286,8.01559,,
363.3,8.57028,8.01243,,
363.4,8.57034,8.01308,,
363.5,8.57380,8.01557,,
363.6,8.57883,8.01976,,
363.7,8.58435,8.02490,,
363.8,8.59040,8.03040,,
363.9,8.59566,8.03572,,
364.0,8.60077,8.04099,,
364.1,8.60544,8.04619,,
364.2,8.61087,8.05166,,
364.3,8.61698,8.05720,,
364.4,8.62302,8.06284,,
364.5,8.62794,8.06824,,
364.6,8.63323,8.07346,,
364.7,8.63834,8.07833,,
364.8,8.64300,8.08287,,
364.9,8.64709,8.08683,,
365.0,8.65058,8.08996,,
365.1,8.65284,8.09199,,
365.2,8.65364,8.09321,,
365.3,8.65293,8.09221,,
365.4,8.65082,8.09038,,
365.5,8.64810,8.08721,,
365.6,8.64395,8.08268,,
365.7,8.63735,8.07654,,
365.8,8.62991,8.06900,,
365.9,8.62059,8.06014,,
366.0,8.61026,8.05046,,
366.1,8.60015,8.04015,,
366.2,8.58956,8.02948,,
366.3,8.57816,8.01839,,
366.4,8.56715,8.00701,,
366.5,8.55516,7.99507,,
366.6,8.54285,7.98271,,
366.7,8.52994,7.96948,,
366.8,8.51632,7.95552,,
366.9,8.50066,7.94064,,
367.0,8.48503,7.92524,,
367.1,8.46923,7.90945,,
367.2,8.45315,7.89394,,
367.3,8.43742,7.87893,,
367.4,8.42368,7.86460,,
367.5,8.41066,7.85079,,
367.6,8.39700,7.83705,,
367.7,8.38332,7.82301,,
367.8,8.36863,7.80840,,
367.9,8.35314,7.79354,,
368.0,8.33768,7.77918,,
368.1,8.32334,7.76634,,
368.2,8.31262,7.75624,,
368.3,8.30594,7.74954,,
368.4,8.30322,7.74571,,
368.5,8.30415,7.74705,,
368.6,8.30829,7.75043,,
368.7,8.31453,7.75624,,
368.8,8.32210,7.76403,,
368.9,8.33183,7.77344,,
369.0,8.34335,7.78414,,
369.1,8.35501,7.79544,,
369.2,8.36723,7.80724,,
369.3,8.37822,7.81891,,
369.4,8.39041,7.83099,,
369.5,8.40237,7.84322,,
369.6,8.41534,7.85617,,
369.7,8.42858,7.86949,,
369.8,8.44301,7.88325,,
369.9,8.45704,7.89704,,
370.0,8.47052,7.91075,,
370.1,8.48407,7.92420,,
370.2,8.49734,7.93710,,
370.3,8.51018,7.94924,,
370.4,8.52121,7.95998,,
370.5,8.53049,7.96922,,
370.6,8.53750,7.97688,,
370.7,8.54347,7.98359,,
370.8,8.54912,7.98965,,
370.9,8.55551,7.99536,,
371.0,8.56118,8.00060,,
371.1,8.56542,8.00500,,
371.2,8.56924,8.00830,,
371.3,8.57125,8.01023,,
371.4,8.57149,8.01117,,
371.5,8.57077,8.00971,,
371.6,8.56828,8.00692,,
371.7,8.56370,8.00230,,
371.8,8.55701,7.99604,,
371.9,8.54836,7.98848,,
372.0,8.53994,7.98012,,
372.1,8.53159,7.97115,,
372.2,8.52191,7.96152,,
372.3,8.51155,7.95113,,
372.4,8.50025,7.93987,,
372.5,8.48796,7.92819,,
372.6,8.47534,7.91669,,
372.7,8.46413,7.90600,,
372.8,8.45515,7.89707,,
372.9,8.44734,7.89028,,
373.0,8.44337,7.88645,,
373.1,8.44240,7.88471,,
373.2,8.44510,7.88764,,
373.3,8.45024,7.89233,,
373.4,8.45765,7.89915,,
373.5,8.46640,7.90718,,
373.6,8.47591,7.91583,,
373.7,8.48449,7.92453,,
373.8,8.49263,7.93297,,
373.9,8.50127,7.94100,,
374.0,8.50890,7.94824,,
374.1,8.51545,7.95487,,
374.2,8.52030,7.96060,,
374.3,8.52588,7.96576,,
374.4,8.53078,7.97037,,
374.5,8.53433,7.97458,,
374.6,8.53821,7.97850,,
374.7,8.54201,7.98209,,
374.8,8.54548,7.98526,,
374.9,8.54855,7.98776,,
375.0,8.54986,7.98950,,
375.1,8.55014,7.99051,,
375.2,8.55117,7.99115,,
375.3,8.55122,7.99146,,
375.4,8.55140,7.99179,,
375.5,8.55165,7.99190,,
375.6,8.55192,7.99159,,
375.7,8.55086,7.99089,,
375.8,8.54984,7.98997,,
375.9,8.54826,7.98889,,
376.0,8.54715,7.98815,,
376.1,8.54704,7.98766,,
376.2,8.54748,7.98805,,
376.3,8.54819,7.98861,,
376.4,8.54900,7.98922,,
376.5,8.54981,7.99004,,
376.6,8.54990,7.99092,,
376.7,8.55159,7.99232,,
376.8,8.55336,7.99402,,
376.9,8.55572,7.99631,,
377.0,8.55822,7.99909,,
377.1,8.56129,8.00259,,
377.2,8.56576,8.00690,,
377.3,8.57134,8.01189,,
377.4,8.57711,8.01733,,
377.5,8.58257,8.02285,,
377.6,8.58815,8.02834,,
377.7,8.59339,8.03355,,
377.8,8.59874,8.03846,,
377.9,8.60312,8.04286,,
378.0,8.60666,8.04656,,
378.1,8.61016,8.04963,,
378.2,8.61208,8.05204,,
378.3,8.61368,8.05382,,
378.4,8.61565,8.05492,,
378.5,8.61572,8.05544,,
378.6,8.61476,8.05476,,
378.7,8.61332,8.05388,,
378.8,8.61240,8.05291,,
378.9,8.61182,8.05185,,
379.0,8.61082,8.05050,,
379.1,8.60900,8.04866,,
379.2,8.60623,8.04603,,
379.3,8.60314,8.04250,,
379.4,8.59880,8.03789,,
379.5,8.59277,8.03214,,
379.6,8.58563,8.02532,,
379.7,8.57774,8.01765,,
379.8,8.56937,8.00953,,
379.9,8.56067,8.00121,,
380.0,8.55244,7.99304,,
380.1,8.54439,7.98513,,
380.2,8.53702,7.97779,,
380.3,8.52989,7.97098,,
380.4,8.52406,7.96516,,
380.5,8.51869,7.96007,,
380.6,8.51529,7.95586,,
380.7,8.51186,7.95176,,
380.8,8.50801,7.94758,,
380.9,8.50290,7.94268,,
381.0,8.49749,7.93708,,
381.1,8.49098,7.93064,,
381.2,8.48370,7.92356,,
381.3,8.47588,7.91598,,
381.4,8.46766,7.90825,,
381.5,8.45984,7.90066,,
381.6,8.45279,7.89370,,
381.7,8.44600,7.88736,,
381.8,8.44117,7.88214,,
381.9,8.43642,7.87758,,
382.0,8.43338,7.87359,,
382.1,8.43015,7.86942,,
382.2,8.42509,7.86470,,
382.3,8.41941,7.85914,,
382.4,8.41315,7.85255,,
382.5,8.40571,7.84479,,
382.6,8.39687,7.83552,,
382.7,8.38593,7.82469,,
382.8,8.37267,7.81260,,
382.9,8.35913,7.79960,,
383.0,8.34641,7.78617,,
383.1,8.33241,7.77205,,
383.2,8.31807,7.75737,,
383.3,8.30195,7.74146,,
383.4,8.28537,7.72483,,
383.5,8.26710,7.70726,,
383.6,8.24923,7.68934,,
383.7,8.23090,7.67110,,
383.8,8.21231,7.65268,,
383.9,8.19426,7.63428,,
384.0,8.17516,7.61567,,
384.1,8.15688,7.59709,,
384.2,8.13836,7.57820,,
384.3,8.11908,7.55886,,
384.4,8.09945,7.53892,,
384.5,8.07841,7.51821,,
384.6,8.05681,7.49693,,
384.7,8.03514,7.47512,,
384.8,8.01302,7.45283,,
384.9,7.99026,7.43002,,
385.0,7.96682,7.40637,,
385.1,7.94272,7.38200,,
385.2,7.91670,7.35700,,
385.3,7.89086,7.33183,,
385.4,7.86632,7.30660,,
385.5,7.84159,7.28119,,
385.6,7.81591,7.25530,,
385.7,7.78892,7.22826,,
385.8,7.76120,7.20003,,
385.9,7.73111,7.17011,,
386.0,7.69993,7.13868,,
386.1,7.66646,7.10551,,
386.2,7.63152,7.07093,,
386.3,7.59566,7.03490,,
386.4,7.55859,6.99759,,
386.5,7.51957,6.95887,,
386.6,7.47967,6.91887,,
386.7,7.43821,6.87743,,
386.8,7.39558,6.83490,,
386.9,7.35144,6.79132,,
387.0,7.30701,6.74700,,
387.1,7.26232,6.70206,,
387.2,7.21674,6.65661,,
387.3,7.17065,6.61074,,
387.4,7.12431,6.56420,,
387.5,7.07785,6.51667,,
387.6,7.02940,6.46764,,
387.7,6.97807,6.41659,,
387.8,6.92492,6.36340,,
387.9,6.86934,6.30825,,
388.0,6.81182,6.25151,,
388.1,6.75410,6.19359,,
388.2,6.69513,6.13424,,
388.3,6.63510,6.07333,,
388.4,6.57222,6.01012,,
388.5,6.50639,5.94484,,
388.6,6.43775,5.87773,,
388.7,6.36924,5.80973,,
388.8,6.30110,5.74131,,
388.9,6.23276,5.67271,,
389.0,6.16395,5.60357,,
389.1,6.09454,5.53370,,
389.2,6.02319,5.46263,,
389.3,5.95131,5.39041,,
389.4,5.87770,5.31660,,
389.5,5.80251,5.24118,,
389.6,5.72526,5.16382,,
389.7,5.64586,5.08470,,
389.8,5.56441,5.00362,,
389.9,5.48241,4.92036,,
390.0,5.39744,4.83422,,
390.1,5.30773,4.74425,,
390.2,5.21399,4.64976,,
390.3,5.11427,4.55029,,
390.4,5.00925,4.44627,,
390.5,4.90035,4.33792,,
390.6,4.78860,4.22589,,
390.7,4.67278,4.11025,,
390.8,4.55385,3.99107,,
390.9,4.43123,3.86832,,
391.0,4.30421,3.74179,,
391.1,4.17470,3.61153,,
391.2,4.04061,3.47762,,
391.3,3.90181,3.34047,,
391.4,3.76185,3.20075,,
391.5,3.62011,3.05868,,
391.6,3.47634,2.91432,,
391.7,3.32994,2.76776,,
391.8,3.17942,2.61997,,
391.9,3.02891,2.47389,,
392.0,2.88392,2.33335,,
392.1,2.75032,2.20269,,
392.2,2.63173,2.08483,,
392.3,2.52906,1.98084,,
392.4,2.44029,1.89045,,
392.5,2.36271,1.81261,,
392.6,2.29670,1.74610,,
392.7,2.24229,1.68989,,
392.8,2.19602,1.64247,,
392.9,2.15745,1.60272,,
393.0,2.12444,1.56863,,
393.1,2.09680,1.53924,,
