Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.01772,,
0.2,0.02865,,
0.3,0.02969,,
0.4,0.02058,,
0.5,0.00716,,
0.6,-0.00842,,
0.7,-0.02423,,
0.8,-0.03984,,
0.9,-0.05572,,
1.0,-0.07209,,
1.1,-0.08772,,
1.2,-0.09870,,
1.3,-0.10327,,
1.4,-0.10293,,
1.5,-0.09750,,
1.6,-0.09122,,
1.7,-0.08840,,
1.8,-0.08913,,
1.9,-0.09386,,
2.0,-0.09792,,
2.1,-0.09951,,
2.2,-0.09787,,
2.3,-0.09345,,
2.4,-0.09000,,
2.5,-0.09080,,
2.6,-0.09529,,
2.7,-0.10360,,
2.8,-0.11484,,
2.9,-0.12636,,
3.0,-0.13473,,
3.1,-0.14098,,
3.2,-0.14317,,
3.3,-0.14056,,
3.4,-0.13309,,
3.5,-0.12372,,
3.6,-0.11614,,
3.7,-0.11552,,
3.8,-0.12280,,
3.9,-0.13660,,
4.0,-0.15374,,
4.1,-0.16962,,
4.2,-0.18057,,
4.3,-0.18759,,
4.4,-0.19282,,
4.5,-0.19756,,
4.6,-0.20449,,
4.7,-0.21096,,
4.8,-0.21291,,
4.9,-0.21248,,
5.0,-0.20899,,
5.1,-0.20428,,
5.2,-0.19941,,
5.3,-0.19036,,
5.4,-0.17791,,
5.5,-0.16403,,
5.6,-0.15319,,
5.7,-0.15284,,
5.8,-0.16359,,
5.9,-0.18298,,
6.0,-0.20711,,
6.1,-0.22957,,
6.2,-0.24443,,
6.3,-0.24836,,
6.4,-0.23907,,
6.5,-0.21957,,
6.6,-0.19879,,
6.7,-0.18427,,
6.8,-0.17892,,
6.9,-0.18037,,
7.0,-0.18091,,
7.1,-0.17844,,
7.2,-0.17076,,
7.3,-0.16100,,
7.4,-0.15428,,
7.5,-0.15381,,
7.6,-0.16217,,
7.7,-0.17417,,
7.8,-0.18281,,
7.9,-0.18524,,
8.0,-0.17972,,
8.1,-0.17115,,
8.2,-0.16635,,
8.3,-0.16871,,
8.4,-0.17952,,
8.5,-0.19359,,
8.6,-0.20263,,
8.7,-0.20322,,
8.8,-0.19281,,
8.9,-0.17279,,
9.0,-0.14790,,
9.1,-0.12368,,
9.2,-0.10765,,
9.3,-0.10393,,
9.4,-0.11384,,
9.5,-0.12987,,
9.6,-0.14488,,
9.7,-0.15647,,
9.8,-0.16161,,
9.9,-0.16176,,
10.0,-0.16005,,
10.1,-0.15764,,
10.2,-0.15453,,
10.3,-0.15408,,
10.4,-0.15460,,
10.5,-0.15378,,
10.6,-0.15050,,
10.7,-0.14233,,
10.8,-0.13099,,
10.9,-0.11826,,
11.0,-0.10587,,
11.1,-0.09472,,
11.2,-0.08651,,
11.3,-0.08263,,
11.4,-0.08018,,
11.5,-0.07688,,
11.6,-0.07153,,
11.7,-0.06301,,
11.8,-0.05356,,
11.9,-0.04445,,
12.0,-0.03306,,
12.1,-0.01944,,
12.2,-0.00446,,
12.3,0.00870,,
12.4,0.01251,,
12.5,0.00493,,
12.6,-0.01037,,
12.7,-0.02689,,
12.8,-0.03778,,
12.9,-0.03513,,
13.0,-0.02097,,
13.1,-0.00248,,
13.2,0.01684,,
13.3,0.02978,,
13.4,0.03358,,
13.5,0.02676,,
13.6,0.00995,,
13.7,-0.01118,,
13.8,-0.03196,,
13.9,-0.04793,,
14.0,-0.05969,,
14.1,-0.07050,,
14.2,-0.08084,,
14.3,-0.09102,,
14.4,-0.10056,,
14.5,-0.10857,,
14.6,-0.11734,,
14.7,-0.13001,,
14.8,-0.14866,,
14.9,-0.17329,,
15.0,-0.20284,,
15.1,-0.23241,,
15.2,-0.25873,,
15.3,-0.27960,,
15.4,-0.28963,,
15.5,-0.29065,,
15.6,-0.28364,,
15.7,-0.27563,,
15.8,-0.27310,,
15.9,-0.27585,,
16.0,-0.28601,,
16.1,-0.30288,,
16.2,-0.32033,,
16.3,-0.33701,,
16.4,-0.34961,,
16.5,-0.35401,,
16.6,-0.35321,,
16.7,-0.34720,,
16.8,-0.33635,,
16.9,-0.32189,,
17.0,-0.30141,,
17.1,-0.27735,,
17.2,-0.25526,,
17.3,-0.24058,,
17.4,-0.23506,,
17.5,-0.23700,,
17.6,-0.24032,,
17.7,-0.23969,,
17.8,-0.23387,,
17.9,-0.22452,,
18.0,-0.21610,,
18.1,-0.21158,,
18.2,-0.21164,,
18.3,-0.21760,,
18.4,-0.22846,,
18.5,-0.24198,,
18.6,-0.25614,,
18.7,-0.26583,,
18.8,-0.26864,,
18.9,-0.26641,,
19.0,-0.26180,,
19.1,-0.25773,,
19.2,-0.25508,,
19.3,-0.25156,,
19.4,-0.24865,,
19.5,-0.25042,,
19.6,-0.25802,,
19.7,-0.27234,,
19.8,-0.29336,,
19.9,-0.31729,,
20.0,-0.34124,,
20.1,-0.36100,,
20.2,-0.37134,,
20.3,-0.37209,,
20.4,-0.36518,,
20.5,-0.35350,,
20.6,-0.33961,,
20.7,-0.32570,,
20.8,-0.31426,,
20.9,-0.30579,,
21.0,-0.29969,,
21.1,-0.29613,,
21.2,-0.29567,,
21.3,-0.29576,,
21.4,-0.29366,,
21.5,-0.28807,,
21.6,-0.27985,,
21.7,-0.27165,,
21.8,-0.26354,,
21.9,-0.25426,,
22.0,-0.24452,,
22.1,-0.23541,,
22.2,-0.22876,,
22.3,-0.22871,,
22.4,-0.23632,,
22.5,-0.24832,,
22.6,-0.26066,,
22.7,-0.26984,,
22.8,-0.27154,,
22.9,-0.26665,,
23.0,-0.25609,,
23.1,-0.24673,,
23.2,-0.24544,,
23.3,-0.25534,,
23.4,-0.27399,,
23.5,-0.29551,,
23.6,-0.31126,,
23.7,-0.31503,,
23.8,-0.30568,,
23.9,-0.28485,,
24.0,-0.25821,,
24.1,-0.23449,,
24.2,-0.21816,,
24.3,-0.21242,,
24.4,-0.21622,,
24.5,-0.22504,,
24.6,-0.23477,,
24.7,-0.24182,,
24.8,-0.24313,,
24.9,-0.23748,,
25.0,-0.22801,,
25.1,-0.21537,,
25.2,-0.20341,,
25.3,-0.19548,,
25.4,-0.19112,,
25.5,-0.18848,,
25.6,-0.18449,,
25.7,-0.17824,,
25.8,-0.17207,,
25.9,-0.16852,,
26.0,-0.17208,,
26.1,-0.18464,,
26.2,-0.20129,,
26.3,-0.21450,,
26.4,-0.21782,,
26.5,-0.20918,,
26.6,-0.18830,,
26.7,-0.16122,,
26.8,-0.13621,,
26.9,-0.12153,,
27.0,-0.12153,,
27.1,-0.13221,,
27.2,-0.14538,,
27.3,-0.15316,,
27.4,-0.14910,,
27.5,-0.13584,,
27.6,-0.11811,,
27.7,-0.10074,,
27.8,-0.09223,,
27.9,-0.09585,,
28.0,-0.10919,,
28.1,-0.12760,,
28.2,-0.14494,,
28.3,-0.15734,,
28.4,-0.16240,,
28.5,-0.15872,,
28.6,-0.15079,,
28.7,-0.14130,,
28.8,-0.13316,,
28.9,-0.12978,,
29.0,-0.13069,,
29.1,-0.13532,,
29.2,-0.14310,,
29.3,-0.15284,,
29.4,-0.16376,,
29.5,-0.17800,,
29.6,-0.19844,,
29.7,-0.22421,,
29.8,-0.25115,,
29.9,-0.27301,,
30.0,-0.28348,,
30.1,-0.28067,,
30.2,-0.26648,,
30.3,-0.24408,,
30.4,-0.22037,,
30.5,-0.20046,,
