Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.02022,,
0.2,0.03972,,
0.3,0.05597,,
0.4,0.06784,,
0.5,0.07502,,
0.6,0.07640,,
0.7,0.07109,,
0.8,0.06112,,
0.9,0.04722,,
1.0,0.02875,,
1.1,0.00703,,
1.2,-0.01834,,
1.3,-0.04664,,
1.4,-0.07661,,
1.5,-0.10880,,
1.6,-0.14265,,
1.7,-0.17711,,
1.8,-0.21287,,
1.9,-0.24759,,
2.0,-0.28272,,
2.1,-0.31833,,
2.2,-0.35182,,
2.3,-0.38456,,
2.4,-0.41536,,
2.5,-0.44176,,
2.6,-0.46537,,
2.7,-0.48662,,
2.8,-0.50259,,
2.9,-0.51475,,
3.0,-0.52216,,
3.1,-0.52599,,
3.2,-0.52779,,
3.3,-0.52720,,
3.4,-0.52487,,
3.5,-0.52061,,
3.6,-0.51709,,
3.7,-0.51372,,
3.8,-0.51083,,
3.9,-0.50724,,
4.0,-0.50171,,
4.1,-0.49635,,
4.2,-0.49095,,
4.3,-0.48543,,
4.4,-0.48039,,
4.5,-0.47678,,
4.6,-0.47370,,
4.7,-0.47193,,
4.8,-0.47247,,
4.9,-0.47437,,
5.0,-0.47899,,
5.1,-0.48424,,
5.2,-0.48828,,
5.3,-0.49221,,
5.4,-0.49594,,
5.5,-0.49814,,
5.6,-0.50084,,
5.7,-0.50178,,
5.8,-0.50320,,
5.9,-0.50557,,
6.0,-0.50846,,
6.1,-0.51156,,
6.2,-0.51471,,
6.3,-0.51716,,
6.4,-0.51921,,
6.5,-0.52040,,
6.6,-0.51988,,
6.7,-0.51863,,
6.8,-0.51922,,
6.9,-0.51958,,
7.0,-0.52062,,
7.1,-0.52342,,
7.2,-0.52711,,
7.3,-0.53316,,
7.4,-0.54019,,
7.5,-0.54872,,
7.6,-0.55760,,
7.7,-0.56553,,
7.8,-0.57319,,
7.9,-0.57899,,
8.0,-0.58223,,
8.1,-0.58466,,
8.2,-0.58665,,
8.3,-0.58775,,
8.4,-0.58912,,
8.5,-0.59068,,
8.6,-0.59174,,
8.7,-0.59326,,
8.8,-0.59375,,
8.9,-0.59382,,
9.0,-0.59447,,
9.1,-0.59555,,
9.2,-0.59692,,
9.3,-0.60050,,
9.4,-0.60515,,
9.5,-0.61087,,
9.6,-0.61755,,
9.7,-0.62510,,
9.8,-0.63339,,
9.9,-0.64294,,
10.0,-0.65200,,
10.1,-0.66095,,
10.2,-0.67133,,
10.3,-0.68124,,
10.4,-0.69166,,
10.5,-0.69978,,
10.6,-0.70690,,
10.7,-0.71313,,
10.8,-0.71794,,
10.9,-0.72245,,
11.0,-0.72663,,
11.1,-0.73050,,
11.2,-0.73407,,
11.3,-0.73739,,
11.4,-0.73916,,
11.5,-0.74014,,
11.6,-0.74012,,
11.7,-0.73972,,
11.8,-0.74062,,
11.9,-0.74231,,
12.0,-0.74511,,
12.1,-0.75045,,
12.2,-0.75626,,
12.3,-0.76338,,
12.4,-0.77085,,
12.5,-0.77945,,
12.6,-0.78819,,
12.7,-0.79720,,
12.8,-0.80520,,
12.9,-0.81290,,
13.0,-0.82070,,
13.1,-0.82882,,
13.2,-0.83734,,
13.3,-0.84562,,
13.4,-0.85399,,
13.5,-0.86263,,
13.6,-0.87094,,
13.7,-0.87799,,
13.8,-0.88334,,
13.9,-0.88690,,
14.0,-0.88610,,
14.1,-0.88317,,
14.2,-0.87881,,
14.3,-0.87349,,
14.4,-0.86819,,
14.5,-0.86278,,
14.6,-0.85719,,
14.7,-0.85009,,
14.8,-0.84152,,
14.9,-0.83359,,
15.0,-0.82541,,
15.1,-0.81651,,
15.2,-0.80671,,
15.3,-0.79596,,
15.4,-0.78497,,
15.5,-0.77612,,
15.6,-0.76721,,
15.7,-0.76040,,
15.8,-0.75601,,
15.9,-0.75208,,
16.0,-0.74816,,
16.1,-0.74403,,
16.2,-0.74024,,
16.3,-0.73573,,
16.4,-0.73001,,
16.5,-0.72485,,
16.6,-0.71987,,
16.7,-0.71549,,
16.8,-0.71125,,
16.9,-0.70951,,
17.0,-0.70875,,
17.1,-0.71003,,
17.2,-0.71248,,
17.3,-0.71618,,
17.4,-0.72046,,
17.5,-0.72555,,
17.6,-0.72955,,
17.7,-0.73546,,
17.8,-0.74149,,
17.9,-0.74729,,
18.0,-0.75337,,
18.1,-0.76064,,
18.2,-0.76885,,
18.3,-0.77844,,
18.4,-0.78758,,
18.5,-0.79533,,
18.6,-0.80258,,
18.7,-0.80789,,
18.8,-0.81259,,
18.9,-0.81744,,
19.0,-0.82284,,
19.1,-0.82831,,
19.2,-0.83423,,
19.3,-0.83947,,
19.4,-0.84544,,
19.5,-0.85219,,
19.6,-0.85838,,
19.7,-0.86463,,
19.8,-0.87128,,
19.9,-0.87585,,
20.0,-0.88045,,
20.1,-0.88225,,
20.2,-0.88258,,
20.3,-0.88358,,
20.4,-0.88369,,
20.5,-0.88282,,
20.6,-0.88163,,
20.7,-0.88251,,
20.8,-0.88523,,
20.9,-0.89023,,
21.0,-0.89559,,
21.1,-0.90223,,
21.2,-0.90924,,
21.3,-0.91544,,
21.4,-0.92223,,
21.5,-0.92902,,
21.6,-0.93547,,
21.7,-0.94143,,
21.8,-0.94488,,
21.9,-0.94689,,
22.0,-0.94748,,
22.1,-0.94742,,
22.2,-0.94520,,
22.3,-0.94213,,
22.4,-0.93766,,
22.5,-0.93160,,
22.6,-0.92462,,
