Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.01041,,
0.2,-0.02208,,
0.3,-0.03304,,
0.4,-0.04225,,
0.5,-0.04996,,
0.6,-0.05575,,
0.7,-0.05952,,
0.8,-0.06269,,
0.9,-0.06343,,
1.0,-0.06290,,
1.1,-0.06116,,
1.2,-0.05900,,
1.3,-0.05684,,
1.4,-0.05363,,
1.5,-0.05016,,
1.6,-0.04757,,
1.7,-0.04439,,
1.8,-0.04057,,
1.9,-0.03611,,
2.0,-0.03172,,
2.1,-0.02842,,
2.2,-0.02605,,
2.3,-0.02444,,
2.4,-0.02476,,
2.5,-0.02420,,
2.6,-0.02529,,
2.7,-0.02529,,
2.8,-0.02546,,
2.9,-0.02713,,
3.0,-0.02891,,
3.1,-0.03203,,
3.2,-0.03574,,
3.3,-0.04092,,
3.4,-0.04659,,
3.5,-0.05223,,
3.6,-0.05819,,
3.7,-0.06597,,
3.8,-0.07492,,
3.9,-0.08526,,
4.0,-0.09637,,
4.1,-0.10718,,
4.2,-0.11780,,
4.3,-0.12700,,
4.4,-0.13487,,
4.5,-0.14156,,
4.6,-0.14590,,
4.7,-0.14942,,
4.8,-0.15301,,
4.9,-0.15581,,
5.0,-0.15873,,
5.1,-0.16227,,
5.2,-0.16531,,
5.3,-0.16796,,
5.4,-0.17162,,
5.5,-0.17500,,
5.6,-0.17939,,
5.7,-0.18411,,
5.8,-0.18809,,
5.9,-0.19148,,
6.0,-0.19507,,
6.1,-0.19860,,
6.2,-0.20194,,
6.3,-0.20503,,
6.4,-0.20917,,
6.5,-0.21433,,
6.6,-0.21910,,
6.7,-0.22276,,
6.8,-0.22631,,
6.9,-0.22831,,
7.0,-0.23010,,
7.1,-0.23107,,
7.2,-0.23164,,
7.3,-0.23269,,
7.4,-0.23402,,
7.5,-0.23418,,
7.6,-0.23379,,
7.7,-0.23257,,
7.8,-0.23174,,
7.9,-0.23127,,
8.0,-0.22981,,
8.1,-0.22866,,
8.2,-0.22852,,
8.3,-0.22771,,
8.4,-0.22602,,
8.5,-0.22540,,
8.6,-0.22680,,
8.7,-0.22928,,
8.8,-0.23160,,
8.9,-0.23441,,
9.0,-0.23804,,
9.1,-0.24194,,
9.2,-0.24646,,
9.3,-0.25107,,
9.4,-0.25485,,
9.5,-0.25930,,
9.6,-0.26523,,
9.7,-0.27160,,
9.8,-0.27785,,
9.9,-0.28368,,
10.0,-0.28830,,
10.1,-0.29202,,
10.2,-0.29378,,
10.3,-0.29379,,
10.4,-0.29295,,
10.5,-0.29115,,
10.6,-0.28708,,
10.7,-0.28085,,
10.8,-0.27401,,
10.9,-0.26676,,
11.0,-0.25990,,
11.1,-0.25186,,
11.2,-0.24385,,
11.3,-0.23652,,
11.4,-0.23018,,
11.5,-0.22558,,
11.6,-0.22167,,
11.7,-0.21718,,
11.8,-0.21345,,
11.9,-0.21116,,
12.0,-0.20923,,
12.1,-0.20838,,
12.2,-0.20893,,
12.3,-0.21094,,
12.4,-0.21501,,
12.5,-0.21997,,
12.6,-0.22581,,
12.7,-0.23443,,
12.8,-0.24403,,
12.9,-0.25288,,
13.0,-0.26014,,
13.1,-0.26480,,
13.2,-0.26781,,
13.3,-0.26851,,
13.4,-0.26800,,
13.5,-0.26632,,
13.6,-0.26356,,
13.7,-0.25919,,
13.8,-0.25305,,
13.9,-0.24583,,
14.0,-0.23863,,
14.1,-0.23141,,
14.2,-0.22411,,
14.3,-0.21674,,
14.4,-0.20994,,
14.5,-0.20337,,
14.6,-0.19683,,
14.7,-0.19020,,
14.8,-0.18410,,
14.9,-0.17880,,
15.0,-0.17309,,
15.1,-0.16832,,
15.2,-0.16581,,
15.3,-0.16478,,
15.4,-0.16604,,
15.5,-0.16917,,
15.6,-0.17319,,
15.7,-0.17814,,
15.8,-0.18465,,
15.9,-0.19162,,
16.0,-0.19909,,
16.1,-0.20704,,
16.2,-0.21610,,
16.3,-0.22651,,
16.4,-0.23831,,
16.5,-0.25077,,
16.6,-0.26145,,
16.7,-0.27183,,
16.8,-0.28139,,
16.9,-0.28927,,
17.0,-0.29643,,
17.1,-0.30278,,
17.2,-0.30965,,
17.3,-0.31641,,
17.4,-0.32271,,
17.5,-0.32973,,
17.6,-0.33738,,
17.7,-0.34359,,
17.8,-0.34802,,
17.9,-0.35061,,
18.0,-0.35212,,
18.1,-0.35237,,
18.2,-0.35005,,
18.3,-0.34594,,
18.4,-0.34060,,
18.5,-0.33442,,
18.6,-0.32766,,
18.7,-0.31853,,
18.8,-0.30954,,
18.9,-0.30003,,
19.0,-0.28839,,
19.1,-0.27718,,
19.2,-0.26645,,
19.3,-0.25617,,
19.4,-0.24565,,
19.5,-0.23518,,
19.6,-0.22426,,
19.7,-0.21266,,
19.8,-0.20029,,
19.9,-0.18784,,
20.0,-0.17764,,
20.1,-0.16815,,
20.2,-0.15917,,
20.3,-0.15052,,
20.4,-0.14343,,
20.5,-0.13645,,
20.6,-0.13013,,
20.7,-0.12338,,
20.8,-0.11698,,
20.9,-0.11133,,
21.0,-0.10656,,
21.1,-0.10271,,
21.2,-0.10103,,
21.3,-0.10074,,
21.4,-0.10130,,
21.5,-0.10039,,
21.6,-0.09885,,
21.7,-0.09651,,
21.8,-0.09269,,
21.9,-0.08777,,
22.0,-0.08272,,
22.1,-0.07739,,
22.2,-0.07304,,
22.3,-0.06896,,
22.4,-0.06608,,
22.5,-0.06413,,
22.6,-0.06291,,
22.7,-0.06293,,
22.8,-0.06436,,
22.9,-0.06720,,
23.0,-0.07134,,
23.1,-0.07663,,
23.2,-0.08291,,
23.3,-0.09069,,
23.4,-0.10013,,
23.5,-0.11118,,
23.6,-0.12241,,
23.7,-0.13499,,
23.8,-0.14881,,
23.9,-0.16240,,
24.0,-0.17366,,
24.1,-0.18362,,
24.2,-0.19094,,
24.3,-0.19641,,
24.4,-0.19993,,
24.5,-0.20092,,
24.6,-0.20058,,
24.7,-0.19899,,
24.8,-0.19692,,
24.9,-0.19617,,
25.0,-0.19560,,
25.1,-0.19461,,
25.2,-0.19355,,
25.3,-0.19395,,
25.4,-0.19453,,
25.5,-0.19591,,
25.6,-0.19839,,
25.7,-0.20004,,
25.8,-0.20254,,
25.9,-0.20608,,
26.0,-0.20934,,
26.1,-0.21298,,
26.2,-0.21665,,
26.3,-0.22083,,
26.4,-0.22441,,
26.5,-0.22685,,
26.6,-0.22926,,
26.7,-0.23156,,
26.8,-0.23308,,
26.9,-0.23416,,
27.0,-0.23568,,
27.1,-0.23609,,
27.2,-0.23665,,
27.3,-0.23732,,
27.4,-0.23877,,
27.5,-0.24127,,
27.6,-0.24360,,
27.7,-0.24642,,
27.8,-0.25005,,
27.9,-0.25527,,
28.0,-0.26171,,
28.1,-0.26977,,
28.2,-0.27820,,
28.3,-0.28765,,
28.4,-0.29837,,
28.5,-0.30910,,
28.6,-0.32047,,
28.7,-0.33411,,
28.8,-0.34676,,
28.9,-0.35938,,
29.0,-0.37183,,
29.1,-0.38405,,
29.2,-0.39603,,
29.3,-0.40777,,
29.4,-0.41797,,
29.5,-0.42737,,
29.6,-0.43575,,
29.7,-0.44374,,
29.8,-0.45171,,
29.9,-0.45917,,
30.0,-0.46395,,
30.1,-0.46770,,
30.2,-0.46808,,
30.3,-0.46804,,
30.4,-0.46655,,
30.5,-0.46184,,
30.6,-0.45583,,
30.7,-0.44900,,
30.8,-0.44164,,
30.9,-0.43395,,
31.0,-0.42543,,
31.1,-0.41649,,
31.2,-0.40872,,
31.3,-0.40025,,
31.4,-0.39210,,
31.5,-0.38415,,
31.6,-0.37695,,
31.7,-0.36880,,
31.8,-0.36081,,
31.9,-0.35225,,
32.0,-0.34475,,
32.1,-0.33845,,
32.2,-0.33202,,
32.3,-0.32738,,
32.4,-0.32348,,
32.5,-0.31903,,
32.6,-0.31534,,
32.7,-0.31243,,
32.8,-0.30957,,
32.9,-0.30704,,
33.0,-0.30562,,
33.1,-0.30631,,
33.2,-0.30817,,
33.3,-0.31061,,
33.4,-0.31461,,
33.5,-0.31991,,
33.6,-0.32628,,
33.7,-0.33351,,
33.8,-0.34210,,
33.9,-0.35288,,
34.0,-0.36415,,
34.1,-0.37496,,
34.2,-0.38552,,
34.3,-0.39658,,
34.4,-0.40854,,
34.5,-0.42153,,
34.6,-0.43424,,
34.7,-0.44729,,
34.8,-0.46101,,
34.9,-0.47617,,
35.0,-0.49309,,
35.1,-0.51050,,
35.2,-0.52832,,
35.3,-0.54717,,
35.4,-0.56464,,
35.5,-0.58154,,
35.6,-0.59768,,
35.7,-0.61365,,
35.8,-0.62981,,
35.9,-0.64500,,
36.0,-0.65801,,
36.1,-0.66836,,
36.2,-0.67663,,
36.3,-0.68196,,
36.4,-0.68543,,
36.5,-0.68709,,
36.6,-0.68774,,
36.7,-0.68857,,
36.8,-0.68885,,
36.9,-0.68827,,
37.0,-0.68866,,
37.1,-0.68899,,
37.2,-0.69067,,
37.3,-0.69437,,
37.4,-0.69832,,
37.5,-0.70286,,
37.6,-0.70882,,
37.7,-0.71586,,
37.8,-0.72306,,
37.9,-0.72993,,
38.0,-0.73622,,
38.1,-0.73987,,
38.2,-0.74258,,
38.3,-0.74271,,
38.4,-0.74023,,
38.5,-0.73727,,
38.6,-0.73303,,
38.7,-0.72852,,
38.8,-0.72427,,
38.9,-0.71989,,
39.0,-0.71520,,
39.1,-0.71142,,
39.2,-0.70784,,
39.3,-0.70405,,
39.4,-0.70118,,
39.5,-0.69909,,
39.6,-0.69833,,
39.7,-0.69975,,
39.8,-0.70232,,
39.9,-0.70608,,
40.0,-0.70964,,
40.1,-0.71425,,
40.2,-0.71853,,
40.3,-0.72175,,
40.4,-0.72361,,
40.5,-0.72403,,
40.6,-0.72243,,
40.7,-0.71996,,
40.8,-0.71728,,
40.9,-0.71411,,
41.0,-0.70969,,
41.1,-0.70632,,
41.2,-0.70187,,
41.3,-0.69659,,
41.4,-0.69200,,
41.5,-0.68754,,
41.6,-0.68356,,
41.7,-0.68022,,
41.8,-0.67820,,
41.9,-0.67780,,
42.0,-0.67971,,
42.1,-0.68214,,
42.2,-0.68676,,
42.3,-0.69297,,
42.4,-0.70100,,
42.5,-0.71084,,
42.6,-0.72236,,
42.7,-0.73404,,
42.8,-0.74705,,
42.9,-0.76257,,
43.0,-0.77775,,
43.1,-0.79242,,
43.2,-0.80387,,
43.3,-0.81353,,
43.4,-0.82163,,
43.5,-0.82708,,
43.6,-0.82884,,
43.7,-0.82924,,
43.8,-0.82832,,
43.9,-0.82553,,
44.0,-0.82334,,
44.1,-0.82107,,
44.2,-0.81836,,
44.3,-0.81634,,
44.4,-0.81561,,
44.5,-0.81636,,
44.6,-0.81926,,
44.7,-0.82189,,
44.8,-0.82559,,
44.9,-0.83101,,
45.0,-0.83838,,
45.1,-0.84504,,
45.2,-0.85093,,
45.3,-0.85674,,
45.4,-0.86351,,
45.5,-0.87104,,
45.6,-0.87789,,
45.7,-0.88397,,
45.8,-0.89194,,
45.9,-0.90109,,
46.0,-0.91032,,
46.1,-0.92100,,
46.2,-0.93244,,
46.3,-0.94291,,
46.4,-0.95285,,
46.5,-0.96123,,
46.6,-0.96761,,
46.7,-0.97189,,
46.8,-0.97614,,
46.9,-0.98018,,
47.0,-0.98323,,
47.1,-0.98498,,
47.2,-0.98599,,
47.3,-0.98663,,
47.4,-0.98645,,
47.5,-0.98660,,
47.6,-0.98701,,
47.7,-0.98630,,
47.8,-0.98513,,
47.9,-0.98324,,
48.0,-0.98052,,
48.1,-0.97699,,
48.2,-0.97337,,
48.3,-0.96939,,
48.4,-0.96494,,
48.5,-0.95998,,
48.6,-0.95521,,
48.7,-0.95096,,
48.8,-0.94740,,
48.9,-0.94520,,
49.0,-0.94466,,
49.1,-0.94512,,
49.2,-0.94553,,
49.3,-0.94663,,
49.4,-0.94878,,
49.5,-0.95076,,
49.6,-0.95195,,
49.7,-0.95206,,
49.8,-0.95365,,
49.9,-0.95668,,
50.0,-0.96035,,
50.1,-0.96420,,
50.2,-0.96862,,
50.3,-0.97377,,
50.4,-0.97905,,
50.5,-0.98477,,
50.6,-0.99106,,
50.7,-0.99664,,
50.8,-1.00154,,
50.9,-1.00647,,
51.0,-1.01181,,
51.1,-1.01841,,
51.2,-1.02529,,
51.3,-1.03391,,
51.4,-1.04360,,
51.5,-1.05259,,
51.6,-1.06198,,
51.7,-1.07034,,
51.8,-1.07765,,
51.9,-1.08395,,
52.0,-1.08804,,
52.1,-1.09074,,
52.2,-1.09260,,
52.3,-1.09462,,
52.4,-1.09734,,
52.5,-1.10099,,
52.6,-1.10431,,
52.7,-1.10862,,
52.8,-1.11325,,
52.9,-1.11914,,
53.0,-1.12404,,
53.1,-1.12816,,
53.2,-1.13166,,
53.3,-1.13334,,
53.4,-1.13271,,
53.5,-1.13030,,
53.6,-1.12722,,
53.7,-1.12475,,
53.8,-1.12220,,
53.9,-1.11858,,
54.0,-1.11474,,
54.1,-1.11180,,
54.2,-1.10832,,
54.3,-1.10491,,
54.4,-1.09988,,
54.5,-1.09378,,
54.6,-1.08896,,
54.7,-1.08394,,
54.8,-1.07992,,
54.9,-1.07748,,
55.0,-1.07682,,
55.1,-1.07791,,
55.2,-1.08061,,
55.3,-1.08473,,
55.4,-1.09008,,
55.5,-1.09644,,
55.6,-1.10431,,
55.7,-1.11318,,
55.8,-1.12269,,
55.9,-1.13394,,
56.0,-1.14739,,
56.1,-1.16379,,
56.2,-1.18134,,
56.3,-1.19901,,
56.4,-1.21556,,
56.5,-1.22976,,
56.6,-1.24112,,
56.7,-1.24956,,
56.8,-1.25528,,
56.9,-1.26053,,
