Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00943,,
0.2,-0.01887,,
0.3,-0.02712,,
0.4,-0.03233,,
0.5,-0.03569,,
0.6,-0.03666,,
0.7,-0.03709,,
0.8,-0.03803,,
0.9,-0.03734,,
1.0,-0.03600,,
1.1,-0.03192,,
1.2,-0.02813,,
1.3,-0.02495,,
1.4,-0.02114,,
1.5,-0.01810,,
1.6,-0.01386,,
1.7,-0.00944,,
1.8,-0.00540,,
1.9,-0.00136,,
2.0,0.00158,,
2.1,0.00422,,
2.2,0.00767,,
2.3,0.01181,,
2.4,0.01521,,
2.5,0.01846,,
2.6,0.02058,,
2.7,0.02113,,
2.8,0.02130,,
2.9,0.02043,,
3.0,0.01891,,
3.1,0.01567,,
3.2,0.01159,,
3.3,0.00784,,
3.4,0.00307,,
3.5,-0.00076,,
3.6,-0.00395,,
3.7,-0.00872,,
3.8,-0.01481,,
3.9,-0.02199,,
4.0,-0.03005,,
4.1,-0.03685,,
4.2,-0.04331,,
4.3,-0.04862,,
4.4,-0.05176,,
4.5,-0.05435,,
4.6,-0.05660,,
4.7,-0.05867,,
4.8,-0.06198,,
4.9,-0.06521,,
5.0,-0.06833,,
5.1,-0.07066,,
5.2,-0.07190,,
5.3,-0.07262,,
5.4,-0.07318,,
5.5,-0.07310,,
5.6,-0.07351,,
5.7,-0.07365,,
5.8,-0.07445,,
5.9,-0.07504,,
6.0,-0.07433,,
6.1,-0.07312,,
6.2,-0.07255,,
6.3,-0.07318,,
6.4,-0.07457,,
6.5,-0.07577,,
6.6,-0.07430,,
6.7,-0.07099,,
6.8,-0.06645,,
6.9,-0.06040,,
7.0,-0.05479,,
7.1,-0.05065,,
7.2,-0.04708,,
7.3,-0.04490,,
7.4,-0.04312,,
7.5,-0.04183,,
7.6,-0.04304,,
7.7,-0.04500,,
7.8,-0.04541,,
7.9,-0.04379,,
8.0,-0.04069,,
8.1,-0.03785,,
8.2,-0.03815,,
8.3,-0.03960,,
8.4,-0.04305,,
8.5,-0.04880,,
8.6,-0.05421,,
8.7,-0.05854,,
8.8,-0.06084,,
8.9,-0.06203,,
9.0,-0.06336,,
9.1,-0.06417,,
9.2,-0.06612,,
9.3,-0.06870,,
9.4,-0.07225,,
9.5,-0.07688,,
9.6,-0.08193,,
9.7,-0.08699,,
9.8,-0.09383,,
9.9,-0.10130,,
10.0,-0.10938,,
10.1,-0.11870,,
10.2,-0.12750,,
10.3,-0.13556,,
10.4,-0.14214,,
10.5,-0.14630,,
10.6,-0.14835,,
10.7,-0.14995,,
10.8,-0.14937,,
10.9,-0.14782,,
11.0,-0.14602,,
11.1,-0.14636,,
11.2,-0.14797,,
11.3,-0.15097,,
11.4,-0.15400,,
11.5,-0.15764,,
11.6,-0.16085,,
