

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    2.103    0.263 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:568(destroy)
        8    0.000    0.000    2.103    0.263 /usr/lib/pymodules/python2.7/matplotlib/_pylab_helpers.py:47(destroy)
        8    2.102    0.263    2.102    0.263 {gc.collect}
     2958    0.181    0.000    2.082    0.001 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1909(autoscale_view)
     2956    0.039    0.000    2.027    0.001 /usr/lib/pymodules/python2.7/matplotlib/axes.py:258(_makeline)
      188    0.001    0.000    1.989    0.011 /usr/lib/pymodules/python2.7/matplotlib/spines.py:153(cla)
   120923    0.508    0.000    1.924    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:81(__init__)
    90349    0.243    0.000    1.691    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1510(__init__)
     2956    0.046    0.000    1.635    0.001 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1514(_update_line_limits)
       47    0.001    0.000    1.564    0.033 /usr/lib/pymodules/python2.7/matplotlib/axes.py:516(_init_axis)
   185973    0.400    0.000    1.554    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:252(asarray)
   106355    0.223    0.000    1.494    0.000 {method 'all' of 'numpy.ndarray' objects}
   120925    1.036    0.000    1.417    0.000 /usr/lib/python2.7/weakref.py:47(__init__)
     9352    0.022    0.000    1.331    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:772(set_marker)
     7499    0.280    0.000    1.295    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:395(recache)
   106355    0.338    0.000    1.271    0.000 /usr/lib/python2.7/dist-packages/numpy/core/_methods.py:28(_all)
     3816    0.072    0.000    1.253    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:476(set_clip_path)
     9346    0.021    0.000    1.170    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:314(set_fillstyle)
        1    0.000    0.000    1.166    1.166 dektakWithoutMain.py:269(load_data)
        1    0.262    0.262    1.166    1.166 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:610(loadtxt)
8880/7000    0.039    0.000    1.043    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:372(get_spine_transform)
9256/7000    0.011    0.000    1.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:136(_ensure_position_is_set)
   115520    0.999    0.000    0.999    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.997    0.997 dektakWithoutMain.py:342(moving_average)
      376    0.004    0.000    0.994    0.003 /usr/lib/pymodules/python2.7/matplotlib/spines.py:325(set_position)
        1    0.000    0.000    0.985    0.985 /usr/lib/python2.7/dist-packages/scipy/signal/signaltools.py:344(medfilt)
        1    0.985    0.985    0.985    0.985 {scipy.signal.sigtools._order_filterND}
      188    0.000    0.000    0.961    0.005 /usr/lib/pymodules/python2.7/matplotlib/spines.py:142(register_axis)
 1050/956    0.013    0.000    0.947    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:515(_get_tick1line)
     5082    0.015    0.000    0.939    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:671(get_path)
 1076/982    0.014    0.000    0.933    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:376(_get_tick1line)
     1050    0.020    0.000    0.920    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:546(_get_gridline)
 1076/982    0.014    0.000    0.916    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:391(_get_tick2line)
 1050/956    0.014    0.000    0.910    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:531(_get_tick2line)
    35588    0.141    0.000    0.888    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1656(__init__)
     2956    0.029    0.000    0.844    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1162(contains_branch_seperately)
     4050    0.026    0.000    0.842    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:171(get_transform)
     2956    0.025    0.000    0.805    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1142(contains_branch)
    18066    0.128    0.000    0.784    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1817(scale)
    11414    0.035    0.000    0.737    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1089(__add__)
      716    0.010    0.000    0.710    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1164(_copy_tick_props)
     1076    0.021    0.000    0.703    0.001 /usr/lib/pymodules/python2.7/matplotlib/axis.py:407(_get_gridline)
    11422    0.058    0.000    0.692    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2274(composite_transform_factory)
     2160    0.024    0.000    0.656    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:932(update_from)
     1048    0.058    0.000    0.626    0.001 /usr/lib/pymodules/python2.7/matplotlib/text.py:519(draw)
     2958    0.020    0.000    0.615    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:2444(set_xbound)
    29716    0.155    0.000    0.611    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:157(set_children)
11566/8032    0.120    0.000    0.610    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2198(get_affine)
    11212    0.067    0.000    0.601    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2099(__init__)
     3300    0.022    0.000    0.593    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:106(draw_markers)
       94    0.002    0.000    0.577    0.006 /usr/lib/pymodules/python2.7/matplotlib/axis.py:612(__init__)
     5916    0.042    0.000    0.571    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:1328(view_limits)
     3300    0.308    0.000    0.571    0.000 {built-in method draw_markers}
41662/26846    0.270    0.000    0.563    0.000 /usr/lib/pymodules/python2.7/matplotlib/units.py:118(get_converter)
     2067    0.005    0.000    0.542    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:866(_draw_lines)
9638/4310    0.021    0.000    0.541    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:660(get_yaxis_transform)
        8    0.000    0.000    0.540    0.067 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:250(figure)
     2313    0.023    0.000    0.537    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:123(draw_path)
        8    0.000    0.000    0.536    0.067 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:73(new_figure_manager)
        8    0.001    0.000    0.531    0.066 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:82(new_figure_manager_given_figure)
9872/4440    0.022    0.000    0.528    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:583(get_xaxis_transform)
       16    0.000    0.000    0.527    0.033 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:2823(plot)
        8    0.000    0.000    0.524    0.065 /usr/lib/python2.7/lib-tk/Tkinter.py:1579(wm_deiconify)
   336716    0.518    0.000    0.518    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:723(__getitem__)
     5367    0.041    0.000    0.516    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2499(_revalidate)
   182181    0.318    0.000    0.514    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5641(isMaskedArray)
     2960    0.056    0.000    0.510    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:2475(set_xlim)
     2313    0.317    0.000    0.509    0.000 {built-in method draw_path}
