

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      427    0.002    0.000    0.013    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:1547(alltrue)
      940    0.006    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:1217(__init__)
      376    0.004    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:266(_calc_offset_transform)
        8    0.000    0.000    0.013    0.002 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:286(_update_pointer_position)
      104    0.005    0.000    0.013    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:1177(_substitute)
        1    0.000    0.000    0.013    0.013 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/__init__.py:96(<module>)
        1    0.001    0.001    0.013    0.013 /usr/lib/python2.7/decimal.py:116(<module>)
      223    0.008    0.000    0.013    0.000 /usr/lib/python2.7/sre_compile.py:208(_optimize_charset)
     3660    0.008    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:736(get_variant)
        9    0.000    0.000    0.012    0.001 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:446(get_renderer)
        8    0.000    0.000    0.012    0.002 /usr/lib/python2.7/lib-tk/Tkinter.py:820(winfo_pointerxy)
     1432    0.004    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:907(copy)
      478    0.007    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1037(score_family)
    13918    0.012    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:143(get_fillstyle)
        1    0.002    0.002    0.012    0.012 /usr/lib/python2.7/dist-packages/scipy/sparse/__init__.py:173(<module>)
     3660    0.007    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:756(get_stretch)
        9    0.000    0.000    0.012    0.001 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:76(__init__)
     3660    0.007    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:745(get_weight)
       98    0.001    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:1315(tick_values)
      188    0.002    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/scale.py:66(set_default_locators_and_formatters)
     2126    0.005    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:619(set_alpha)
        1    0.002    0.002    0.011    0.011 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:21(<module>)
     2956    0.009    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:204(set_lineprops)
     1692    0.004    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:872(_set_artist_props)
       47    0.001    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1570(_get_label)
       94    0.000    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1921(__eq__)
     8673    0.011    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:894(set_joinstyle)
        6    0.000    0.000    0.011    0.002 /usr/lib/pymodules/python2.7/matplotlib/legend_handler.py:84(__call__)
     9346    0.011    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:803(set_markerfacecolor)
        1    0.000    0.000    0.011    0.011 /usr/lib/python2.7/dist-packages/numpy/lib/polynomial.py:3(<module>)
        3    0.000    0.000    0.011    0.004 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:238(get_window_extent)
     3384    0.008    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:272(_half_fill)
        6    0.000    0.000    0.011    0.002 /usr/lib/pymodules/python2.7/matplotlib/legend_handler.py:170(create_artists)
        1    0.008    0.008    0.011    0.011 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:1(<module>)
        6    0.000    0.000    0.010    0.002 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:747(draw)
    12525    0.010    0.000    0.010    0.000 {callable}
       47    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1843(_get_label)
      126    0.000    0.000    0.010    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:2491(std)
       98    0.003    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:485(_set_offset)
      950    0.007    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1247(grid)
      256    0.001    0.000    0.010    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:1000(bind)
     9792    0.010    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:848(set_clip_path)
      804    0.003    0.000    0.010    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:120(ones)
      143    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1279(get_matrix)
        1    0.001    0.001    0.010    0.010 /usr/lib/python2.7/dist-packages/scipy/interpolate/__init__.py:147(<module>)
     9452    0.010    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:537(get_visible)
        1    0.000    0.000    0.010    0.010 /usr/lib/python2.7/dist-packages/numpy/linalg/__init__.py:44(<module>)
      788    0.002    0.000    0.010    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.010    0.010 /usr/lib/python2.7/urllib.py:23(<module>)
     1645    0.010    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2586(interval_contains)
      126    0.001    0.000    0.010    0.000 /usr/lib/python2.7/dist-packages/numpy/core/_methods.py:100(_std)
       47    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1863(_get_offset_text)
     8919    0.010    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:833(set_capstyle)
        9    0.010    0.001    0.010    0.001 {built-in method RendererAgg}
     9346    0.010    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:688(set_antialiased)
        1    0.010    0.010    0.010    0.010 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:10(<module>)
       47    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1589(_get_offset_text)
      938    0.005    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:394(fix_minus)
      256    0.002    0.000    0.009    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:983(_bind)
        1    0.008    0.008    0.009    0.009 /usr/lib/python2.7/lib-tk/Tkinter.py:31(<module>)
        9    0.000    0.000    0.009    0.001 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:1685(__init__)
      222    0.001    0.000    0.009    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:2405(mean)
     9346    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:783(set_markeredgecolor)
    11958    0.009    0.000    0.009    0.000 {method 'pop' of 'dict' objects}
     9346    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:323(set_markevery)
     9346    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:716(set_linewidth)
      271    0.007    0.000    0.009    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/function_base.py:3220(add_newdoc)
     9346    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:814(set_markerfacecoloralt)
     9352    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:704(set_drawstyle)
     8921    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:943(set_snap)
     9346    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:696(set_color)
     1153    0.005    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:1790(is_math_text)
       91    0.003    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/gridspec.py:252(get_subplot_params)
    11891    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
     1435    0.007    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:44(get_hinting_flag)
     5916    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1184(get_major_locator)
       11    0.004    0.000    0.009    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:873(_get_setters_and_targets)
     6486    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:738(get_clip_path)
      126    0.004    0.000    0.009    0.000 /usr/lib/python2.7/dist-packages/numpy/core/_methods.py:60(_var)
        2    0.000    0.000    0.009    0.004 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:817(resize)
      224    0.003    0.000    0.009    0.000 /usr/lib/python2.7/dist-packages/numpy/core/_methods.py:42(_mean)
     9348    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:825(set_markersize)
     7454    0.009    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:332(process)
     1687    0.003    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2459(get_matrix)
     9432    0.008    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1857(get_matrix)
      840    0.008    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:561(pprint_val)
     8919    0.008    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:903(set_linewidth)
     9792    0.008    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:708(restore)
     6038    0.008    0.000    0.008    0.000 {method 'join' of 'str' objects}
     8760    0.008    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:158(get_marker)
      267    0.002    0.000    0.008    0.000 /usr/lib/python2.7/inspect.py:804(getargspec)
      505    0.001    0.000    0.008    0.000 {method 'min' of 'numpy.ndarray' objects}
       47    0.000    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/figure.py:1196(sca)
      132    0.006    0.000    0.008    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.008    0.008 /usr/lib/python2.7/dist-packages/numpy/testing/__init__.py:6(<module>)
       70    0.001    0.000    0.008    0.000 /usr/lib/python2.7/sre_compile.py:360(_compile_info)
     3391    0.004    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2426(get_matrix)
        1    0.002    0.002    0.008    0.008 /usr/lib/python2.7/dist-packages/numpy/lib/polynomial.py:394(polyfit)
      727    0.002    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:260(set_facecolor)
       11    0.005    0.000    0.007    0.001 /usr/lib/python2.7/collections.py:288(namedtuple)
     1880    0.007    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:1257(set_params)
        1    0.000    0.000    0.007    0.007 /usr/lib/python2.7/dist-packages/scipy/signal/bsplines.py:1(<module>)
        1    0.001    0.001    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/artist.py:1(<module>)
      176    0.003    0.000    0.007    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:1103(_options)
        1    0.002    0.002    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:1926(_setup_pyplot_info_docstrings)
      475    0.002    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:46(_string_to_bool)
     6486    0.007    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:968(get_hatch_path)
        1    0.000    0.000    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/text.py:3(<module>)
     4496    0.007    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:817(set_style)
      768    0.003    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1380(set_label_text)
     2395    0.005    0.000    0.007    0.000 /usr/lib/python2.7/sre_parse.py:131(__getitem__)
      320    0.004    0.000    0.007    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:1146(_register)
       49    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1155(apply_aspect)
        1    0.001    0.001    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/image.py:5(<module>)
       55    0.000    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:542(__init__)
     5373    0.007    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:1123(is_dashed)
        1    0.001    0.001    0.007    0.007 /usr/lib/python2.7/unittest/__init__.py:45(<module>)
      399    0.003    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:845(get_valid_values)
        8    0.000    0.000    0.007    0.001 /usr/lib/pymodules/python2.7/matplotlib/figure.py:602(set_size_inches)
     5975    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:681(get_scale)
        8    0.000    0.000    0.006    0.001 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:925(_set_p1)
     7449    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:138(open_group)
      752    0.004    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1357(set_units)
     6492    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:403(get_gid)
        6    0.000    0.000    0.006    0.001 /usr/lib/pymodules/python2.7/matplotlib/offsetbox.py:585(draw)
      481    0.002    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:246(set_edgecolor)
       21    0.000    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/shape_base.py:253(column_stack)
      188    0.001    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:1087(ravel)
     7449    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:146(close_group)
       47    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:817(_gen_axes_patch)
        1    0.001    0.001    0.006    0.006 /usr/lib/python2.7/dist-packages/scipy/interpolate/ndgriddata.py:6(<module>)
     6486    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:800(get_snap)
        6    0.000    0.000    0.006    0.001 /usr/lib/python2.7/string.py:148(substitute)
      427    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:887(set_fontsize)
     6026    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:167(set_axes)
        1    0.001    0.001    0.006    0.006 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/isolve/__init__.py:1(<module>)
     1144    0.006    0.000    0.006    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:1183(getint_event)
        1    0.000    0.000    0.006    0.006 /usr/lib/python2.7/dist-packages/numpy/fft/fftpack.py:325(irfft)
        1    0.000    0.000    0.006    0.006 /usr/lib/python2.7/dist-packages/scipy/sparse/csr.py:1(<module>)
     5619    0.006    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:824(set_antialiased)
      478    0.005    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1093(score_stretch)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:933(pickle_load)
        1    0.005    0.005    0.006    0.006 {cPickle.load}
       47    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/figure.py:94(bubble)
      416    0.002    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:450(get_view_interval)
       56    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:944(createToolTip)
     5441    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:842(set_clip_rectangle)
      168    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1618(transform_point)
  831/310    0.004    0.000    0.005    0.000 /usr/lib/python2.7/sre_parse.py:141(getwidth)
     1050    0.004    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:468(apply_tickdir)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:1(<module>)
        2    0.000    0.000    0.005    0.003 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:3391(srange)
     1123    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:234(get_rotation)
        1    0.004    0.004    0.005    0.005 /usr/lib/python2.7/dist-packages/numpy/polynomial/polynomial.py:54(<module>)
     4496    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:803(set_family)
     4496    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:835(set_weight)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:3501(makeHTMLTags)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:3472(_makeTags)
     1076    0.004    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:326(apply_tickdir)
      389    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:588(get_view_interval)
      805    0.005    0.000    0.005    0.000 {numpy.core.multiarray.copyto}
        1    0.001    0.001    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/cm.py:6(<module>)
     4498    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:238(set_rotation_mode)
        1    0.004    0.004    0.005    0.005 /usr/lib/python2.7/dist-packages/PIL/Image.py:27(<module>)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/isolve/iterative.py:1(<module>)
        2    0.000    0.000    0.005    0.003 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:1058(parseString)
        8    0.000    0.000    0.005    0.001 /usr/lib/pymodules/python2.7/matplotlib/figure.py:256(__init__)
     5212    0.005    0.000    0.005    0.000 {method 'find' of 'str' objects}
       47    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:1132(bubble)
       96    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:272(frozen)
        7    0.005    0.001    0.005    0.001 {imp.load_module}
     5918    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/scale.py:45(limit_range_for_scale)
        1    0.001    0.001    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/colors.py:49(<module>)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/dist-packages/numpy/core/_internal.py:4(<module>)
        1    0.003    0.003    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/spatial/__init__.py:83(<module>)
     2960    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:952(_get_minposx)
     4498    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:420(set_path_effects)
      475    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:1107(push)
      169    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:892(dedent)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/dsolve/__init__.py:52(<module>)
      427    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:878(set_size)
        1    0.005    0.005    0.005    0.005 {numpy.fft.fftpack_lite.rfftb}
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/integrate/__init__.py:47(<module>)
      255    0.004    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:1061(__setitem__)
    174/2    0.001    0.000    0.005    0.002 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:926(_parseNoCache)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/sparse/sparsetools/__init__.py:2(<module>)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/dsolve/linsolve.py:1(<module>)
        1    0.003    0.003    0.005    0.005 /usr/lib/python2.7/dist-packages/scipy/special/__init__.py:525(<module>)
      940    0.004    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1412(set_major_locator)
     30/2    0.000    0.000    0.005    0.002 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2406(parseImpl)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/markers.py:5(<module>)
      161    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:86(dedent)
      102    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/figure.py:183(update)
     2958    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:956(_get_minposy)
        1    0.001    0.001    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/dates.py:109(<module>)
       80    0.001    0.000    0.004    0.000 /usr/lib/python2.7/lib-tk/Tkinter.py:1853(pack_configure)
     2181    0.002    0.000    0.004    0.000 /usr/lib/python2.7/sre_parse.py:196(match)
        1    0.003    0.003    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/polynomial/laguerre.py:59(<module>)
      134    0.001    0.000    0.004    0.000 /usr/lib/python2.7/copy.py:66(copy)
        1    0.001    0.001    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/ma/__init__.py:38(<module>)
     4496    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:852(set_stretch)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/fontconfig_pattern.py:74(__init__)
     1435    0.004    0.000    0.004    0.000 {method 'set_size' of 'FT2Font' objects}
     4496    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:827(set_variant)
        1    0.003    0.003    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/polynomial/chebyshev.py:87(<module>)
     4496    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:883(set_file)
     3384    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/path.py:492(unit_circle)
        1    0.003    0.003    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/polynomial/hermite_e.py:59(<module>)
     56/2    0.000    0.000    0.004    0.002 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2679(parseImpl)
     2968    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1344(have_units)
        1    0.003    0.003    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/polynomial/legendre.py:83(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:1708(lstsq)
        2    0.000    0.000    0.004    0.002 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2826(parseImpl)
        1    0.003    0.003    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/polynomial/hermite.py:59(<module>)
        3    0.000    0.000    0.004    0.001 /usr/lib/pymodules/python2.7/matplotlib/patches.py:2180(__init__)
      188    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:179(_adjust_location)
      188    0.002    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1456(_set)
     2060    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
     3819    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
       87    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/docstring.py:103(dedent_interpd)
      267    0.002    0.000    0.004    0.000 /usr/lib/python2.7/inspect.py:744(getargs)
     3002    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:677(get_label)
     20/8    0.000    0.000    0.004    0.001 /usr/lib/pymodules/python2.7/matplotlib/pyparsing_py2.py:2531(parseImpl)
     1673    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:905(is_alias)
      478    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1111(score_weight)
     2306    0.004    0.000    0.004    0.000 {method 'count' of 'unicode' objects}
       12    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/legend_handler.py:67(update_prop)
        1    0.001    0.001    0.004    0.004 /usr/lib/python2.7/dist-packages/scipy/sparse/linalg/dsolve/umfpack/__init__.py:173(<module>)
      919    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:280(__init__)
       12    0.000    0.000    0.004    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/decorator.py:189(decorator)
     1435    0.004    0.000    0.004    0.000 {method 'clear' of 'FT2Font' objects}
        1    0.000    0.000    0.004    0.004 /usr/lib/python2.7/distutils/sysconfig.py:10(<module>)
     3095    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     3552    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.004    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:1159(setp)
       40    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:2153(mpl_connect)
        1    0.000    0.000    0.004    0.004 /usr/lib/python2.7/urlparse.py:29(<module>)
      834    0.002    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:246(set_label1)
     3760    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:160(set_axis)
      188    0.001    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/spines.py:126(get_patch_transform)
     3885    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:703(get_text)
      940    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1392(set_major_formatter)
       12    0.000    0.000    0.004    0.000 /usr/lib/python2.7/dist-packages/scipy/lib/decorator.py:167(create)
        1    0.001    0.001    0.003    0.003 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:4(<module>)
     3300    0.003    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:190(get_alt_path)
        1    0.001    0.001    0.003    0.003 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:82(<module>)
       94    0.001    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1421(__init__)
       59    0.003    0.000    0.003    0.000 /usr/lib/python2.7/sre_compile.py:259(_mk_bitmap)
      940    0.002    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1422(set_minor_locator)
     1789    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
